order,2050_NAT
heat_network_order_lt,energy_heat_network_storage_lt_steam_hot_water energy_heat_boiler_lt_electricity energy_heat_burner_lt_hydrogen energy_heat_heatpump_water_water_lt_electricity energy_heat_heatpump_surface_water_water_ts_lt_electricity energy_heat_heatpump_waste_water_water_ts_lt_electricity energy_heat_heatpump_drink_water_water_ts_lt_electricity
heat_network_order_mt,energy_heat_network_storage_mt_steam_hot_water energy_heat_boiler_mt_electricity energy_heat_burner_mt_coal energy_heat_burner_mt_crude_oil energy_heat_burner_mt_hydrogen energy_heat_burner_mt_network_gas energy_heat_burner_mt_waste_mix energy_heat_burner_mt_wood_pellets energy_heat_heatpump_water_water_mt_electricity energy_heat_heatpump_surface_water_water_ts_mt_electricity energy_heat_heatpump_waste_water_water_ts_mt_electricity energy_heat_heatpump_drink_water_water_ts_mt_electricity
heat_network_order_ht,energy_heat_network_storage_ht_steam_hot_water energy_heat_boiler_ht_electricity energy_heat_burner_ht_coal energy_heat_burner_ht_crude_oil energy_heat_burner_ht_hydrogen energy_heat_burner_ht_network_gas energy_heat_burner_ht_waste_mix energy_heat_burner_ht_wood_pellets energy_heat_heatpump_water_water_ht_electricity
