Production,Demand,Buffering and time-shifting,Deficit
17468.721327609914,17468.721327609914,0,0
17715.005328961375,17715.005328961375,0,0
18471.527458168526,18471.527458168526,0,0
19858.72511079153,19858.72511079153,0,0
21074.09616270604,21074.09616270604,0,0
23220.73035908253,23220.73035908253,0,0
24379.896049778712,24379.896049778712,0,0
24810.95522015986,24810.95522015986,0,0
23767.22088614342,23767.22088614342,0,0
22803.35700807968,22803.35700807968,0,0
21921.690721988693,21921.690721988693,0,0
21647.719324252143,21647.719324252143,0,0
21054.33885310923,21054.33885310923,0,0
21515.251265145624,21515.251265145624,0,0
22248.82514297516,22248.82514297516,0,0
22423.85430461105,22423.85430461105,0,0
22899.51635618147,22899.51635618147,0,0
22561.81243610685,22561.81243610685,0,0
22825.242816461934,22825.242816461934,0,0
22268.093987158365,22268.093987158365,0,0
20740.25225751922,20740.25225751922,0,0
17960.141707901046,17960.141707901046,0,0
16013.13772597732,16013.13772597732,0,0
13647.827898037549,13647.827898037549,0,0
12521.574673144238,12521.574673144238,0,0
11384.722742475908,11384.722742475908,0,0
10823.918082789776,10823.918082789776,0,0
11193.746402735169,11193.746402735169,0,0
11609.784569587458,11609.784569587458,0,0
13627.539910273621,13627.539910273621,0,0
14957.718079003711,14957.718079003711,0,0
15673.592048732144,15673.592048732144,0,0
14770.169257550471,14770.169257550477,0,0
13934.92956262879,13934.92956262879,0,0
13264.32007713075,13264.32007713075,0,0
13437.663218989761,13437.663218989761,0,0
13308.145477669164,13308.145477669164,0,0
14235.658917259056,14235.658917259056,0,0
15424.159312769443,15424.159312769443,0,0
16191.662936367817,16191.662936367817,0,0
17327.922993273474,17327.922993273474,0,0
17710.20330346531,17710.20330346531,0,0
18640.163665903183,18640.163665903183,0,0
18712.434936568534,18712.434936568534,0,0
17780.62436192566,17780.62436192566,0,0
15603.603389946034,15603.603389946038,0,0
14305.844253703914,14305.844253703914,0,0
12552.508086993756,12552.508086993756,0,0
12111.452208110044,12111.452208110044,0,0
11715.598136434795,11715.598136434795,0,0
11941.43134752715,11941.43134752715,0,0
13121.024528430466,13121.024528430466,0,0
14385.594891523477,14385.594891523477,0,0
17439.719811340023,17439.719811340023,0,0
19825.05735664292,19825.05735664292,0,0
21508.14845289133,21508.14845289133,0,0
21389.663150139662,21389.663150139662,0,0
21281.85963698774,21281.85963698774,0,0
21318.00794559134,21318.00794559134,0,0
21974.637286142643,21974.637286142643,0,0
22137.346014684015,22137.346014684015,0,0
23115.925665919498,23115.925665919498,0,0
24115.227668654283,24115.227668654283,0,0
24412.59762313096,24412.59762313096,0,0
24804.45973452173,24804.459734521723,0,0
24271.06440043853,24271.06440043853,0,0
24305.692882491825,24305.692882491825,0,0
23541.70118235666,23541.70118235666,0,0
21813.834023454318,21813.834023454318,0,0
18961.0138784423,18961.0138784423,0,0
17043.56851451073,17043.56851451073,0,0
14717.238001883166,14717.238001883166,0,0
13999.122129634568,13999.122129634568,0,0
13324.508742383567,13324.508742383567,0,0
13356.659172404818,13356.659172404818,0,0
