interconnector_1_price,interconnector_1_import_availability,interconnector_1_export_availability,interconnector_2_price,interconnector_2_import_availability,interconnector_2_export_availability,interconnector_3_price,interconnector_3_import_availability,interconnector_3_export_availability,interconnector_4_price,interconnector_4_import_availability,interconnector_4_export_availability,interconnector_5_price,interconnector_5_import_availability,interconnector_5_export_availability,interconnector_6_price,interconnector_6_import_availability,interconnector_6_export_availability,interconnector_7_price,interconnector_7_import_availability,interconnector_7_export_availability,interconnector_8_price,interconnector_8_import_availability,interconnector_8_export_availability,agriculture_electricity,buildings_appliances,buildings_cooling,weather/buildings_heating,electric_buses,electric_trucks,electric_vans,electric_ships,electric_vehicle_profile_5,households_appliances,households_cooling,households_hot_water,industry_ict,industry_other_electricity,weather/solar_pv_profile_1,weather/solar_thermal,weather/air_temperature,weather/agriculture_heating,weather/wind_offshore_baseline,weather/wind_coastal_baseline,weather/wind_inland_baseline
0.01,1.0,0.0,26.0,1.0,1.0,0.01,1.0,0.0,0.01,0.046638,0.0,0.0,1.0,0.0,0.0,0.046638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.083099492094933e-08,3.075658813076265e-08,3.075658813076265e-08,1.1391326632788307e-08,5.980376746134766e-08,7.744163064931237e-09,1.059133984607765e-08,4.944836887748204e-08,3.836661330679834e-08,3.6598893338867314e-08,3.6598893338867314e-08,0.0,2.7777638889583332e-08,3.0554425041829005e-08,0.0,0.0,11.470419,1.1391326632788307e-08,5.637296487119969e-08,5.753350689050678e-08,5.753350689050678e-08
0.01,1.0,0.0,26.0,1.0,1.0,0.0,1.0,0.0,0.0,0.045318,0.0,0.0,1.0,0.0,0.0,0.045318,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2365569328779384e-08,3.22874590331988e-08,3.22874590331988e-08,1.1113489397842252e-08,5.122455528779376e-08,6.580040488073832e-09,8.609872935917506e-09,5.1279783731289316e-08,3.980068095012647e-08,3.212879949595222e-08,3.212879949595222e-08,0.0,2.7777638889583332e-08,3.2082146293920455e-08,0.0,0.0,11.502615,1.1113489397842252e-08,5.650858475414179e-08,6.404157980107214e-08,6.404157980107214e-08
0.01,1.0,0.0,14.48,1.0,1.0,0.0,1.0,0.0,0.0,0.045357,0.0,0.0,1.0,0.0,0.0,0.045357,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1947049035734825e-08,3.186994878707985e-08,3.186994878707985e-08,8.612954283327744e-09,3.865038530101026e-08,6.575175733686693e-09,7.708724688611834e-09,5.1279783731289316e-08,3.597936182317051e-08,2.7938086518219323e-08,2.7938086518219323e-08,0.0,2.7777638889583332e-08,3.166549504335006e-08,0.0,0.0,11.588396,8.612954283327744e-09,5.6518801128403356e-08,6.658237840980124e-08,6.658237840980124e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.045305,0.0,0.0,1.0,0.0,0.0,0.045305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2365569328779384e-08,3.22874590331988e-08,3.22874590331988e-08,9.446465988165913e-09,4.102880457406435e-08,6.575175733686693e-09,7.14992883599115e-09,5.1279783731289316e-08,2.7726189091272072e-08,2.4026754405668618e-08,2.4026754405668618e-08,0.0,2.7499862500687495e-08,3.2082146293920455e-08,0.0,0.0,11.641952,9.446465988165913e-09,5.6555725104984634e-08,7.06833332670677e-08,7.06833332670677e-08
0.01,1.0,0.0,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0453,0.0,0.0,1.0,0.0,0.0,0.0453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.278408962182394e-08,3.270496927931775e-08,3.270496927931775e-08,9.446465988165913e-09,4.265517518300572e-08,6.576359052321403e-09,6.838154325945276e-09,5.1279783731289316e-08,1.909082072847637e-08,2.0394803158300103e-08,2.0394803158300103e-08,0.0,2.7777638889583332e-08,3.2498797544490854e-08,0.0,0.0,11.759615,9.446465988165913e-09,5.6553713409079666e-08,7.232126729330993e-08,7.232126729330993e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.045312,0.0,0.0,1.0,0.0,0.0,0.045312,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.292359638617213e-08,3.28441393613574e-08,3.28441393613574e-08,1.1113489397842252e-08,3.7684123053573105e-08,6.337986087351618e-09,6.6147159270790656e-09,5.1279783731289316e-08,1.1629446394308965e-08,1.983604142793572e-08,1.983604142793572e-08,4.412817770455138e-08,2.91665208340625e-08,3.2776565044871114e-08,0.0,0.0,11.887721,1.1113489397842252e-08,5.654637422779847e-08,7.178602423825615e-08,7.178602423825615e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.045651,0.0,0.01,1.0,0.0,0.01,0.045651,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.3063103150520315e-08,3.2983309443397046e-08,3.2983309443397046e-08,1.5836722391925207e-08,2.1158821177101494e-08,6.354289588540946e-09,7.315109369678917e-09,2.9302749544040154e-08,7.628673348686789e-09,2.0394803158300103e-08,2.0394803158300103e-08,8.499491567344196e-08,3.1110955556333326e-08,3.2776565044871114e-08,0.0,0.0,12.047466,1.5836722391925207e-08,5.653190054359849e-08,7.213255201570906e-08,7.213255201570906e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.045375,0.0,0.01,1.0,0.0,0.01,0.045375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.390014373660944e-08,3.381832993563495e-08,3.381832993563495e-08,1.4447536217194925e-08,7.606360348114081e-09,6.353763669147742e-09,8.456184090901303e-09,2.9302749544040154e-08,2.5909908322370184e-08,2.1232945753846685e-08,2.1232945753846685e-08,9.351251179267502e-08,3.33331666675e-08,3.374875129620204e-08,0.0,0.0,12.153718,1.4447536217194925e-08,5.6492198789241455e-08,7.141362840527195e-08,7.141362840527195e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.045307,0.0,0.02,1.0,0.0,0.02,0.045307,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.390014373660944e-08,3.381832993563495e-08,3.381832993563495e-08,1.1947001102680419e-08,9.863866094643231e-09,7.669351031247945e-09,1.2204473152382317e-08,2.9302749544040154e-08,5.384885253605159e-08,2.4026754405668618e-08,2.4026754405668618e-08,5.443264545165614e-08,3.388871944529166e-08,3.3609867546011905e-08,0.0,0.0,12.249172,1.1947001102680419e-08,5.649639761964775e-08,6.926649299061822e-08,6.926649299061822e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.045302,0.0,0.01,1.0,0.0,0.01,0.045302,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2365569328779384e-08,3.22874590331988e-08,3.22874590331988e-08,1.7503745801601545e-08,9.827884906819203e-09,8.539616147152527e-09,1.6500665944177924e-08,2.9302749544040154e-08,5.820049490761607e-08,2.9614371709312483e-08,2.9614371709312483e-08,2.945491483421595e-08,3.41664958341875e-08,3.222103004411059e-08,2.504660725801086e-09,0.0,12.376186,1.7503745801601545e-08,5.646816370153967e-08,6.77361110476085e-08,6.77361110476085e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.045374,0.0,0.01,1.0,0.0,0.01,0.045374,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.348162344356488e-08,3.3400819689516e-08,3.3400819689516e-08,3.8341538422555765e-08,1.0144603036851647e-08,1.7501677046896297e-08,2.00897701356259e-08,2.9302749544040154e-08,4.61691084072068e-08,3.6878274204049505e-08,3.6878274204049505e-08,2.975614122715606e-08,3.388871944529166e-08,3.3332100045631646e-08,8.110512898031167e-09,0.0,12.5872,3.8341538422555765e-08,5.573087715236936e-08,5.758168397379494e-08,5.758168397379494e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.045318,0.0,0.01,1.0,0.0,0.01,0.045318,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.362113020791307e-08,3.353998977155565e-08,3.353998977155565e-08,3.973072459728605e-08,1.1611254826585776e-08,1.4319601758314531e-08,2.158448908474968e-08,3.617052727503646e-08,4.327504919777789e-08,3.967208285587144e-08,3.967208285587144e-08,3.004748158189371e-08,3.388871944529166e-08,3.3332100045631646e-08,1.0391268808729965e-08,0.0,12.755387,3.973072459728605e-08,5.6285380075941877e-08,5.740555550173785e-08,5.740555550173785e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0453,0.0,0.01,1.0,0.0,0.01,0.0453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.348162344356488e-08,3.3400819689516e-08,3.3400819689516e-08,4.167558524190843e-08,8.48737646742164e-09,1.5717232545754583e-08,2.5733688189276865e-08,3.845982381307651e-08,3.748588316059947e-08,4.302465323805776e-08,4.302465323805776e-08,3.030273194174767e-08,3.388871944529166e-08,3.319321629544151e-08,9.036315405574207e-09,0.0,12.891619,4.167558524190843e-08,5.639086545598197e-08,5.9132291611230145e-08,5.9132291611230145e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0453,0.0,0.01,1.0,0.0,0.01,0.0453,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.320260991486851e-08,3.31224795254367e-08,3.31224795254367e-08,4.1119910772016326e-08,9.691491101811835e-09,2.6689225886476347e-08,3.700163867879061e-08,3.845982381307651e-08,4.3916748585975336e-08,4.274527237287557e-08,4.274527237287557e-08,3.0495926567824716e-08,3.361094305639583e-08,3.305433254525138e-08,6.331622069222179e-09,0.0,12.93346,4.1119910772016326e-08,5.639553212264523e-08,5.879305550043707e-08,5.879305550043707e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.045301,0.0,0.01,1.0,0.0,0.01,0.045301,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.278408962182394e-08,3.270496927931775e-08,3.270496927931775e-08,3.9175050127393935e-08,9.275197126405913e-09,2.598120690337525e-08,4.1007541421969786e-08,3.845982381307651e-08,3.617778992346521e-08,4.246589150769337e-08,4.246589150769337e-08,3.0605744968097865e-08,3.361094305639583e-08,3.2498797544490854e-08,2.5194779562122664e-09,0.0,12.93346,3.9175050127393935e-08,5.6413210485205444e-08,5.989774299940142e-08,5.989774299940142e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.045301,0.0,0.01,1.0,0.0,0.01,0.045301,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.348162344356488e-08,3.3400819689516e-08,3.3400819689516e-08,3.6396677777933374e-08,1.4362665133885469e-08,5.346404515419667e-08,6.313983430930648e-08,5.157112738571623e-08,3.316671903194788e-08,4.1068987181782404e-08,4.1068987181782404e-08,3.061979981759052e-08,3.388871944529166e-08,3.319321629544151e-08,0.0,0.0,12.943915,3.6396677777933374e-08,5.634201750280119e-08,5.852960063957294e-08,5.852960063957294e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.045305,0.0,0.01,1.0,0.0,0.01,0.045305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.417915726530581e-08,3.409667009971425e-08,3.409667009971425e-08,3.30626309585807e-08,1.5804632155228697e-08,2.682359829144001e-08,6.983109487571091e-08,5.5941561909929466e-08,3.4983515553869324e-08,4.442155756396872e-08,4.442155756396872e-08,3.053666180957463e-08,3.444427222308333e-08,3.40265187965823e-08,0.0,0.0,12.943915,3.30626309585807e-08,5.624935083620205e-08,6.28960936910349e-08,6.28960936910349e-08
14.46,1.0,1.0,14.46,1.0,1.0,0.0,1.0,0.0,0.0,0.045391,0.0,0.02,1.0,0.0,0.02,0.045391,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.613225196618043e-08,3.604505124826935e-08,3.604505124826935e-08,2.889507243438985e-08,1.9269704219863715e-08,6.897577469705673e-08,8.493357205560618e-08,5.5941561909929466e-08,2.0733320305652898e-08,5.6714315631985224e-08,5.6714315631985224e-08,3.0366216982252637e-08,3.444427222308333e-08,3.597089129924415e-08,0.0,0.0,13.110873,2.889507243438985e-08,5.578642685993121e-08,6.16874131366125e-08,6.16874131366125e-08
14.46,1.0,1.0,26.0,1.0,1.0,0.0,1.0,0.0,0.0,0.048701,0.0,0.02,1.0,0.0,0.02,0.048701,0.0,0.01,1.0,0.0,0.01,0.0,0.0,3.5713731673135874e-08,3.56275410021504e-08,3.56275410021504e-08,2.4727513910199005e-08,2.4479340911583e-08,8.32133330300314e-08,9.349178235636545e-08,5.5941561909929466e-08,3.3956476035400104e-08,5.9228743418624966e-08,5.9228743418624966e-08,3.8170708153074277e-08,3.444427222308333e-08,3.541535629848362e-08,0.0,0.0,13.318731,2.4727513910199005e-08,5.4755549667699994e-08,5.929357633330116e-08,5.929357633330116e-08
0.01,1.0,0.0,14.46,1.0,1.0,0.0,1.0,0.0,0.0,0.05074,0.0,0.02,1.0,0.0,0.02,0.05074,0.0,0.01,1.0,0.0,0.01,0.0,0.0,3.557422490878769e-08,3.548837092011075e-08,3.548837092011075e-08,1.7225908566655488e-08,2.550208525618579e-08,1.0242727214135215e-07,9.384632593381505e-08,5.5941561909929466e-08,3.589481151819065e-08,5.503803044089206e-08,5.503803044089206e-08,4.910585749393858e-08,3.388871944529166e-08,3.541535629848362e-08,0.0,0.0,13.597824,1.7225908566655488e-08,5.1901146161008175e-08,6.293133674655742e-08,6.293133674655742e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.052984,0.0,0.02,1.0,0.0,0.02,0.052984,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5713731673135874e-08,3.56275410021504e-08,3.56275410021504e-08,1.5281047922033094e-08,3.6295814024537224e-08,9.719516305806057e-08,8.339198700224795e-08,5.294471649685263e-08,3.8336857384989e-08,5.1685460058705746e-08,5.1685460058705746e-08,4.1323163250719973e-08,3.2499837500812496e-08,3.555424004867375e-08,0.0,0.0,13.649314,1.5281047922033094e-08,4.858695902892042e-08,6.460633674498711e-08,6.460633674498711e-08
0.01,1.0,0.0,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.072668,0.0,0.01,1.0,0.0,0.01,0.072668,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.627175873052862e-08,3.6184221330309e-08,3.6184221330309e-08,1.4725373452140982e-08,3.707662671961391e-08,8.460544166384282e-08,6.665289350006699e-08,4.395406837449832e-08,3.3978259728421595e-08,4.721536621579065e-08,4.721536621579065e-08,2.9258385159106738e-08,3.138873194522916e-08,3.6109775049434274e-08,0.0,0.0,13.370547,1.4725373452140982e-08,4.403342102054284e-08,5.855442702843856e-08,5.855442702843856e-08
0.02,1.0,0.0,0.01,1.0,0.0,0.02,1.0,0.0,0.02,0.111208,0.0,0.01,1.0,0.0,0.01,0.111208,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5713731673135874e-08,3.56275410021504e-08,3.56275410021504e-08,1.4447536217194925e-08,4.014852063009042e-08,7.487921988577341e-08,5.307561322620703e-08,4.395406837449832e-08,3.496523273160117e-08,4.1627748912146785e-08,4.1627748912146785e-08,2.883340462529483e-08,2.9722073611854163e-08,3.555424004867375e-08,0.0,0.0,12.397326,1.4447536217194925e-08,4.720539177846523e-08,5.368645828300228e-08,5.368645828300228e-08
0.01,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.120222,0.0,0.01,1.0,0.0,0.01,0.120222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.557422490878769e-08,3.548837092011075e-08,3.548837092011075e-08,1.4725373452140982e-08,6.492753044607995e-08,6.772566429941044e-08,4.726101861385147e-08,4.395406837449832e-08,3.705713411683784e-08,3.492260814777415e-08,3.492260814777415e-08,0.0,2.888874444516666e-08,3.541535629848362e-08,0.0,0.0,11.770301,1.4725373452140982e-08,5.234706428933819e-08,4.722821176127911e-08,4.722821176127911e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.144038,0.0,0.03,1.0,0.0,0.03,0.144038,0.0,0.02,1.0,0.0,0.02,0.0,0.0,3.180754227138664e-08,3.17307787050402e-08,3.17307787050402e-08,2.2782653265576614e-08,6.545427830038754e-08,6.129866635475902e-08,4.433383568988551e-08,4.944836887748204e-08,4.1138703098182815e-08,2.9893752574494673e-08,2.9893752574494673e-08,0.0,2.8055415278479163e-08,3.152661129315993e-08,0.0,0.0,11.126059,2.2782653265576614e-08,5.4819806977594693e-08,4.679539926168487e-08,4.679539926168487e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.142754,0.0,0.01,1.0,0.0,0.01,0.142754,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2644582857475756e-08,3.25657991972781e-08,3.25657991972781e-08,2.0837792620954216e-08,4.095569163717773e-08,5.855783743707555e-08,4.057635327746724e-08,5.1279783731289316e-08,3.9533521785654245e-08,2.4026754405668618e-08,2.4026754405668618e-08,0.0,2.8055415278479163e-08,3.2498797544490854e-08,0.0,0.0,10.769284,2.0837792620954216e-08,5.479936253316514e-08,5.566111105892882e-08,5.566111105892882e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.090923,0.0,0.01,1.0,0.0,0.01,0.090923,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.22260625644312e-08,3.214828895115915e-08,3.214828895115915e-08,2.0559955386008163e-08,3.1180209564951086e-08,5.688423044805161e-08,3.792307225479478e-08,5.1279783731289316e-08,3.550572264743282e-08,2.0674184023482297e-08,2.0674184023482297e-08,0.0,2.8055415278479163e-08,3.2082146293920455e-08,0.0,0.0,10.576214,2.0559955386008163e-08,5.268229235926933e-08,5.830685758422621e-08,5.830685758422621e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.053135,0.0,0.02,1.0,0.0,0.02,0.053135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.22260625644312e-08,3.214828895115915e-08,3.214828895115915e-08,2.1949141560738444e-08,4.1701150723287785e-08,5.596860478448317e-08,3.6209511582273415e-08,5.1279783731289316e-08,2.871804794558152e-08,1.9556660562753525e-08,1.9556660562753525e-08,0.0,2.8055415278479163e-08,3.194326254373033e-08,0.0,0.0,10.321802,2.1949141560738444e-08,5.118511692176389e-08,5.371744786630656e-08,5.371744786630656e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.047831,0.0,0.04,1.0,0.0,0.04,0.047831,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.250507609312757e-08,3.242662911523845e-08,3.242662911523845e-08,2.5283188380091122e-08,3.3804953539533047e-08,5.517223134332378e-08,3.4880272950020136e-08,5.1279783731289316e-08,1.9442109881681698e-08,1.8718517967206946e-08,1.8718517967206946e-08,0.0,2.8333191667374997e-08,3.222103004411059e-08,0.0,0.0,9.918307,2.5283188380091122e-08,4.812779528656497e-08,4.876406245428369e-08,4.876406245428369e-08
