interconnector_1_price,interconnector_2_price,interconnector_3_price,interconnector_4_price,interconnector_5_price,interconnector_6_price
2.4,73.8,89.1,2.4,15.0,73.8
2.4,73.8,89.1,2.4,15.0,73.8
2.4,73.8,89.1,2.4,15.0,73.8
2.4,73.8,89.1,2.4,15.0,73.8
2.4,73.8,89.1,2.4,15.0,73.8
2.4,73.8,110.8,2.4,15.0,73.8
2.4,73.8,110.8,2.4,15.0,73.8
2.4,73.8,111.1,2.4,15.0,73.8
2.4,73.8,111.4,2.4,15.0,73.8
2.4,73.8,111.6,2.4,15.0,73.8
2.4,73.8,111.8,2.4,15.0,73.8
15.0,73.8,111.9,15.0,15.0,73.8
35.5,73.8,112.1,35.5,15.0,73.8
73.7,110.8,112.1,73.7,15.0,110.8
107.0,125.7,129.0,107.0,15.0,110.8
107.0,126.3,129.8,107.0,15.0,110.8
107.0,129.0,129.0,107.0,15.0,110.8
107.0,112.3,112.3,107.0,15.0,110.8
107.0,111.6,111.6,107.0,15.0,110.8
107.0,110.8,111.3,107.0,15.0,110.8
107.0,110.8,110.8,107.0,15.0,110.8
111.2,111.2,111.2,111.2,110.9,111.2
110.9,111.0,111.0,110.9,110.9,110.9
110.9,111.0,111.0,110.9,110.9,110.9
110.9,111.0,111.0,110.9,110.9,110.9
110.9,110.9,110.9,110.9,110.9,110.9
110.9,110.9,110.9,110.9,110.9,111.0
111.2,111.2,111.2,111.2,110.9,111.2
112.3,112.3,112.3,112.2,110.9,112.3
112.2,112.2,112.3,112.2,110.9,112.2
111.2,111.2,111.5,111.2,110.9,111.2
111.0,111.0,111.3,111.0,110.9,111.0
110.9,110.9,111.3,110.9,110.9,110.9
110.9,110.9,111.3,110.9,110.9,110.9
111.0,111.0,111.3,111.0,110.9,111.0
112.0,112.0,112.0,112.0,110.9,112.0
112.7,112.7,112.7,112.7,110.9,112.7
112.7,112.7,112.7,112.7,110.9,112.7
160.2,160.2,160.2,160.2,110.9,160.2
160.2,160.2,160.2,160.2,110.9,160.2
139.9,139.9,139.9,139.9,110.9,139.9
146.4,146.4,146.4,146.4,110.9,146.4
113.9,113.9,113.9,113.9,110.9,113.9
112.7,112.7,112.6,112.7,110.9,112.7
112.7,112.7,112.6,112.7,110.9,112.7
