interconnector_1_price,agriculture_electricity,buildings_appliances,buildings_cooling,weather/buildings_heating,electric_buses,electric_trucks,electric_vans,electric_planes,electric_ships,electric_vehicle_profile_1,electric_vehicle_profile_2,electric_vehicle_profile_3,electric_vehicle_profile_4,electric_vehicle_profile_5,households_appliances,households_cooling,households_hot_water,industry_ict,industry_other_electricity,weather/solar_pv_profile_1,weather/solar_thermal,weather/air_temperature,weather/agriculture_heating,weather/wind_offshore_baseline,weather/wind_coastal_baseline,weather/wind_inland_baseline,weather/insulation_terraced_houses_high,weather/insulation_terraced_houses_medium,weather/insulation_terraced_houses_low,weather/insulation_apartments_high,weather/insulation_apartments_medium,weather/insulation_apartments_low,weather/insulation_semi_detached_houses_high,weather/insulation_semi_detached_houses_medium,weather/insulation_semi_detached_houses_low,weather/insulation_detached_houses_high,weather/insulation_detached_houses_medium,weather/insulation_detached_houses_low,bunkers_ships_electricity
2.48,3.083099492094933e-08,3.075658813076265e-08,1.5308777007158682e-08,1.000698996515566e-08,6.532697325676248e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,2.1861113393371546e-10,2.284954891471724e-09,1.1011851222834419e-08,0,3.1852841510554164e-08,3.6598893338867314e-08,4.723388690454985e-09,0,2.7777638889583332e-08,3.0554425041829005e-08,0,0,10.258442,1.000698996515566e-08,9.35E-01,7.48E-01,7.39E-01,1.686029998295491e-08,1.777097997114171e-08,1.4908089986800817e-08,1.552874001794377e-08,1.638491999788245e-08,1.4130070008682284e-08,1.8338060017400622e-08,1.901260002950739e-08,1.569045999167982e-08,2.015847998528834e-08,2.015414999666144e-08,1.6380940022503882e-08,3.1709791983764586e-08
2.48,3.2365569328779384e-08,3.22874590331988e-08,1.5308777007158682e-08,9.735970966099349e-09,4.352743362462579e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,2.094274025486376e-09,2.2743036943442037e-09,1.1011851222834419e-08,0,2.2447983244952712e-08,3.212879949595222e-08,4.723388690454985e-09,0,2.7777638889583332e-08,3.2082146293920455e-08,0,0,10.27794,9.735970966099349e-09,9.42E-01,8.52E-01,8.29E-01,1.6185939983636664e-08,1.6540509973139872e-08,1.3301599988223157e-08,1.490510001722314e-08,1.545592999800251e-08,1.2838080007888414e-08,1.760741001670732e-08,1.7834060027678302e-08,1.421056999246456e-08,1.9358489985872176e-08,1.895524999686004e-08,1.4941030020525757e-08,3.1709791983764586e-08
0,3.1947049035734825e-08,3.186994878707985e-08,1.5308777007158682e-08,1.1976839958296643e-08,3.1681639370507087e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,5.237306589321652e-09,1.4295818298462604e-09,0,0,1.3893617153107469e-08,2.7938086518219323e-08,4.723388690454985e-09,0,2.7777638889583332e-08,3.166549504335006e-08,0,0,10.361278,1.1976839958296643e-08,9.40E-01,8.76E-01,8.50E-01,1.5739359984088134e-08,1.6786519972740375e-08,1.529502998645823e-08,1.4494230016748372e-08,1.5955989997937886e-08,1.532371000941572e-08,1.7121190016245956e-08,1.8280060028370493e-08,1.6853779991062945e-08,1.8823439986262655e-08,1.949467999677068e-08,1.7972270024690028e-08,3.1709791983764586e-08
0,3.2365569328779384e-08,3.22874590331988e-08,1.5308777007158682e-08,9.05659396846494e-09,4.2093896015048916e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,7.105672615648609e-09,9.475468829213106e-10,2.2033020572109054e-08,0,7.77910818473902e-09,2.4026754405668618e-08,4.723388690454985e-09,0,2.7499862500687495e-08,3.2082146293920455e-08,0,0,10.433568,9.05659396846494e-09,9.46E-01,9.15E-01,8.88E-01,1.572724998410038e-08,1.8997769969149527e-08,2.0016359982278106e-08,1.4486920016739926e-08,1.8499829997609123e-08,2.06936400127153e-08,1.7103770016229428e-08,2.0982870032565232e-08,2.2641229987994034e-08,1.879947998628014e-08,2.248241999627576e-08,2.442226003355092e-08,3.1709791983764586e-08
0,3.278408962182394e-08,3.270496927931775e-08,1.5308777007158682e-08,1.0635769962966248e-08,4.045645991356797e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,7.515402653928287e-09,1.0626617441841244e-09,0,0,4.389295244587733e-09,2.0394803158300103e-08,4.723388690454985e-09,0,2.7777638889583332e-08,3.2498797544490854e-08,0,0,10.542144,1.0635769962966248e-08,9.47E-01,9.28E-01,9.03E-01,1.5860959983965202e-08,2.1373379965291777e-08,2.5580239977352012e-08,1.4619610016893251e-08,2.099790999728628e-08,2.7206760016717313e-08,1.7238610016357375e-08,2.372540003682161e-08,2.9630179984288e-08,1.893570998618072e-08,2.5461479995782272e-08,3.2283410044350444e-08,3.1709791983764586e-08
0,3.292359638617213e-08,3.28441393613574e-08,1.5308777007158682e-08,1.606887994404816e-08,3.11256567105092e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,7.945549173698064e-09,3.2671864419621386e-09,0,0,2.12035789065094e-09,1.983604142793572e-08,4.723388690454985e-09,4.412817770455138e-08,2.91665208340625e-08,3.2776565044871114e-08,0,0,10.648282,1.606887994404816e-08,9.46E-01,9.27E-01,9.00E-01,1.6482039983337318e-08,2.3348959962083632e-08,2.99837199734533e-08,1.521058001757613e-08,2.3205599997000962e-08,3.245591001994268e-08,1.7893110016978414e-08,2.6081950040478956e-08,3.524494998131066e-08,1.963137998567302e-08,2.804372999535452e-08,3.863321005307371e-08,3.1709791983764586e-08
0,3.3063103150520315e-08,3.2983309443397046e-08,1.5308777007158682e-08,1.916252993327607e-08,1.649963674808865e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,8.200349810922898e-09,3.9491361657420816e-09,0,0,3.765902139922384e-09,2.0394803158300103e-08,4.723388690454985e-09,8.499491567344196e-08,3.1110955556333326e-08,3.2776565044871114e-08,0,0,10.795933,1.916252993327607e-08,9.43E-01,9.28E-01,9.01E-01,1.6877049982937976e-08,2.373568996145562e-08,3.1727049971909806e-08,1.5605860018032884e-08,2.3571009996953735e-08,3.4333820021096564e-08,1.828783001735296e-08,2.646578004107466e-08,3.727236998023558e-08,2.0025739985385214e-08,2.8429569995290605e-08,4.0843410056110045e-08,3.1709791983764586e-08
0,3.390014373660944e-08,3.381832993563495e-08,1.5308777007158682e-08,1.2723999955695032e-08,1.9166458238983184e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,5.742485521210285e-09,2.7798258964734286e-09,4.037544186546261e-08,0,2.5423597051134648e-08,2.1232945753846685e-08,4.723388690454985e-09,9.351251179267502e-08,3.33331666675e-08,3.374875129620204e-08,0,0,10.898904,1.2723999955695032e-08,9.44E-01,9.17E-01,8.91E-01,1.714580998266627e-08,2.4571899960097702e-08,3.4190449969728784e-08,1.590188001837494e-08,2.4608939996819596e-08,3.711136002280324e-08,1.8526330017579265e-08,2.7473540042638693e-08,4.023191997866622e-08,2.0226959985238363e-08,2.9520549995109883e-08,4.410930006059667e-08,3.1709791983764586e-08
0,3.390014373660944e-08,3.381832993563495e-08,1.5308777007158682e-08,1.0391209963817806e-08,1.397964716403005e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,3.571557557999343e-09,3.208741411570105e-09,0,0,5.397023750303283e-08,2.4026754405668618e-08,4.723388690454985e-09,5.443264545165614e-08,3.388871944529166e-08,3.3609867546011905e-08,0,0,10.993676,1.0391209963817806e-08,9.45E-01,8.90E-01,8.66E-01,1.7347029982462847e-08,2.4659109959956082e-08,3.314212997065694e-08,1.6151100018662917e-08,2.463592999681611e-08,3.541856002176309e-08,1.867430001771967e-08,2.7425520042564166e-08,3.841210997963121e-08,2.0309319985178256e-08,2.9388259995131796e-08,4.183861005747724e-08,3.1709791983764586e-08
0,3.2365569328779384e-08,3.22874590331988e-08,1.5308777007158682e-08,1.6782269941564138e-08,1.7458001314479468e-08,8.43626853130824e-09,7.035310487654152e-09,3.1709791983764586e-08,0,4.741119753973785e-09,2.840182680196043e-09,9.64876462673793e-08,0,5.958118611241534e-08,2.9614371709312483e-08,4.723388690454985e-09,2.945491483421595e-08,3.41664958341875e-08,3.222103004411059e-08,2.02E-03,0,11.101562,1.6782269941564138e-08,9.46E-01,8.29E-01,8.17E-01,1.762680998218e-08,2.3974379961068012e-08,2.8884509974426507e-08,1.648431001904795e-08,2.365052999694346e-08,2.9732890018269505e-08,1.88948000179289e-08,2.6318510040846098e-08,3.2295119982874864e-08,2.045677998507064e-08,2.8039349995355245e-08,3.4614520047552895e-08,3.1709791983764586e-08
