interconnector_1_price
-0.01
-0.01
-0.01
-0.01
0
-0.01
0
0
0
0
0
42.36
42.36
42.36
0
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
-0.01
0
0
0
0
42.36
42.36
42.36
48
42.36
42.36
42.36
42.36
-0.01
0
0
0
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
2.49
0
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
2.49
2.49
42.36
42.36
42.36
42.36
-0.01
-0.01
-0.01
-0.01
0
0
42.36
42.36
42.36
42.36
-0.01
0
0
0
0
0
-0.01
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
0
0
2.49
42.36
42.36
42.36
42.36
42.36
42.36
42.36
0
0
0
0
-0.01
42.36
-0.01
-0.01
42.36
42.36
42.36
42.36
0
-0.01
-0.01
-0.01
0
0
42.36
42.36
42.36
42.36
-0.01
0
-0.01
0
0
0
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
0
0
0
0
0
42.36
0
42.36
-0.01
42.36
0
-0.01
0
0
0
0
0
-0.01
0
42.36
42.36
42.36
42.36
0
0
42.36
0
0
0
42.36
42.36
42.36
48
48
48
42.36
42.36
42.36
42.36
48
74.57
96.08
123.56
125.5
211.61
124.4
65.37
109.88
123.56
109.88
74.57
65.37
63.38
63.38
63.38
63.38
109.88
74.57
49.92
48
48
42.36
48
48
48
48
48
63.38
74.57
96.76
109.88
211.61
109.88
211.61
123.56
211.61
211.61
124.4
211.61
373.36
211.61
211.61
211.61
211.61
211.61
211.61
211.61
211.61
211.61
124.4
123.56
124.4
123.56
96.08
74.57
74.57
74.57
74.57
64.47
74.57
74.57
109.88
123.56
124.4
123.56
74.57
109.88
74.57
74.57
65.37
65.37
109.88
123.56
109.88
109.88
123.56
96.08
63.38
48
48
48
42.36
42.36
42.36
48
42.36
42.36
48
48
42.36
48
42.36
42.36
42.36
42.36
42.36
42.36
48
42.36
48
65.37
96.08
96.08
74.57
74.57
74.57
65.37
48
48
48
48
48
48
48
42.36
42.36
42.36
42.36
42.36
48
123.56
123.56
124.4
211.61
211.61
373.36
373.36
373.36
373.36
373.36
211.61
373.36
373.36
373.36
373.36
373.36
211.61
211.61
48
48
48
48
49.92
125.5
373.36
373.36
211.61
211.61
373.36
373.36
373.36
373.36
211.61
211.61
211.61
373.36
373.36
373.36
373.36
373.36
373.36
211.61
74.57
48
48
48
48
63.38
211.61
109.88
96.08
211.61
125.5
211.61
211.61
211.61
211.61
124.4
124.4
124.4
211.61
211.61
373.36
373.36
373.36
211.61
64.47
48
48
48
48
74.57
211.61
211.61
211.61
373.36
373.36
373.36
373.36
373.36
373.36
373.36
373.36
373.36
373.36
373.36
373.36
373.36
373.36
211.61
63.38
48
48
48
48
64.47
211.61
373.36
124.4
211.61
211.61
211.61
211.61
211.61
123.56
123.56
123.56
109.88
109.88
65.37
63.38
63.38
48
48
42.36
42.36
42.36
42.36
42.36
42.36
48
48
42.36
48
48
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
0
0
-0.01
0
42.36
0
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
48
48
48
42.36
48
48
48
65.37
48
48
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
42.36
0
0
0
0
0
0
0
2.49
0
42.36
42.36
2.49
42.36
0
-0.01
-0.01
-0.01
0
42.36
42.36
42.36
42.36
42.36
42.36
42.36
2.49
42.36
0
0
42.36
42.36
-0.01
42.36
0
42.36
42.36
42.36
42.36
42.36
48
48
48
48
48
48
48
48
64.47
48
42.36
42.36
0
0
0
42.36
48
48
48
48
48
48
42.36
48
63.38
96.76
125.5
211.61
211.61
373.36
373.36
373.36
373.36
373.36
211.61
373.36
211.61
211.61
211.61
211.61
211.61
123.56
123.56
211.61
123.56
211.61
125.5
124.4
211.61
125.5
211.61
211.61
211.61
211.61
211.61
211.61
373.36
211.61
211.61
211.61
211.61
211.61
211.61
211.61
373.36
211.61
211.61
211.61
211.61
124.4
