interconnector_1_price,interconnector_2_price
23.92,46.13
27.34,13.86
90.83,23.11
38.29,89.35
52.66,30.91
62.42,45.64
98.46,27.07
60.06,23.65
47.79,74.78
30.97,56.05
24.25,88.47
95.69,14.44
96.05,21.42
71.63,13.4
13.33,66.78
68.27,78.79
99.13,12.36
13.93,6.13
13.52,38.54
6.61,29.28
41.96,37.2
57.4,99.04
65.21,95.05
88.4,78.38
79.23,88.61
58.65,49.12
58.6,25.79
65.26,3.32
2.45,74.74
72.79,4.48
81.87,71.13
17.89,87.24
39.25,51.06
56.05,76.1
19.75,20.44
34.69,62.53
83.84,30.35
95.49,98.28
57.88,23.97
35.73,10.03
18.56,66.87
10.13,10.05
33.02,49
49.68,75.52
29.66,79.08
87.18,2.58
33.01,31.54
96.31,93.85
13,1.25
56.98,44.67
89.87,78.31
11.77,72.6
34.98,5.05
24.39,69.73
7.96,89.84
40.23,18.42
27.29,75.74
85.78,60.82
39.23,23.37
6.75,17.19
48.45,8.04
16.81,13.26
67.19,69.96
14.16,82.31
6.35,98.42
59.95,10.39
28.39,78.08
39.54,87.88
39.95,52.24
30.16,43.98
32.93,73.77
41.26,34.78
10.17,53.79
25.66,41.8
81.69,97.63
87.96,6.24
47.88,46.74
16.27,67
61.18,24.9
8.12,12.21
58.95,6.73
69.84,17.46
55.24,30.2
96.59,41.95
34.55,10.89
83.38,96.93
37.86,28.6
62.23,15.37
3.32,21.27
26.63,70.46
80.92,32.86
49.45,57.83
78.74,6.45
13.1,71.91
92.93,51.45
48.11,60.02
29.69,95.75
9.79,17.34
80.95,55.07
54.3,73.78
90.16,41.22
86.12,8.79
58.84,78.84
99.42,21.65
3.67,47.55
27.5,34.22
75.89,11.74
2.87,22.65
48.23,67.06
18.56,88.07
79.99,92.18
68.84,8.29
54.01,69.79
51.39,41.28
53.1,16.34
63.96,90.1
25.26,3.55
78.19,32.83
53.83,25.68
14.03,56.47
55.79,87.23
61.38,2.96
22.77,26.5
40.82,50.31
23.18,80.29
48.1,53.19
96.57,1.75
1.32,89.53
18.72,55.87
29.26,98.33
72.71,65.96
96.81,40.24
26.9,61.43
65.72,46.41
51.48,63.93
43.55,82.89
77.67,77.06
59.93,32.97
88.49,19.27
62.73,50.51
8.33,5.06
26.96,86.97
64.79,63.9
25.46,54.19
3.27,90.14
27.53,19.42
85.05,97.29
65.56,24.1
1.64,6.22
58.56,97.53
98.9,93.9
56.29,50.01
84.2,96.07
80.87,8.29
55.35,85.53
16.71,74.8
25.69,11.14
18.98,90.13
78.17,6.06
69.6,34.18
25.99,44.51
3.18,52.11
1.11,60.27
42.8,81.07
10.82,95.61
7.64,88.52
87.53,54.98
78.57,32.51
69.78,9.87
33.95,82.38
24.96,20.16
83.06,2.96
87.6,63.46
18.95,82.86
41.31,42.32
3.37,40.84
9.83,20.4
95.49,35.04
51.7,50.45
61.82,76.58
23.89,25.32
74.99,61.49
25.98,62.59
37.35,45.26
4.33,96.64
85.69,36.83
31.81,59.59
22.52,49.88
94.86,50.63
27.86,94.96
52.16,24.85
2.32,70.01
77.84,9.09
57.18,78.75
27.85,67.68
93.75,48.59
74.4,70.79
65.6,77.15
35.83,54.62
8.51,96.18
90.65,55.23
81.83,7.84
71.48,10.54
75.77,6.53
77.61,16.32
8.11,97.84
41.05,39.03
71.97,94.09
86.99,30.65
97.91,70.97
17.42,65.89
68.87,49.08
20.6,2.94
13.7,30.62
20.76,48.35
95,98.19
27.84,97.22
75.95,52.64
19.93,23.22
32.31,27.17
63.94,66.98
81.1,24.63
60.1,99.23
47.73,74.68
76.19,77.73
84.51,32.47
80.69,25.57
88.22,97.32
59.26,3.18
60.06,60.03
67.88,54.25
79.82,58.34
41.13,5.48
82.94,13.4
39.85,8.7
27.7,24.34
51.99,83.05
93.06,38.81
65.05,61.82
40.8,5.7
40.5,48.23
74.96,22.68
43,29.98
87.42,51.71
85.07,80.35
5.26,87.7
48.91,81.01
11.46,34.73
12.07,47.94
4,67.33
9.68,6.64
24.15,70.11
3.91,27.16
17.18,21.63
93.98,1.96
34.69,71.04
17.38,72.44
39.82,62.78
43.76,27.35
91.63,16.05
72.24,92.36
78.17,29.21
60.6,48.47
95.62,38.9
29.13,78.23
20.86,56.47
3.11,44.77
48.29,72.8
47.31,80.48
34,25.99
65.78,84.12
57.25,75.45
77.91,9.01
94.01,20.37
15.5,35.57
34.96,74.12
43.3,42.79
60.61,69.9
7.98,29.06
25.48,41.79
0.89,73.74
89.9,72.95
48.06,20.49
48.24,99.93
81.64,20.81
65.54,52.52
76.25,9.52
60.94,57.12
43.1,66.06
62.39,88.17
8.94,96.97
68.83,77.59
6.84,28.17
71.15,38.13
83.96,75.97
2.55,57.98
48,62.66
82.91,53.2
28.96,87.09
14.1,83.45
95.72,54.18
93.85,96.46
36.52,45.58
24.18,50.51
6.28,17.63
38.03,97.5
28.19,90.23
38.4,53.92
97.79,13.77
14.85,27.78
92.06,66.07
55.81,81.74
30.57,29.95
93.28,69.53
90.03,45.42
24.05,49.48
1.89,21.81
65.02,88.3
20.59,54.26
27.49,97.03
65.7,52.42
13.23,39.76
95.03,1.15
44.75,44.52
43.12,78.54
43.63,51.77
45.53,59.99
3.07,74.25
99.09,4.98
34.42,4.95
20.8,41.24
4.91,91.74
10.26,66.93
68.9,18.46
11.06,84.15
94.79,78.32
16.05,49.59
33.23,20.45
24.34,72.86
2.27,57.32
75.81,53.32
53.8,16.74
91.62,31.4
82.47,82.12
40.6,55.33
93.9,30.66
82.07,55.9
76.86,21.91
84.25,84.42
92.32,17.93
58.92,35.51
84.08,69.33
85.21,22.68
24.98,75.8
0.04,43.92
94.85,50.55
36.04,19.09
63.12,47.24
54.77,81.87
91.65,18.9
67.53,35.9
25.64,6.37
51.44,15.18
91.81,57.87
55.23,53.56
21.13,64.03
35.25,44.84
80.81,76.82
23.43,97.26
30.73,74.08
95.59,98.23
24.57,21.28
36.29,97.23
79.25,61.59
78.51,36.75
81.58,64.38
2.14,81.47
20.83,59.69
35.9,92.34
1.91,32.79
4.88,5.7
92.02,91.56
61.33,54.23
4.49,47.45
59.62,51.19
98.92,92.21
88.71,82.49
52.81,1.38
21.35,72.09
5.4,17.15
60.36,9.15
45.87,72.73
30.62,48.18
34.73,79.8
56.97,51.34
88.81,52.9
37.98,65.19
11.31,46.26
9.6,36.76
21.8,55.37
60.91,77.49
65.67,15.61
82.99,54.87
16.13,84.79
67.27,54
22.91,15.07
75.07,97.04
94.15,81.44
7.31,38.41
60.28,33.92
11.58,61.08
41.83,75.48
49.63,14.02
72.93,52.42
41.59,73.1
26.21,73.65
13.8,93.34
21.92,46.85
83.13,1.74
52.49,50.8
65.74,16.36
45.82,65.7
76.68,43.96
82.93,57.84
72.18,70.73
17.15,37.84
80.81,4.73
27.82,71.36
45.81,3.78
4.26,44.99
84.79,7.63
33.1,27.07
2.6,21.54
43.36,95.16
81.88,62.98
87.9,78.82
97.82,63.67
25.16,56.72
19.82,83.32
30.89,33.88
46.9,85.74
18.14,55.71
18.36,66.3
17.48,13.86
23.35,39.61
30.11,84.76
4.62,85.45
25.28,12.78
17.49,89.64
5.16,41.54
90.86,89.31
9.29,26.44
79.83,48.57
99.61,37.78
2.37,47.84
91.2,23.78
1.64,25.63
16.59,8.12
95.86,93.08
31.2,90.25
55.73,96.17
17.38,15.4
27.36,44.58
45.94,20.29
57.08,60.33
88.54,4.29
38.49,17.23
84.39,88.27
7.14,15.31
45.26,91.47
89.21,81.21
7.92,28.45
56,85.41
52.7,47.49
78.25,58.21
14.74,98.3
26.86,11.76
85.57,62.13
13.92,9.66
77.9,50.94
5.3,35.69
73.95,63.65
19.91,24.49
34.3,87.16
49.29,59.12
96.43,49.41
25.94,53.38
87.92,84.72
57.29,60.48
17.72,65.64
87.88,49.96
97.75,70.59
94.74,48.86
68.52,19.5
37.99,28.59
60.04,62.61
67.26,27.56
89,51.01
37.38,15.39
50.31,5.61
39.45,86.45
18.56,29.32
48.9,68.65
33.33,73.98
75.37,15.67
65.74,33.99
11.87,21.45
15.85,92.73
30.07,93.54
34.83,60.67
5.02,88.01
89.6,10.87
71.19,12.98
55.18,2.4
14.2,10.13
55.83,32.92
72.49,20.15
94.72,17.24
47.97,4.24
33.38,52.14
90.85,11.43
22.4,16.4
17.44,2
59.42,97
29.2,14.86
4.78,41.7
94.44,28.69
80.43,52.09
31.42,16.14
50.02,77.04
44.25,14.89
73.22,60.04
72.63,59.33
31.13,98.62
67.03,54.83
85.27,93.44
23.78,35.95
31.13,22.39
19.96,73.14
73.66,19.78
93.24,66.14
23.39,6.89
16.74,74.83
30.21,11.77
59.6,17.53
85.02,49.83
11.73,36.23
42.56,48.54
98.42,95.22
46.71,62.67
33.44,30.98
23.23,16.41
3.75,17.58
77.67,19.95
79.42,51.22
9.18,51.14
42.17,55.79
12.49,46.69
93.72,79.93
77.98,98.68
66.15,9.43
3.18,24.38
64.61,64.56
6.42,98.47
32.42,14.14
47.45,38.25
72.55,16.67
0.45,14.87
52.42,83.43
57.47,2.06
46.28,27.97
32.27,27.8
69.48,16.4
62.31,54.43
3.22,23.54
71.93,76.95
34.15,71.31
74.54,15.77
86.76,76.94
89.15,22.26
86.57,38.5
75.02,74.31
59.59,14.55
82.95,88.91
0.05,72.75
52.25,0.11
76.68,60.58
64.86,68.56
81.99,93.27
55.04,49.61
35.35,85.4
50.12,83.35
51.83,52.84
73.34,58.13
36.59,29.02
87.57,15.3
95.35,97.4
43.6,72.41
89.44,74.66
85.47,40.9
77.43,58.25
88.71,19.03
74.67,62.69
66.33,33.2
16.16,85.33
63.91,98.67
86.11,73.94
96.2,18.5
53.92,37.01
76.88,80.06
60.12,62.14
76.13,37.9
