interconnector_1_price,interconnector_2_price,interconnector_3_price,weather/wind_offshore_baseline,weather/wind_inland_baseline,weather/solar_pv_profile_1
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,0.992853763,0
0,18.57560967,0,1,0.974964781,0
0,18.57560967,0,1,0.944773717,0
0,18.57560967,0,1,0.892012725,0.000115407
0,18.57560967,0,1,0.863103168,0.019187457
0,18.57560967,0,1,0.859612572,0.069900603
0,18.57560967,0,1,0.874486427,0.115611409
0,16.73513879,0,1,0.915412697,0.147040822
0,16.73513879,0,1,0.938323899,0.150919464
0,18.57560967,0,1,0.924924248,0.125091963
0,18.57560967,0,1,0.905413782,0.06096856
0,18.57560967,0,1,0.891821326,0.002171152
0,18.57560967,0,1,0.858144856,0
0,20.03484015,0,1,0.827851605,0
0,18.57560967,0,1,0.825737891,0
0,18.57560967,0,0.929344015,0.819922717,0
0,18.57560967,0,1,0.784741441,0
0,18.57560967,0,0.595670942,0.720659476,0
0,18.57560967,0,0.696164697,0.647411668,0
0,0,0,0.821687593,0.579992766,0
0,322.082404,0,0.738495833,0.526012768,0
0,322.082404,0,0.85224912,0.468021721,0
0,322.082404,0,0.820556897,0.409469236,0
0,232.8984437,0,0.767917104,0.40276595,0
0,0,0,0.702879345,0.43080621,0
0,322.082404,0,0.474011475,0.474850876,0
0,322.082404,372.6687343,0.885368835,0.566600251,0
0,18.57560967,0,0.925533601,0.732787244,0.000114908
0,322.082404,0,1,0.911655872,0.01022885
0,18.57560967,372.6687343,1,0.998384109,0.023376227
0,18.57560967,0,1,1,0.028241321
0,322.082404,0,1,1,0.026649669
430.4430916,322.082404,372.6687343,1,1,0.025085403
0,0,0,1,1,0.031050878
0,54.83288601,0,1,1,0.020457315
0.017569106,18.57560967,0,1,1,0.00136644
0,91.09016234,0,1,1,0
0,0,372.6687343,1,1,0
0,54.83288601,155.1670922,1,1,0
0,54.83288601,0.015210969,1,1,0
0,0.013146221,62.12159636,1,1,0
0,54.83288601,0,1,1,0
0,18.57560967,372.6687343,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,0.996949158,0
0,18.57560967,0,1,0.987202198,0
0,18.57560967,0,1,0.987202306,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0.000279558
0,18.57560967,0,1,0.999491195,0.022255179
0,18.57560967,0.015210969,1,0.992643224,0.044090852
0,18.57560967,0.030421937,1,0.996736133,0.07544265
0,18.57560967,0.030421937,1,1,0.088375166
0,18.57560967,0.015210969,1,1,0.067860376
0,18.57560967,21.4626769,1,1,0.038828933
0,18.57560967,21.47788787,1,1,0.013881559
0,24.76747956,28.62704318,1,1,0.000812306
0,24.76747956,28.62704318,1,1,0
0,24.76747956,28.64225415,1,0.987213336,0
0,24.76747956,28.64225415,1,0.964434491,0
0,24.75433334,28.62704318,1,0.984100022,0
0,23.88668278,27.62311925,1,1,0
0,18.57560967,21.43225497,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,1,0
0,18.57560967,0,1,0.999627121,0
0,18.57560967,0,1,0.987977742,0
0,18.57560967,0,1,0.971216066,0
0,18.57560967,0,1,0.948401212,0
0,18.57560967,0,1,0.924331128,0
0,18.57560967,0,1,0.858754089,0
0,18.57560967,0,1,0.696566251,0.000291954
0,18.57560967,0,1,0.490002097,0.055689617
0,18.57560967,0,0.826070017,0.319762747,0.179950293
0,18.57560967,0,0.69089333,0.204538894,0.262133643
0,18.57560967,0,0.757873233,0.145251849,0.291875787
0.052707317,18.57560967,0.030421937,0.514527356,0.126113043,0.26434932
24.84271558,18.57560967,21.49309884,0.398527452,0.11732751,0.176668274
24.84271558,18.57560967,21.49309884,0.361864136,0.115497542,0.059538495
53.1641141,39.76731723,46.01318046,0.303337076,0.135492561,0.002068088
53.1816832,39.78046345,46.0436024,0.390684136,0.177608423,0
53.1816832,39.78046345,46.0436024,0.259428528,0.23491768,0
53.1816832,39.78046345,46.0436024,0.210288591,0.290630973,0
53.1641141,39.76731723,46.0436024,0.761824006,0.357958609,0
53.12897588,39.76731723,46.0436024,0.839468315,0.43982845,0
0,32.87869765,38.05784381,0.92541439,0.535805578,0
0,32.85240521,37.99699993,1,0.653790116,0
0,18.57560967,21.47788787,0.605040104,0.771170072,0
0,18.57560967,16.1084159,0.751499995,0.853022395,0
0,18.57560967,16.1084159,0.85333187,0.857800122,0
0,18.57560967,0.015210969,1,0.756447497,0
0,18.57560967,0,1,0.618062434,0
0,18.57560967,0,1,0.530481013,0
0,18.57560967,0,0.915794638,0.491274954,0
0,18.57560967,0,1,0.464177415,0
