interconnector_1_price,interconnector_2_price,interconnector_3_price,weather/wind_offshore_baseline,weather/wind_inland_baseline,weather/solar_pv_profile_1
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0.000115407
0,21.49531192,0,1,1,0.019187457
0,21.49531192,0,1,1,0.069900603
0,21.49531192,0,1,1,0.115611409
0,19.36555702,0,1,1,0.147040822
0,19.36555702,0,1,1,0.150919464
0,21.49531192,0,1,1,0.125091963
0,21.49531192,0,1,1,0.06096856
0,21.49531192,0,1,1,0.002171152
0,21.49531192,0,1,1,0
0,23.1839033,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,0.929344015,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,0.595670942,1,0
0,21.49531192,0,0.696164697,0.919971265,0
0,0,0,0.821687593,0.82416908,0
0,372.7071069,0,0.738495833,0.747463563,0
0,372.7071069,0,0.85224912,0.665058349,0
0,372.7071069,0,0.820556897,0.581855333,0
0,269.5052696,0,0.767917104,0.572329971,0
0,0,0,0.702879345,0.612175149,0
0,372.7071069,0,0.474011475,0.674762571,0
0,372.7071069,418.1011891,0.885368835,0.805138332,0
0,21.49531192,0,0.925533601,1,0.000114908
0,372.7071069,0,1,1,0.01022885
0,21.49531192,418.1011891,1,1,0.023376227
0,21.49531192,0,1,1,0.028241321
0,372.7071069,0,1,1,0.026649669
498.0998569,372.7071069,418.1011891,1,1,0.025085403
0,0,0,1,1,0.031050878
0,63.45148338,0,1,1,0.020457315
0.020330606,21.49531192,0,1,1,0.00136644
0,105.4076548,0,1,1,0
0,0,418.1011891,1,1,0
0,63.45148338,174.0836828,1,1,0
0,63.45148338,0.017065355,1,1,0
0,0.015212535,69.69490841,1,1,0
0,63.45148338,0,1,1,0
0,21.49531192,418.1011891,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0.000279558
0,21.49531192,0,1,1,0.022255179
0,21.49531192,0.017065355,1,1,0.044090852
0,21.49531192,0.034130709,1,1,0.07544265
0,21.49531192,0.034130709,1,1,0.088375166
0,21.49531192,0.017065355,1,1,0.067860376
0,21.49531192,24.07921542,1,1,0.038828933
0,21.49531192,24.09628077,1,1,0.013881559
0,28.66041589,32.11699746,1,1,0.000812306
0,28.66041589,32.11699746,1,1,0
0,28.66041589,32.13406282,1,1,0
0,28.66041589,32.13406282,1,1,0
0,28.64520336,32.11699746,1,1,0
0,27.64117605,30.99068405,1,1,0
0,21.49531192,24.04508471,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,1,0
0,21.49531192,0,1,0.989819874,0.000291954
0,21.49531192,0,1,0.696292439,0.055689617
0,21.49531192,0,0.826070017,0.45438251,0.179950293
0,21.49531192,0,0.69089333,0.290649543,0.262133643
0,21.49531192,0,0.757873233,0.206402717,0.291875787
0.060991819,21.49531192,0.034130709,0.514527356,0.179206495,0.26434932
28.74747746,21.49531192,24.11334613,0.398527452,0.166722262,0.176668274
28.74747746,21.49531192,24.11334613,0.361864136,0.16412188,0.059538495
61.52041498,46.0179183,51.62269783,0.303337076,0.19253478,0.002068088
61.54074559,46.03313083,51.65682854,0.390684136,0.252381374,0
61.54074559,46.03313083,51.65682854,0.259428528,0.333817764,0
61.54074559,46.03313083,51.65682854,0.210288591,0.412986292,0
61.52041498,46.0179183,51.65682854,0.761824006,0.508658788,0
61.47975377,46.0179183,51.65682854,0.839468315,0.624995742,0
0,38.04654997,42.69751735,0.92541439,0.761379135,0
0,38.0161249,42.62925593,1,0.929035034,0
0,21.49531192,24.09628077,0.605040104,1,0
0,21.49531192,18.07221058,0.751499995,1,0
0,21.49531192,18.07221058,0.85333187,1,0
0,21.49531192,0.017065355,1,1,0
0,21.49531192,0,1,0.878266037,0
0,21.49531192,0,1,0.753812934,0
0,21.49531192,0,0.915794638,0.698101167,0
0,21.49531192,0,1,0.659595594,0
0,21.49531192,0,0.618680301,0.642910768,0.00037564
0,21.49531192,18.07221058,0.58246486,0.627113941,0.066826807
0,21.49531192,18.07221058,0.908450909,0.570347147,0.188986976
0,21.49531192,18.07221058,0.502779474,0.525668758,0.265768266
0,21.49531192,18.07221058,0.372240437,0.555606269,0.294084231
0,21.49531192,24.06215006,0.253941915,0.601993199,0.276170834
0,21.49531192,24.09628077,0.260422196,0.596831003,0.209709445
28.68648564,21.49531192,24.09628077,0.375924686,0.538492271,0.098116072
28.68648564,21.49531192,24.09628077,0.362734972,0.470068856,0.004419401
28.68648564,21.49531192,24.09628077,0.29495912,0.448540677,0
28.68648564,21.49531192,24.09628077,0.589085066,0.450197128,0
28.68648564,21.49531192,24.09628077,1,0.434922744,0
28.68648564,21.49531192,24.09628077,1,0.407180108,0
28.68648564,21.49531192,24.09628077,1,0.381240514,0
21.50978158,21.49531192,18.07221058,1,0.367111048,0
