interconnector_1_price,agriculture_electricity,buildings_appliances,buildings_cooling,weather/buildings_heating,electric_buses,electric_trucks,electric_vans,electric_ships,electric_vehicle_profile_1,electric_vehicle_profile_2,electric_vehicle_profile_3,electric_vehicle_profile_4,households_appliances,households_cooling,households_hot_water,industry_ict,industry_other_electricity,weather/agriculture_heating,weather/solar_pv_profile_1,weather/solar_thermal,weather/wind_offshore_baseline,weather/wind_coastal_baseline,weather/wind_inland_baseline
0,3.32026E-08,3.31225E-08,3.31225E-08,4.02597E-08,9.69149E-09,0.00E+00,0.00E+00,3.84598E-08,1.28E-08,2.90E-08,9.35E-08,0.00E+00,4.27453E-08,4.27453E-08,3.04959E-08,3.36109E-08,3.30543E-08,4.02597E-08,0.023067366,0,0.964363599,0.677295999,0.677295999
0.01,3.27841E-08,3.2705E-08,3.2705E-08,3.77608E-08,9.2752E-09,0.00E+00,0.00E+00,3.84598E-08,1.52E-08,3.62E-08,5.92E-08,0.00E+00,4.24659E-08,4.24659E-08,3.06057E-08,3.36109E-08,3.24988E-08,3.77608E-08,0.009178962,0,0.964665899,0.690021999,0.690021999
0.01,3.34816E-08,3.34008E-08,3.34008E-08,3.49843E-08,1.43627E-08,0.00E+00,0.00E+00,5.15711E-08,1.91E-08,4.95E-08,2.60E-08,0.00E+00,4.1069E-08,4.1069E-08,3.06198E-08,3.38887E-08,3.31932E-08,3.49843E-08,0,0,0.963448499,0.674260999,0.674260999
0.01,3.41792E-08,3.40967E-08,3.40967E-08,3.16524E-08,1.58046E-08,0.00E+00,0.00E+00,5.59416E-08,1.62E-08,5.12E-08,3.18E-08,0.00E+00,4.44216E-08,4.44216E-08,3.05367E-08,3.44443E-08,3.40265E-08,3.16524E-08,0,0,0.961863899,0.724562999,0.724562999
14.46,3.61323E-08,3.60451E-08,3.60451E-08,2.721E-08,1.92697E-08,0.00E+00,0.00E+00,5.59416E-08,1.64E-08,5.85E-08,4.91E-08,0.00E+00,5.67143E-08,5.67143E-08,3.03662E-08,3.44443E-08,3.59709E-08,2.721E-08,0,0,0.953947899,0.710638999,0.710638999
25,3.57137E-08,3.56275E-08,3.56275E-08,2.24899E-08,2.44793E-08,0.00E+00,0.00E+00,5.59416E-08,2.89E-08,5.91E-08,1.28E-08,0.00E+00,5.92287E-08,5.92287E-08,3.81707E-08,3.44443E-08,3.54154E-08,2.24899E-08,0,0,0.936319899,0.683061999,0.683061999
14.46,3.55742E-08,3.54884E-08,3.54884E-08,1.52709E-08,2.55021E-08,0.00E+00,0.00E+00,5.59416E-08,3.64E-08,6.10E-08,0.00E+00,0.00E+00,5.5038E-08,5.5038E-08,4.91059E-08,3.38887E-08,3.54154E-08,1.52709E-08,0,0,0.887509599,0.724968999,0.724968999
0.01,3.57137E-08,3.56275E-08,3.56275E-08,1.55486E-08,3.62958E-08,0.00E+00,0.00E+00,5.29447E-08,3.43E-08,6.23E-08,2.45E-08,0.00E+00,5.16855E-08,5.16855E-08,4.13232E-08,3.24998E-08,3.55542E-08,1.55486E-08,0,0,0.830836999,0.744264999,0.744264999
0.01,3.62718E-08,3.61842E-08,3.61842E-08,1.49933E-08,3.70766E-08,0.00E+00,0.00E+00,4.39541E-08,4.40E-08,5.82E-08,0.00E+00,0.00E+00,4.72154E-08,4.72154E-08,2.92584E-08,3.13887E-08,3.61098E-08,1.49933E-08,0,0,0.752971499,0.674546999,0.674546999
0.01,3.57137E-08,3.56275E-08,3.56275E-08,1.49933E-08,4.01485E-08,0.00E+00,0.00E+00,4.39541E-08,4.45E-08,4.44E-08,0.00E+00,0.00E+00,4.16277E-08,4.16277E-08,2.88334E-08,2.97221E-08,3.55542E-08,1.49933E-08,0,0,0.807212199,0.618467999,0.618467999
0.01,3.55742E-08,3.54884E-08,3.54884E-08,1.49933E-08,6.49275E-08,0.00E+00,0.00E+00,4.39541E-08,4.20E-08,3.25E-08,0.00E+00,0.00E+00,3.49226E-08,3.49226E-08,0,2.88887E-08,3.54154E-08,1.49933E-08,0,0,0.895134799,0.544068999,0.544068999
0,3.18075E-08,3.17308E-08,3.17308E-08,2.11016E-08,6.54543E-08,0.00E+00,0.00E+00,4.94484E-08,2.64E-08,2.46E-08,0.00E+00,0.00E+00,2.98938E-08,2.98938E-08,0,2.80554E-08,3.15266E-08,2.11016E-08,0,0,0.937418699,0.539082999,0.539082999
0.01,3.26446E-08,3.25658E-08,3.25658E-08,1.9158E-08,4.09557E-08,0.00E+00,0.00E+00,5.12798E-08,2.06E-08,1.69E-08,0.00E+00,0.00E+00,2.40268E-08,2.40268E-08,0,2.80554E-08,3.24988E-08,1.9158E-08,0,0,0.937069099,0.641215999,0.641215999
0.01,3.22261E-08,3.21483E-08,3.21483E-08,1.94357E-08,3.11802E-08,0.00E+00,0.00E+00,5.12798E-08,1.28E-08,1.00E-08,0.00E+00,0.00E+00,2.06742E-08,2.06742E-08,0,2.80554E-08,3.20821E-08,1.94357E-08,0,0,0.900867199,0.671694999,0.671694999
0,3.22261E-08,3.21483E-08,3.21483E-08,2.05463E-08,4.17012E-08,0.00E+00,0.00E+00,5.12798E-08,1.16E-08,4.63E-09,0.00E+00,0.00E+00,1.95567E-08,1.95567E-08,0,2.80554E-08,3.19433E-08,2.05463E-08,0,0,0.875265499,0.618824999,0.618824999
0,3.25051E-08,3.24266E-08,3.24266E-08,2.38781E-08,3.3805E-08,0.00E+00,0.00E+00,5.12798E-08,3.71E-09,2.17E-09,0.00E+00,0.00E+00,1.87185E-08,1.87185E-08,0,2.83332E-08,3.2221E-08,2.38781E-08,0,0,0.822985299,0.561761999,0.561761999
0,3.33421E-08,3.32616E-08,3.32616E-08,2.97089E-08,1.64837E-08,0.00E+00,0.00E+00,5.12798E-08,8.52E-10,1.23E-09,0.00E+00,0.00E+00,1.95567E-08,1.95567E-08,4.41898E-08,2.91665E-08,3.30543E-08,2.97089E-08,0,0,0.737062399,0.472333,0.472333
0.01,3.72483E-08,3.71584E-08,3.71584E-08,4.05373E-08,1.13867E-08,0.00E+00,0.00E+00,2.93027E-08,0.00E+00,1.23E-09,0.00E+00,0.00E+00,2.31886E-08,2.31886E-08,8.51134E-08,3.13887E-08,3.7082E-08,4.05373E-08,0,0,0.709163799,0.394771,0.394771
