key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),wacc (factor),technical_lifetime (years)
agriculture_burner_crude_oil,146.9760156286777,0.0,5.0,2190.0,300000.0,0.04,15.0
agriculture_burner_hydrogen,0.0,0.0,5.0,2190.0,300000.0,0.04,15.0
agriculture_burner_network_gas,0.0,0.0,5.0,2190.0,300000.0,0.04,15.0
agriculture_burner_wood_pellets,0.0,0.0,5.0,2190.0,1003333.33333333,0.04,15.0
agriculture_geothermal,0.0,0.0,14.0,6000.0,26726000.0,0.04,30.0
agriculture_heatpump_water_water_ts_electricity,0.0,0.0,5.0,971.765172263585,3314285.71428571,0.04,15.0
buildings_cooling_airconditioning_electricity,407839.4892343832,0.0,0.0025,2240.0,1800.0,0.04,15.0
buildings_cooling_collective_heatpump_water_water_ts_electricity,22.338660517275564,0.0,2.25,2190.0,953500.0,0.04,15.0
buildings_cooling_heatpump_air_water_electricity,0.0,0.0,0.01,560.0,9098.0,0.02,15.0
buildings_cooling_heatpump_air_water_network_gas,0.3696904730519585,0.0,2.25,4000.0,2479300.0,0.04,15.0
buildings_solar_pv_solar_radiation,0.0,0.000272,0.0,754.47,353.60200000000003,0.04,25.0
buildings_space_heater_coal,0.0,0.0,0.133,1042.44,26600.0,0.04,15.0
buildings_space_heater_collective_heatpump_water_water_ts_electricity,0.0,0.0,2.25,4380.0,953500.0,0.04,15.0
buildings_space_heater_combined_hydrogen,0.0,0.0,0.1,1500.0,8940.000000000002,0.04,12.5
buildings_space_heater_crude_oil,15955.777319234498,0.0,0.142,981.1200000000066,18460.0,0.04,15.0
buildings_space_heater_electricity,10955.269654139409,0.0,0.081,1716.9600000000112,2025.0,0.04,15.0
buildings_space_heater_heatpump_air_water_electricity,294156.036,0.0,0.01,463.1010891317309,9098.0,0.02,15.0
buildings_space_heater_heatpump_air_water_network_gas,12.664257613798249,0.0,2.25141,4356.89413529022,1929780.0,0.04,15.0
buildings_space_heater_hybrid_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,3819.0,0.02,15.0
buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,6500.0,0.02,15.0
buildings_space_heater_network_gas,34404.21953453696,0.0,0.043,2000.000000000013,2000.0,0.04,15.0
buildings_space_heater_solar_thermal,13.97894736842105,0.0,0.175,791.666666666667,144375.0,0.04,20.0
buildings_space_heater_wood_pellets,956.8734368413968,0.0,0.137,1016.1600000000068,34318.5,0.04,15.0
energy_battery_solar_electricity,0.0,0.0,0.0,,,,
energy_battery_wind_electricity,0.0,0.0,0.0,,,,
energy_chp_coal_gas,0.0,140.0,140.0,5320.0,169050000.0,0.04,30.0
energy_chp_combined_cycle_network_gas,0.0,120.014,109.578,0.0,115043478.26,0.04,30.0
energy_chp_local_engine_biogas,3.226303551273717,2.021,2.209,8500.0,1200000.0,0.04,20.0
energy_chp_local_engine_network_gas,8.562169383744015,4.461486136039992,0.0,7073.572266188029,1200000.0,0.04,20.0
energy_chp_local_wood_pellets,0.0532242853043309,39.208981163981406,0.0,1352.5164366357096,83232000.0,0.04,25.0
energy_chp_supercritical_ccs_waste_mix,0.0,76.49100000000001,42.495,0.0,231000000.0,0.04,30.0
energy_chp_supercritical_waste_mix,0.0,59.994,33.33,0.0,162000000.0,0.04,30.0
energy_chp_ultra_supercritical_coal,0.0,600.0,600.0,0.0,1182605000.0,0.04,40.0
energy_chp_ultra_supercritical_cofiring_coal,0.0,643.467,243.474,0.0,1319134000.0,0.04,40.0
energy_chp_ultra_supercritical_lignite,0.0097012920774948,389.25330465348816,0.0,1460.8259141362278,1085000000.0,0.04,30.0
energy_distribution_imported_heat,0.0,0.0,0.0,,,,
energy_flexibility_flow_batteries_electricity,0.0,190.0,0.0,0.0,1046000000.0,0.07,25.0
energy_flexibility_hv_opac_electricity,0.0,1400.0,0.0,0.0,1785000000.0,0.07,50.0
energy_flexibility_mv_batteries_electricity,0.0,100.0,0.0,0.0,56000000.0,0.04,10.0
energy_flexibility_pumped_storage_electricity,0.0,500.0,0.0,0.0,500000000.0,0.04,75.0
energy_flexibility_solar_batteries_electricity,0.0,100.0,0.0,0.0,56000000.0,0.04,10.0
energy_flexibility_wind_batteries_electricity,0.0,100.0,0.0,0.0,56000000.0,0.04,10.0
energy_heat_backup_burner_network_gas,0.0,0.0,5.0,0.0,300000.0,0.04,15.0
energy_heat_burner_coal,0.0,0.0,100.0,0.0,20066666.6666667,0.04,15.0
energy_heat_burner_crude_oil,0.0,0.0,100.0,0.0,6000000.0,0.04,15.0
energy_heat_burner_hydrogen,0.0,0.0,5.0,0.0,300000.0,0.04,25.0
energy_heat_burner_network_gas,0.0,0.0,5.0,0.0,300000.0,0.04,25.0
energy_heat_burner_waste_mix,0.0,0.0,36.6,0.0,68808000.0,0.04,25.0
energy_heat_burner_wood_pellets,0.0,0.0,16.67,0.0,8184970.0,0.04,15.0
energy_heat_flexibility_p2h_boiler_electricity,0.0,0.0,50.0,0.0,3000000.0,0.04,15.0
energy_heat_flexibility_p2h_heatpump_electricity,0.0,0.0,1.0,0.0,500000.0,0.04,15.0
energy_heat_heatpump_water_water_electricity,0.0,0.0,1.0,0.0,500000.0,0.04,15.0
energy_heat_industry_chemicals_fertilizers_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,0.04,15.0
energy_heat_industry_chemicals_other_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,0.04,15.0
energy_heat_industry_chemicals_refineries_residual_heat,0.0,0.0,25.0,8760.0,6625000.0,0.04,15.0
energy_heat_industry_other_ict_residual_heat,0.0,0.0,25.0,8760.0,22100000.0,0.04,15.0
energy_heat_solar_thermal,0.0,0.0,23.3,719.3,9333333.3,0.04,25.0
energy_heat_well_geothermal,0.0,0.0,14.0,6000.0,26726000.0,0.04,30.0
energy_hydrogen_biomass_gasification,0.0,0.0,0.0,7884.0,144005991.803279,0.07,40.0
energy_hydrogen_biomass_gasification_ccs,0.0,0.0,0.0,7884.0,232125805.10018253,0.07,40.0
energy_hydrogen_electrolysis_solar_electricity,0.0,0.0,0.0,2679.6765426,10000000.0,0.07,25.0
energy_hydrogen_electrolysis_wind_electricity,0.0,0.0,0.0,4000.0,10000000.0,0.07,25.0
energy_hydrogen_flexibility_p2g_electricity,0.0,0.0,0.0,0.0,10000000.0,0.07,25.0
energy_hydrogen_solar_pv_solar_radiation,0.0,20.0,0.0,754.47,17420000.0,0.04,25.0
energy_hydrogen_steam_methane_reformer,0.0,0.0,0.0,7500.0,222000000.0,0.04,25.0
energy_hydrogen_steam_methane_reformer_ccs,0.0,0.0,0.0,7500.0,296814000.0,0.04,25.0
energy_hydrogen_wind_turbine_offshore,0.0,3.0,0.0,4000.0,11707500.0,0.04,20.0
energy_power_combined_cycle_ccs_coal,0.0,658.0,0.0,0.0,1704061960.706452,0.07,30.0
energy_power_combined_cycle_ccs_network_gas,0.0,665.0,0.0,0.0,712185855.036906,0.07,30.0
energy_power_combined_cycle_coal,0.0,800.0,0.0,0.0,1542475240.0,0.04,30.0
energy_power_combined_cycle_coal_gas,0.0,835.0,0.0,1789.0,626250000.0,0.04,30.0
energy_power_combined_cycle_hydrogen,0.0,800.0,0.0,0.0,599540000.0,0.07,30.0
energy_power_combined_cycle_network_gas,4.7381625000000005,800.0,0.0,4560.080156782295,599540000.0,0.04,30.0
energy_power_engine_diesel,0.0,2.0,0.0,0.0,400000.0,0.04,30.0
energy_power_engine_network_gas,0.0,400.0,0.0,0.0,260000000.0,0.04,25.0
energy_power_geothermal,0.0,12.0,0.0,8000.0,155084745.8,0.04,30.0
energy_power_hydro_mountain,0.47874,500.0,0.0,4302.991088770113,618099845.753424,0.04,50.0
energy_power_hydro_river,0.0,10.0,0.0,8000.0,36000000.0,0.04,45.0
energy_power_nuclear_gen2_uranium_oxide,0.0,1650.0,0.0,0.0,3200000000.0,0.07,50.0
energy_power_nuclear_gen3_uranium_oxide,0.0,1650.0,0.0,0.0,4950000000.0,0.07,60.0
energy_power_solar_csp_solar_radiation,0.0,50.0,0.0,746.2965638591616,175000000.0,0.04,30.0
energy_power_solar_pv_offshore,0.0,750.0,0.0,754.47,450000000.0,0.04,20.0
energy_power_solar_pv_solar_radiation,2.727,20.0,0.0,754.47,17420000.0,0.04,25.0
energy_power_supercritical_ccs_waste_mix,0.0,55.56,0.0,0.0,313914000.0,0.04,20.0
energy_power_supercritical_coal,1.06875,800.0,0.0,2343.1552781160744,790000000.0,0.04,45.0
energy_power_supercritical_waste_mix,1.5088192944564434,55.56,0.0,7456.575433028764,250020000.0,0.04,20.0
energy_power_turbine_hydrogen,0.0,150.0,0.0,0.0,80388228.75,0.07,50.0
energy_power_turbine_network_gas,0.0,150.0,0.0,0.0,80388228.75,0.04,50.0
energy_power_ultra_supercritical_ccs_coal,0.0,637.0,0.0,0.0,1521064123.124154,0.07,40.0
energy_power_ultra_supercritical_coal,0.0,800.0,0.0,0.0,1120000000.0,0.04,40.0
energy_power_ultra_supercritical_cofiring_coal,0.0,730.434782608696,0.0,0.0,1278260870.0,0.04,40.0
energy_power_ultra_supercritical_crude_oil,1.153925,800.0,0.0,15.542230564055345,392000000.0,0.04,30.0
energy_power_ultra_supercritical_lignite,0.5300000000189788,800.0,0.0,6479.449310320197,1027000000.0,0.04,30.0
energy_power_ultra_supercritical_network_gas,0.0,800.0,0.0,0.0,316800000.0,0.04,30.0
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.0,660.0,0.0,0.0,2428800000.0,0.07,30.0
energy_power_wind_turbine_coastal,0.0,3.0,0.0,2600.4235,4175962.5,0.04,25.0
energy_power_wind_turbine_inland,1343.3,3.0,0.0,2537.12,4175962.5,0.04,25.0
energy_power_wind_turbine_offshore,0.0,3.0,0.0,2627.01,11707500.0,0.04,20.0
energy_transport_hydrogen_compressed_trucks,0.0,0.0,0.0,8760.0,882272.7726894255,0.07,15.0
energy_transport_hydrogen_pipelines,0.0,0.0,0.0,8760.0,64400000.0,0.07,30.0
households_cooling_airconditioning_electricity,77045.9496646549,0.0,0.0025,560.0,1800.0,0.02,15.0
households_cooling_heatpump_air_water_electricity,0.0,0.0,0.01,560.0,9098.0,0.02,15.0
households_cooling_heatpump_ground_water_electricity,1867.1850045347564,0.0,0.01,560.0,13904.0,0.02,15.0
households_solar_pv_solar_radiation,0.0,0.000272,0.0,754.47,353.6,0.02,25.0
households_solar_pvt_solar_radiation,0.0,0.000894,0.0003333333333333,746.2965638591616,498.0,0.02,25.0
households_space_heater_coal,68316.4,0.0,0.0099,1172.477109625669,1980.0,0.02,15.0
households_space_heater_combined_hydrogen,0.0,0.0,0.022,0.0,2075.8450000000003,0.02,15.0
households_space_heater_combined_network_gas,440460.9999999999,0.0,0.022,527.614699331551,2134.39,0.02,15.0
households_space_heater_crude_oil,1149890.858,0.0,0.0105,1105.4784176470594,2100.0,0.02,15.0
households_space_heater_electricity,70815.342,0.0,0.006,1934.5872308823537,300.0,0.02,15.0
households_space_heater_heatpump_air_water_electricity,1797.8,0.0,0.01,1160.7523385294123,9098.0,0.02,15.0
households_space_heater_heatpump_ground_water_electricity,1797.8,0.0,0.01,1160.7523385294123,13904.0,0.02,15.0
households_space_heater_heatpump_pvt_electricity,0.0,0.0,0.0078,0.0,12419.0,0.02,18.0
households_space_heater_hybrid_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,3819.0,0.02,15.0
households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,6500.0,0.02,15.0
households_space_heater_network_gas,17978.0,0.0,0.022,527.6146993315512,1300.0,0.02,15.0
households_space_heater_wood_pellets,46742.8,0.0,0.0101,1149.2597411182298,3030.0,0.02,15.0
households_water_heater_coal,68316.4,0.0,0.0099,361.0400463629063,1980.0,0.02,15.0
households_water_heater_combined_hydrogen,0.0,0.0,0.022,0.0,0.0,0.02,15.0
households_water_heater_combined_network_gas,440461.0,0.0,0.022,162.46802086330783,0.0,0.02,15.0
households_water_heater_crude_oil,1149890.858,0.0,0.0105,340.4091865707402,2100.0,0.02,15.0
households_water_heater_heatpump_air_water_electricity,1797.8,0.0,0.01,357.4296458992772,253.56875,0.02,15.0
households_water_heater_heatpump_ground_water_electricity,1797.8,0.0,0.01,357.4296458992772,253.56875,0.02,15.0
households_water_heater_heatpump_pvt_electricity,0.0,0.0,0.0078,0.0,253.5687453042825,0.02,18.0
households_water_heater_hybrid_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,0.0,0.02,15.0
households_water_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,0.0,0.02,15.0
households_water_heater_network_gas,17978.000000000007,0.0,0.024,148.92901912469887,484.0,0.02,15.0
households_water_heater_resistive_electricity,70815.342,0.0,0.0015,2382.6965976446795,135.0,0.02,15.0
households_water_heater_solar_thermal,143234.0411633785,0.0,0.0014,791.666666666667,1155.0,0.02,20.0
households_water_heater_wood_pellets,46742.80000000001,0.0,0.0101,353.89073851413593,3030.0,0.02,15.0
industry_aluminium_burner_network_gas,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_fertilizers_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_fertilizers_burner_crude_oil,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_fertilizers_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_fertilizers_burner_network_gas,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_fertilizers_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_fertilizers_flexibility_p2h_hydrogen_electricity,0.0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_fertilizers_flexibility_p2h_network_gas_electricity,0.0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_other_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_other_burner_crude_oil,0.8914088406900049,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_other_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_other_burner_network_gas,6.284350456621006,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_other_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_other_flexibility_p2h_hydrogen_electricity,0.0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_other_flexibility_p2h_network_gas_electricity,0.0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_other_heater_electricity,0.0,0.0,50.0,2190.0,3000000.0,0.04,15.0
industry_chemicals_other_heatpump_water_water_electricity,0.0,0.0,5.0,7000.0,1250000.0,0.04,15.0
industry_chemicals_other_steam_recompression_electricity,0.0,0.0,43.1,8000.0,5698000.0,0.04,15.0
industry_chemicals_refineries_burner_coal,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_refineries_burner_crude_oil,5.355549733637747,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_refineries_burner_hydrogen,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_refineries_burner_network_gas,0.0,0.0,100.0,2190.0,6000000.0,0.04,15.0
industry_chemicals_refineries_burner_wood_pellets,0.0,0.0,100.0,2190.0,20066666.6666667,0.04,15.0
industry_chemicals_refineries_flexibility_p2h_hydrogen_electricity,0.0,0.0,50.0,0.0,3000000.0,0.04,15.0
industry_chemicals_refineries_flexibility_p2h_network_gas_electricity,0.0,0.0,50.0,0.0,3000000.0,0.04,15.0
