interconnector_1_price,interconnector_2_price,interconnector_3_price,interconnector_4_price,interconnector_5_price
18.69,18.69,18.69,18.69,11.92
18.36,18.69,18.36,18.36,11.92
18.36,18.69,18.36,18.36,11.92
18.36,18.36,18.36,18.36,11.92
18.36,18.36,18.36,18.36,11.92
11.92,18.36,11.92,11.92,11.92
11.92,18.36,11.92,11.92,11.92
11.92,18.36,11.92,11.92,11.92
11.92,11.92,11.92,11.92,11.92
7.18,7.18,7.18,7.18,11.92
2.31,2.31,2.31,2.31,11.92
7.18,7.18,7.18,7.18,11.92
7.18,7.18,11.92,7.18,11.92
7.18,11.69,11.92,7.18,11.92
11.92,11.92,11.92,11.92,11.92
11.92,11.92,11.92,11.92,11.92
11.92,11.92,11.92,11.92,11.92
11.92,18.36,18.36,11.92,11.92
11.92,18.36,18.36,11.92,11.92
11.92,18.36,18.36,11.92,11.92
7.18,11.92,11.92,7.18,11.92
2.31,11.92,11.92,2.31,11.92
2.31,11.92,11.92,2.31,11.92
2.31,11.92,11.92,2.31,11.92
2.31,2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31,2.31
2.31,2.31,2.31,2.31,2.31
2.31,11.92,2.31,2.31,2.31
2.31,11.92,11.92,2.31,2.31
2.31,11.92,11.92,2.31,2.31
2.31,7.18,7.18,2.31,2.31
2.31,7.18,7.18,2.31,2.31
2.31,7.18,7.18,2.31,2.31
2.31,11.92,11.92,2.31,2.31
2.31,29.66,29.66,2.31,2.31
2.31,71.49,71.49,2.31,2.31
2.31,71.49,71.49,2.31,2.31
2.31,71.49,71.49,2.31,2.31
2.31,71.49,71.49,2.31,2.31
2.31,71.49,71.49,2.31,2.31
2.31,71.49,71.49,2.31,2.31
2.31,64.96,29.82,2.31,2.31
2.31,47.76,19.71,2.31,19.71
2.31,47.76,19.71,2.31,19.71
2.31,47.76,19.71,2.31,19.71
2.31,47.76,19.71,2.31,19.71
2.31,47.76,19.71,2.31,19.71
2.31,47.76,19.71,2.31,19.71
2.31,47.76,47.76,2.31,19.71
2.31,47.76,47.76,2.31,19.71
2.31,47.76,47.76,2.31,19.71
2.31,47.76,62.71,2.31,19.71
19.71,47.76,62.71,19.71,19.71
19.71,47.76,62.85,19.71,19.71
19.71,67.79,67.79,19.71,19.71
29.82,96.24,96.24,29.82,19.71
29.82,69.89,62.91,29.82,19.71
29.82,69.89,62.81,29.82,19.71
29.82,62.71,62.71,29.82,19.71
29.82,62.71,62.81,29.82,19.71
29.82,64.15,64.15,29.82,19.71
29.82,58.47,73.7,29.82,19.71
29.82,47.76,62.94,29.82,19.71
29.59,47.76,62.85,29.59,19.71
19.71,54.74,62.71,19.71,19.71
19.71,54.74,62.71,19.71,19.71
2.31,62.6,62.6,2.31,29.66
2.31,62.6,62.6,2.31,29.66
2.31,62.6,62.6,2.31,29.66
2.31,62.6,62.6,2.31,29.66
2.31,62.6,62.6,2.31,29.66
2.31,62.6,62.6,2.31,29.66
2.31,62.6,62.6,2.31,29.66
2.31,62.6,62.6,2.31,29.66
2.31,62.6,62.6,2.31,29.66
2.31,49.21,62.6,2.31,29.66
2.31,49.21,62.71,2.31,29.66
2.31,49.21,62.81,2.31,29.66
2.31,49.21,62.81,2.31,29.66
2.31,49.21,62.81,2.31,29.66
29.66,49.21,62.81,29.66,29.66
29.66,62.81,62.81,29.66,29.66
62.6,63.13,63.13,62.6,29.66
66.73,71.95,71.95,66.73,29.66
66.73,75.88,75.88,66.73,29.66
66.73,71.95,71.95,66.73,29.66
66.73,71.95,71.95,66.73,29.66
66.73,69.71,69.71,66.73,29.66
66.73,67.45,66.73,66.73,29.66
62.6,62.81,62.81,62.6,29.66
62.71,62.71,62.71,62.71,63.02
62.71,62.71,62.71,62.71,63.02
62.71,62.71,62.71,62.71,63.02
62.71,62.71,62.71,62.71,63.02
62.71,62.71,62.71,62.71,63.02
62.71,62.71,62.71,62.71,63.02
63.02,63.14,63.02,63.02,63.02
63.31,64.33,63.02,63.31,63.02
64.33,64.33,64.33,64.33,63.02
63.02,63.02,63.02,63.02,63.02
63.02,63.02,63.02,63.02,63.02
63.02,63.02,63.02,63.02,63.02
63.02,63.02,63.02,63.02,63.02
63.23,63.23,63.23,63.23,63.02
64.33,64.33,64.33,64.33,63.02
70.8,70.8,64.44,70.8,63.02
91.24,91.24,64.7,91.24,63.02
91.24,91.24,91.24,91.24,63.02
91.24,91.24,88.33,91.24,63.02
91.24,91.24,64.74,91.24,63.02
91.24,91.24,64.41,91.24,63.02
70.8,70.8,64.41,70.8,63.02
70.8,70.8,64.41,70.8,63.02
66.73,66.73,63.02,66.73,63.02
63.87,63.87,63.02,63.87,63.65
63.87,63.87,63.02,63.87,63.65
63.65,63.65,62.91,63.65,63.65
63.65,63.65,62.81,63.65,63.65
63.65,63.65,62.71,63.65,63.65
63.76,63.76,62.71,63.76,63.65
64.63,64.63,62.71,64.63,63.65
65.2,65.2,63.02,65.2,63.65
64.74,64.74,63.65,64.74,63.65
63.87,63.87,63.87,63.87,63.65
63.65,63.65,63.65,63.65,63.65
63.65,63.65,63.65,63.65,63.65
63.65,63.65,63.12,63.65,63.65
63.65,63.65,63.02,63.65,63.65
63.65,63.65,63.02,63.65,63.65
63.76,63.76,63.76,63.76,63.65
64.63,64.63,64.63,64.63,63.65
65.2,65.2,65.2,65.2,63.65
67.62,67.62,67.62,67.62,63.65
65.2,65.2,65.2,65.2,63.65
65.2,65.2,65.2,65.2,63.65
63.87,63.87,63.87,63.87,63.65
63.87,63.87,63.87,63.87,63.65
63.65,63.76,63.65,63.65,63.65
62.81,62.91,62.81,62.81,62.81
62.81,62.91,62.81,62.81,62.81
62.81,62.81,62.81,62.81,62.81
62.81,62.81,62.81,62.81,62.81
62.91,62.91,62.71,62.81,62.81
63.65,63.65,62.6,62.81,62.81
64.18,64.18,29.82,62.81,62.81
64.18,64.18,62.71,64.18,62.81
64.18,64.18,62.81,64.18,62.81
64.18,64.18,62.81,62.81,62.81
64.18,63.87,62.81,62.81,62.81
63.76,63.76,62.81,62.81,62.81
63.76,63.76,62.81,62.81,62.81
64.18,63.76,62.81,62.81,62.81
64.18,63.76,62.81,62.81,62.81
64.18,64.18,62.81,62.81,62.81
64.2,64.2,62.81,64.2,62.81
89.23,89.23,64.07,89.23,62.81
89.23,89.23,73.47,73.47,62.81
64.18,64.18,62.95,62.95,62.81
63.03,63.03,62.81,62.81,62.81
62.81,62.81,62.81,62.81,62.81
62.81,62.81,62.81,62.81,62.81
61.3,61.3,61.3,61.3,62.81
29.82,56.48,29.82,29.82,35.17
29.82,43.77,29.82,29.82,35.17
29.82,43.77,29.82,29.82,35.17
29.21,29.21,29.21,29.21,35.17
29.66,29.66,29.66,29.66,35.17
29.82,43.77,11.92,29.82,35.17
35.17,56.48,35.17,35.17,35.17
56.48,56.48,56.48,56.48,35.17
56.48,56.48,56.48,56.48,35.17
56.48,56.48,56.48,56.48,35.17
56.48,56.48,56.48,56.48,35.17
56.48,56.48,56.48,56.48,35.17
56.48,56.48,56.48,56.48,35.17
56.48,56.48,56.48,56.48,35.17
56.48,56.48,56.48,56.48,35.17
56.48,56.48,56.48,56.48,35.17
