input,2030_KM,2030_KGG_midden,2030_KGG_hoog,2030_GP_midden,2030_GP_hoog,2035_KM,2035_KGG_midden,2035_KGG_hoog,2035_GP_midden,2035_GP_hoog,2040_KM,2040_KGG_midden,2040_KGG_hoog,2040_GP_midden,2040_GP_hoog
buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,,13.87,13.87,13.87,13.87,,16.03,16.03,16.03,16.03,,18.18,18.18,18.18,18.18
buildings_space_heater_district_heating_mt_steam_hot_water_share,,8.87,10.65,8.87,10.65,,12.9,15.48,12.9,15.48,,16.94,20.32,16.94,20.32
buildings_space_heater_heatpump_air_water_electricity_share,,6.21,4.44,6.21,4.44,,9.03,6.45,9.03,6.45,,11.85,8.47,11.85,8.47
buildings_space_heater_hybrid_heatpump_air_water_electricity_share,,12.42,12.42,12.42,12.42,,18.06,18.06,18.06,18.06,,23.71,23.71,23.71,23.71
buildings_space_heater_network_gas_share,,58.63,58.62,58.63,58.62,,43.98,43.98,43.98,43.98,,29.32,29.32,29.32,29.32
buildings_space_heater_wood_pellets_share,,0,0,0,0,,0,0,0,0,,0,0,0,0
bunkers_useful_demand_planes,,0,0,-0.35,-0.71,,0,0,-0.52,-1.03,,0,0,-0.68,-1.35
bunkers_useful_demand_ships,,0,0,-0.35,-0.71,,0,0,-0.52,-1.03,,0,0,-0.68,-1.35
capacity_of_energy_chp_local_engine_biogas,,206.83,384.25,29.41,29.41,,280.12,538.19,22.06,22.06,,353.41,692.12,14.7,14.7
capacity_of_energy_heat_flexibility_p2h_boiler_electricity,,283.87,283.87,283.87,283.87,,412.9,412.9,412.9,412.9,,541.94,541.94,541.94,541.94
deficit_limit_of_industry_chemical_flexibility_load_shifting_electricity,,32.52,41.03,41.03,58.06,,36.39,48.77,48.77,73.55,,40.26,56.52,56.52,89.03
deficit_limit_of_industry_metal_flexibility_load_shifting_electricity,,32.52,41.03,41.03,58.06,,36.39,48.77,48.77,73.55,,40.26,56.52,56.52,89.03
deficit_limit_of_industry_other_flexibility_load_shifting_electricity,,32.52,41.03,41.03,58.06,,36.39,48.77,48.77,73.55,,40.26,56.52,56.52,89.03
deficit_limit_of_industry_other_ict_flexibility_load_shifting_electricity,,32.52,41.03,41.03,58.06,,36.39,48.77,48.77,73.55,,40.26,56.52,56.52,89.03
green_gas_total_share,,0.45783116,0.45783116,35.78,35.78,,0.45783116,0.45783116,51.83,51.83,,0.45783116,0.45783116,67.89,67.89
households_heater_combined_network_gas_share,,56.87,56.87,56.87,56.87,,42.64,42.63,42.64,42.63,,28.42,28.42,28.42,28.42
households_heater_district_heating_lt_steam_hot_water_share,,0.34,0.34,0.34,0.34,,0.49,0.49,0.49,0.49,,0.64,0.64,0.64,0.64
households_heater_district_heating_mt_steam_hot_water_share,,8.17,9.58,8.17,9.58,,11.88,13.94,11.88,13.94,,15.6,18.29,15.6,18.29
households_heater_electricity_share,,3.81,3.81,3.81,3.81,,4.86,4.86,4.86,4.86,,5.91,5.91,5.91,5.91
households_heater_heatpump_air_water_electricity_share,,13.45,12.04,13.45,12.04,,18.47,16.42,18.47,16.42,,23.49,20.8,23.49,20.8
households_heater_heatpump_ground_water_electricity_share,,4.95,4.95,4.95,4.95,,6.84,6.84,6.84,6.84,,8.73,8.73,8.73,8.73
households_heater_hybrid_heatpump_air_water_electricity_share,,7.91,7.91,7.91,7.91,,11.44,11.44,11.44,11.44,,14.96,14.96,14.96,14.96
households_heater_network_gas_share,,1.46,1.46,1.46,1.46,,1.1,1.1,1.1,1.1,,0.73,0.73,0.73,0.73
households_heater_wood_pellets_share,,3.04,3.04,3.04,3.04,,2.28,2.28,2.28,2.28,,1.52,1.52,1.52,1.52
households_insulation_level_apartments_1945_1964,,208.85,201.82,194.8,187.77,,201.19,190.97,180.75,170.53,,193.52,180.11,166.7,153.29
households_insulation_level_apartments_1965_1984,,179.16,173.12,167.09,161.06,,172.62,163.84,155.07,146.29,,166.08,154.56,143.05,131.53
households_insulation_level_apartments_1985_2004,,143.17,138.34,133.52,128.69,,137.98,130.96,123.94,116.92,,132.79,123.57,114.36,105.15
households_insulation_level_apartments_2005_present,,107.37,103.75,100.13,96.51,,103.47,98.21,92.94,87.68,,99.58,92.67,85.76,78.85
households_insulation_level_apartments_before_1945,,286.08,276.46,266.85,257.23,,275.53,261.55,247.56,233.57,,264.99,246.63,228.27,209.92
households_insulation_level_apartments_future,,59.5,57.55,55.6,53.65,,57,54.16,51.32,48.48,,54.5,50.77,47.05,43.32
households_insulation_level_detached_houses_1945_1964,,223.04,215.7,208.35,201.01,,213.86,203.17,192.49,181.81,,204.67,190.65,176.63,162.6
households_insulation_level_detached_houses_1965_1984,,185.59,179.49,173.38,167.28,,177.89,169.01,160.14,151.26,,170.19,158.54,146.89,135.24
households_insulation_level_detached_houses_1985_2004,,146.92,142.09,137.26,132.44,,140.79,133.77,126.75,119.73,,134.66,125.44,116.23,107.02
households_insulation_level_detached_houses_2005_present,,106.69,103.18,99.67,96.16,,102.3,97.19,92.08,86.97,,97.9,91.19,84.48,77.78
households_insulation_level_detached_houses_before_1945,,271.53,262.58,253.64,244.7,,260.34,247.34,234.33,221.32,,249.16,232.09,215.02,197.95
households_insulation_level_detached_houses_future,,52.09,50.25,48.4,46.55,,50.77,48.08,45.4,42.72,,49.45,45.92,42.4,38.88
households_insulation_level_semi_detached_houses_1945_1964,,201.34,194.53,187.72,180.9,,194.21,184.3,174.39,164.48,,187.07,174.06,161.06,148.05
households_insulation_level_semi_detached_houses_1965_1984,,173.89,168,162.11,156.22,,167.77,159.2,150.63,142.06,,161.64,150.4,139.15,127.91
households_insulation_level_semi_detached_houses_1985_2004,,143.17,138.31,133.45,128.59,,138.2,131.13,124.06,116.99,,133.23,123.95,114.67,105.39
households_insulation_level_semi_detached_houses_2005_present,,105.96,102.37,98.79,95.21,,102.19,96.98,91.77,86.55,,98.43,91.59,84.74,77.9
households_insulation_level_semi_detached_houses_before_1945,,249.53,241.09,232.64,224.2,,240.7,228.42,216.13,203.85,,231.87,215.74,199.62,183.5
households_insulation_level_semi_detached_houses_future,,51.77,49.96,48.15,46.34,,50.3,47.67,45.04,42.41,,48.84,45.38,41.93,38.47
households_insulation_level_terraced_houses_1945_1964,,264.41,255.15,245.89,236.63,,257.04,243.56,230.09,216.62,,249.66,231.98,214.3,196.61
households_insulation_level_terraced_houses_1965_1984,,205.45,198.25,191.04,183.84,,199.76,189.28,178.81,168.33,,194.07,180.32,166.57,152.82
households_insulation_level_terraced_houses_1985_2004,,142.01,137.04,132.07,127.1,,138,130.78,123.55,116.33,,134,124.52,115.03,105.55
households_insulation_level_terraced_houses_2005_present,,109.51,105.68,101.85,98.02,,106.44,100.86,95.29,89.71,,103.36,96.04,88.72,81.41
households_insulation_level_terraced_houses_before_1945,,287.16,277.11,267.07,257.03,,279.04,264.43,249.83,235.22,,270.93,251.76,232.59,213.41
households_insulation_level_terraced_houses_future,,52.09,50.25,48.4,46.55,,50.77,48.08,45.4,42.72,,49.45,45.92,42.4,38.88
natural_gas_total_share,,99.54216884,99.54216884,64.22,64.22,,99.54216884,99.54216884,48.17,48.17,,99.54216884,99.54216884,32.11,32.11
transport_bicycles_share,,7.84,8.24,8.92,10.27,,7.97,8.56,9.54,11.5,,8.1,8.87,10.16,12.73
transport_busses_share,,6.6,6.94,7.51,8.64,,6.71,7.21,8.03,9.68,,6.82,7.47,8.55,10.72
transport_car_using_electricity_availability,,7.61,10.15,10.15,15.22,,11.07,14.76,14.76,22.14,,14.53,19.37,19.37,29.06
transport_cars_share,,72.94,71.53,69.18,64.48,,72.42,70.36,66.95,60.11,,71.89,69.21,64.71,55.74
transport_motorcycles_share,,3.01,3.16,3.42,3.94,,3.06,3.28,3.65,4.4,,3.1,3.39,3.89,4.87
transport_passenger_trains_share,,9.42,9.92,10.75,12.42,,9.65,10.38,11.59,14.02,,9.88,10.83,12.43,15.61
transport_planes_share,,0.09,0.1,0.1,0.12,,0.09,0.1,0.12,0.14,,0.1,0.11,0.13,0.16
transport_trams_share,,0.1,0.11,0.12,0.13,,0.1,0.11,0.12,0.15,,0.11,0.12,0.13,0.17
transport_truck_using_electricity_availability,,0,3.55,3.55,7.1,,0,5.16,5.16,10.32,,0,6.77,6.77,13.55
transport_useful_demand_freight_tonne_kms,,0,0,0.35,0.35,,0,0,0.52,0.52,,0,0,0.68,0.68
transport_useful_demand_passenger_kms,,0,0,-0.32,-0.53,,0,0,-0.46,-0.77,,0,0,-0.61,-1.02
transport_van_using_electricity_availability,,0,3.55,3.55,7.1,,0,5.16,5.16,10.32,,0,6.77,6.77,13.55
wtp_of_energy_heat_flexibility_p2h_boiler_electricity,,16.6,16.6,16.6,16.6,,15.52,15.52,15.52,15.52,,14.43,14.43,14.43,14.43
capacity_of_energy_flexibility_mv_batteries_electricity,,3832.26,0,0,0,,5574.19,0,0,0,,7316.13,0,0,0
capacity_of_energy_power_hybrid_wind_turbine_offshore,,10893.55,10893.55,10893.55,10893.55,,15845.16,15845.16,15845.16,15845.16,,20796.77,20796.77,20796.77,20796.77
capacity_of_energy_power_wind_turbine_offshore,,11026.98,10008.65,9103.47,7745.7,,15604.24,14123.04,12806.42,10831.48,,20181.51,18237.43,16509.36,13917.26
capacity_of_energy_flexibility_flow_batteries_electricity,,2129.03,638.71,21.29,0,,3096.77,929.03,30.97,0,,4064.52,1219.35,40.65,0
