set_name,slider_name,slider_start_value,slider_future_value,output_gquery
Kleine windmolens,capacity_of_energy_power_wind_turbine_inland,,13.95,total_net_co2_emissions
Kleine windmolens,flh_of_energy_power_wind_turbine_inland,,3410,total_net_co2_emissions
Basisscenario,capacity_of_energy_power_solar_pv_solar_radiation,,,total_net_co2_emissions
Basisscenario,flh_of_solar_pv_solar_radiation,,916.7045888,total_net_co2_emissions
Basisscenario,capacity_of_households_solar_pv_solar_radiation,,,total_net_co2_emissions
Basisscenario,capacity_of_buildings_solar_pv_solar_radiation,,,total_net_co2_emissions
Basisscenario,flh_of_solar_pv_solar_radiation,,916.7045888,total_net_co2_emissions
Basisscenario,capacity_of_energy_power_wind_turbine_inland,,,total_net_co2_emissions
Basisscenario,flh_of_energy_power_wind_turbine_inland,,3381.26896,total_net_co2_emissions
Basisscenario,capacity_of_energy_power_wind_turbine_inland,,,total_net_co2_emissions
Basisscenario,flh_of_energy_power_wind_turbine_inland,,3381.26896,total_net_co2_emissions
Basisscenario,households_heater_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_combined_hydrogen_share,,,total_net_co2_emissions
Basisscenario,households_heater_combined_network_gas_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_ht_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_lt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_district_heating_mt_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,households_heater_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_ground_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_pvt_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_heatpump_surface_water_water_ts_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_hybrid_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,households_heater_network_gas_share,,,total_net_co2_emissions
Basisscenario,households_heater_wood_pellets_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_heatpump_air_water_electricity_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_combined_hydrogen_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_district_heating_ht_steam_hot_water_share,,,total_net_co2_emissions
Basisscenario,buildings_space_heater_district_heating_lt_steam_hot_water_share,,,total_net_co2_emissions
