input,2040_klimaatzaak
agriculture_bio_kerosene_in_crude_oil_share,0
agriculture_biodiesel_in_crude_oil_share,0
agriculture_burner_crude_oil_share,0
agriculture_burner_hydrogen_share,0
agriculture_burner_network_gas_share,0
agriculture_burner_wood_pellets_share,15
agriculture_diesel_in_crude_oil_share,0
agriculture_final_demand_ht_central_steam_hot_water_share,65
agriculture_final_demand_local_steam_hot_water_share,0
agriculture_geothermal_share,0
agriculture_heatpump_water_water_electricity_share,20
agriculture_heatpump_water_water_ts_electricity_share,0
agriculture_kerosene_in_crude_oil_share,0
agriculture_lpg_in_crude_oil_share,0
agriculture_other_bio_oil_in_crude_oil_share,100
agriculture_other_oil_in_crude_oil_share,0
agriculture_useful_demand_electricity,0.5
agriculture_useful_demand_useable_heat,-1.5
battery_capacity_always_on_solar_pv_solar_radiation,100
battery_capacity_always_on_wind_turbine_inland,100
buildings_cooling_airconditioning_share,45
buildings_cooling_collective_heatpump_water_water_ts_electricity_share,55
buildings_cooling_heatpump_air_water_electricity_share,0
buildings_cooling_heatpump_air_water_network_gas_share,0
buildings_insulation_level_buildings_future,156.1453298
buildings_insulation_level_buildings_present,200.1709164
buildings_lighting_efficient_fluorescent_electricity_share,5
buildings_lighting_led_electricity_share,95
buildings_lighting_savings_from_daylight_control_light,95
buildings_lighting_savings_from_motion_detection_light,95
buildings_lighting_standard_fluorescent_electricity_share,0
buildings_number_of_buildings_future,175814.9535
buildings_space_heater_coal_share,0
buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,0
buildings_space_heater_combined_hydrogen_share,0
buildings_space_heater_crude_oil_share,0
buildings_space_heater_district_heating_ht_steam_hot_water_share,30
buildings_space_heater_district_heating_lt_steam_hot_water_share,0
buildings_space_heater_district_heating_mt_steam_hot_water_share,0
buildings_space_heater_electricity_share,4
buildings_space_heater_heatpump_air_water_electricity_share,25
buildings_space_heater_heatpump_air_water_network_gas_share,0
buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,0
buildings_space_heater_hybrid_crude_oil_heatpump_air_water_electricity_share,0
buildings_space_heater_hybrid_heatpump_air_water_electricity_share,35
buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,0
buildings_space_heater_network_gas_share,5
buildings_space_heater_solar_thermal_share,50
buildings_space_heater_wood_pellets_share,1
buildings_useful_demand_cooling,0.952944928
buildings_useful_demand_electricity,0
buildings_useful_demand_for_appliances,0.3
bunkers_allocated_percentage_aviation,0
bunkers_allocated_percentage_shipping,0
bunkers_plane_using_bio_kerosene_share,100
bunkers_plane_using_kerosene_share,0
bunkers_ship_using_ammonia_share,0
bunkers_ship_using_heavy_fuel_oil_share,0
bunkers_ship_using_hydrogen_share,0
bunkers_ship_using_lng_share,100
bunkers_useful_demand_planes,0
bunkers_useful_demand_ships,0
capacity_costs_energy_flexibility_flow_batteries_electricity,0
capacity_of_agriculture_chp_engine_biogas,0
capacity_of_agriculture_chp_engine_network_gas_dispatchable,0
capacity_of_agriculture_chp_engine_network_gas_must_run,0
capacity_of_agriculture_chp_wood_pellets,0
capacity_of_buildings_solar_pv_solar_radiation,56100
capacity_of_energy_battery_solar_pv_solar_radiation,0
capacity_of_energy_battery_wind_turbine_inland,0
capacity_of_energy_chp_combined_cycle_network_gas,0
capacity_of_energy_chp_local_engine_biogas,0
capacity_of_energy_chp_local_engine_network_gas,0
capacity_of_energy_chp_local_wood_pellets_dispatchable,0
capacity_of_energy_chp_ultra_supercritical_coal,0
capacity_of_energy_chp_ultra_supercritical_cofiring_coal,0
capacity_of_energy_flexibility_flow_batteries_electricity,10000
capacity_of_energy_flexibility_hv_opac_electricity,0
capacity_of_energy_flexibility_mv_batteries_electricity,25000
capacity_of_energy_flexibility_pumped_storage_electricity,0
capacity_of_energy_heat_burner_ht_coal,0
capacity_of_energy_heat_burner_ht_crude_oil,0
capacity_of_energy_heat_burner_ht_hydrogen,0
capacity_of_energy_heat_burner_ht_network_gas,0
capacity_of_energy_heat_burner_ht_waste_mix,0
capacity_of_energy_heat_burner_ht_wood_pellets,0
capacity_of_energy_heat_flexibility_p2h_boiler_electricity,7000
capacity_of_energy_heat_flexibility_p2h_heatpump_electricity,3000
capacity_of_energy_heat_heatpump_water_water_ht_electricity,9000
capacity_of_energy_heat_solar_ht_solar_thermal,0
capacity_of_energy_heat_well_deep_ht_geothermal,2300
capacity_of_energy_hydrogen_autothermal_reformer_must_run,7500
capacity_of_energy_hydrogen_biomass_gasification,165.76
capacity_of_energy_hydrogen_flexibility_p2g_electricity,10000
capacity_of_energy_hydrogen_solar_pv_solar_radiation,0
capacity_of_energy_hydrogen_steam_methane_reformer_must_run,1925.496774
capacity_of_energy_hydrogen_storage_salt_cavern,303.1252975
capacity_of_energy_hydrogen_wind_turbine_offshore,6600
capacity_of_energy_imported_hydrogen_baseload,6413
capacity_of_energy_power_combined_cycle_coal,0
capacity_of_energy_power_combined_cycle_hydrogen,3000
capacity_of_energy_power_combined_cycle_network_gas,0
capacity_of_energy_power_engine_diesel,0
capacity_of_energy_power_engine_network_gas,0
capacity_of_energy_power_geothermal,0
capacity_of_energy_power_hydro_river,37
capacity_of_energy_power_nuclear_gen2_uranium_oxide,0
capacity_of_energy_power_nuclear_gen3_uranium_oxide,0
capacity_of_energy_power_solar_pv_offshore,0
capacity_of_energy_power_solar_pv_solar_radiation,58000
capacity_of_energy_power_supercritical_coal,0
capacity_of_energy_power_turbine_hydrogen,15000
capacity_of_energy_power_turbine_network_gas,0
capacity_of_energy_power_ultra_supercritical_coal,0
capacity_of_energy_power_ultra_supercritical_cofiring_coal,0
capacity_of_energy_power_ultra_supercritical_network_gas,0
capacity_of_energy_power_wind_turbine_coastal,0
capacity_of_energy_power_wind_turbine_inland,20000
capacity_of_energy_power_wind_turbine_offshore,42000
capacity_of_households_solar_pv_solar_radiation,58500
capacity_of_industry_chemical_flexibility_load_shifting_electricity,50
capacity_of_industry_chemicals_refineries_flexibility_p2h_electricity,0
capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,0
capacity_of_industry_chp_engine_gas_power_fuelmix,0
capacity_of_industry_chp_turbine_gas_power_fuelmix,0
capacity_of_industry_chp_ultra_supercritical_coal,0
capacity_of_industry_chp_wood_pellets,0
capacity_of_industry_heat_burner_coal,0
capacity_of_industry_heat_burner_crude_oil,0
capacity_of_industry_heat_burner_lignite,0
capacity_of_industry_heat_well_geothermal,0
capacity_of_industry_metal_flexibility_load_shifting_electricity,50
capacity_of_industry_other_flexibility_load_shifting_electricity,50
capacity_of_industry_other_food_flexibility_p2h_electricity,147.4
capacity_of_industry_other_ict_flexibility_load_shifting_electricity,50
capacity_of_industry_other_paper_flexibility_p2h_electricity,43.3
change_in_energetic_emissions_other_ghg_agriculture,135
change_in_energetic_emissions_other_ghg_buildings,0
change_in_energetic_emissions_other_ghg_energy,0
change_in_energetic_emissions_other_ghg_households,0
change_in_energetic_emissions_other_ghg_industry,0
change_in_energetic_emissions_other_ghg_transport,0
change_in_indirect_emissions_co2,0
change_in_non_energetic_emissions_co2_agriculture_manure,0
change_in_non_energetic_emissions_co2_agriculture_soil_cultivation,0
change_in_non_energetic_emissions_co2_chemical_industry,0
change_in_non_energetic_emissions_co2_other_industry,0
change_in_non_energetic_emissions_co2_waste_management,0
change_in_non_energetic_emissions_other_ghg_agriculture_fermentation,0
change_in_non_energetic_emissions_other_ghg_agriculture_manure,108
change_in_non_energetic_emissions_other_ghg_agriculture_other,0
change_in_non_energetic_emissions_other_ghg_agriculture_soil_cultivation,52
change_in_non_energetic_emissions_other_ghg_chemical_industry,0
change_in_non_energetic_emissions_other_ghg_other_industry,0
change_in_non_energetic_emissions_other_ghg_waste_management,0
climate_relevant_co2_biomass_gas_future,0
climate_relevant_co2_biomass_gas_present,0
climate_relevant_co2_biomass_liquid_future,0
climate_relevant_co2_biomass_liquid_present,0
climate_relevant_co2_biomass_solid_future,0
climate_relevant_co2_biomass_solid_present,0
co_firing_biocoal_share,100
co_firing_coal_share,0
co2_emissions_of_imported_heat,0
co2_emissions_of_imported_hydrogen_future,0
connection_capacity_always_on_solar_pv_solar_radiation,25
connection_capacity_always_on_wind_turbine_inland,75
costs_bio_ethanol,1.2
costs_biodiesel,1.2
costs_biogas,45
costs_captured_biogenic_co2,0
costs_co2,168
costs_co2_free_allocation,0
costs_coal,55
costs_gas,15
costs_greengas,50
costs_heat_infra_indoors,100
costs_heat_infra_outdoors,100
costs_heat_network_storage_ht_steam_hot_water,0
costs_hydrogen,30
costs_hydrogen_transport_compressed_trucks,50.1
costs_hydrogen_transport_pipelines,1.6
costs_imported_heat,1
costs_industry_residual_heat,0
costs_infrastructure_electricity_hv_net,364
costs_infrastructure_electricity_interconnector_net,364
costs_infrastructure_electricity_lv_mv_trafo,200
costs_infrastructure_electricity_lv_net,916
costs_infrastructure_electricity_mv_hv_trafo,250
costs_infrastructure_electricity_mv_net,690
costs_infrastructure_electricity_offshore_net,810
costs_oil,58
costs_uranium,69.1
costs_wacc_households,3
costs_wacc_proven_technologies,3
costs_wacc_public_infrastructure,3
costs_wacc_unproven_technologies,3
costs_wood,153
curtailment_of_buildings_solar_pv_solar_radiation,60
curtailment_of_energy_power_solar_pv_offshore,60
curtailment_of_energy_power_solar_pv_solar_radiation,60
curtailment_of_households_solar_pv_solar_radiation,60
deficit_limit_of_industry_chemical_flexibility_load_shifting_electricity,168
deficit_limit_of_industry_metal_flexibility_load_shifting_electricity,168
deficit_limit_of_industry_other_flexibility_load_shifting_electricity,168
demand_of_molecules_direct_air_capture_co2,6.7
demand_of_molecules_offshore_sequestration_co2,0
demand_of_molecules_other_utilisation_co2,0
efficiency_energy_power_solar_pv_solar_radiation,24
electricity_interconnector_1_capacity,4400
electricity_interconnector_1_co2_emissions_future,0
electricity_interconnector_1_co2_emissions_present,0
electricity_interconnector_1_export_availability,100
electricity_interconnector_1_import_availability,100
electricity_interconnector_1_marginal_costs,50
electricity_interconnector_10_capacity,0
