id,title
1042616,II3050 2030 Internationale Ambitie
1042614,II3050 2030 Klimaatambitie
1042088,II3050 2030 Nationale Drijfveer
1042619,II3050 2035 Internationale Ambitie
1042621,II3050 2035 Klimaatambitie
1042090,II3050 2035 Nationale Drijfveer
1042623,II3050 2040 Decentrale initiatieven
1042625,II3050 2040 Europese integratie
1042628,II3050 2040 Internationale handel
1042092,II3050 2040 Nationaal leiderschap
1042630,II3050 2050 Decentrale initiatieven
1042632,II3050 2050 Europese integratie
1042634,II3050 2050 Internationale handel
1042094,II3050 2050 Nationaal leiderschap
