input,II3050 Regionaal - Solar PV en Warmtenet fix -,II3050 Nationaal - Solar PV en Warmtenet fix -,II3050 Europees - Solar PV en Warmtenet fix -,II3050 Internationaal - Solar PV en Warmtenet fix -
transport_car_using_gasoline_mix_share,0,0,0,10
transport_car_using_lpg_share,0,0,0,0
transport_car_using_compressed_natural_gas_share,0,0,0,0
transport_passenger_train_using_electricity_share,100,100,100,100
transport_passenger_train_using_diesel_mix_share,0,0,0,0
transport_passenger_train_using_coal_share,0,0,0,0
transport_bus_using_electricity_share,100,75,70,50
transport_bus_using_hydrogen_share,0,25,30,40
transport_bus_using_diesel_mix_share,0,0,0,0
transport_bus_using_gasoline_mix_share,0,0,0,10
transport_bus_using_lng_share,0,0,0,0
transport_bus_using_compressed_natural_gas_share,0,0,0,0
transport_motorcycle_using_gasoline_mix_share,0,0,50,15
transport_motorcycle_using_electricity_share,100,100,50,85
transport_bicycle_using_human_power_share,50,50,50,50
transport_bicycle_using_electricity_share,50,50,50,50
transport_plane_using_kerosene_share,0,0,0,0
transport_plane_using_gasoline_share,0,0,0,0
transport_plane_using_bio_ethanol_share,100,100,100,100
transport_useful_demand_freight_tonne_kms,-1,0,1,1
transport_trucks_share,83.4,83.4,83.4,83.4
transport_freight_trains_share,5.2,5.2,5.2,5.2
transport_ships_share,11.4,11.4,11.4,11.4
transport_truck_using_electricity_share,75,25,25,25
transport_truck_using_hydrogen_share,15,50,25,25
transport_truck_using_diesel_mix_share,0,0,0,0
transport_truck_using_gasoline_mix_share,0,25,25,50
transport_truck_using_compressed_natural_gas_share,0,0,25,0
transport_truck_using_lng_mix_share,10,0,0,0
transport_freight_train_using_electricity_share,100,100,100,100
transport_freight_train_using_diesel_mix_share,0,0,0,0
transport_ship_using_diesel_mix_share,0,0,0,0
transport_ship_using_lng_mix_share,100,100,100,100
bunkers_allocated_percentage_aviation,0,0,0,0
bunkers_allocated_percentage_shipping,0,0,0,0
bunkers_useful_demand_planes,-0.5,-0.2,0,0.5
bunkers_useful_demand_ships,-0.5,-0.2,0,0.5
bunkers_ship_using_heavy_fuel_oil_share,0,0,0,0
bunkers_ship_using_lng_share,100,100,100,100
industry_ccs_in_industry,100,100,100,100
industry_steel_production,78,106.6,145.1,145.1
industry_steel_blastfurnace_current_consumption_useable_heat_share,0,0,0,0
industry_steel_blastfurnace_bat_consumption_useable_heat_share,0,50,80,40
industry_steel_hisarna_consumption_useable_heat_share,50,25,0,40
industry_steel_electricfurnace_electricity_share,50,25,20,20
energy_steel_hisarna_transformation_coal_woodpellets_share,0,0,0,0
industry_aluminium_production,78,106.6,145.1,145.1
industry_aluminium_electrolysis_current_electricity_share,0,0,0,0
industry_aluminium_electrolysis_bat_electricity_share,50,50,75,75
industry_aluminium_carbothermalreduction_electricity_share,0,0,0,0
industry_aluminium_smeltoven_electricity_share,50,50,25,25
industry_other_metals_production,0,0,0,0
industry_other_metals_process_electricity_efficiency,1,1,1,1
industry_other_metals_process_heat_useable_heat_efficiency,1,1,1,1
industry_useful_demand_for_chemical_refineries,13.9,36.4,40,50
industry_useful_demand_for_chemical_refineries_electricity_efficiency,0,0,0,0
industry_useful_demand_for_chemical_refineries_useable_heat_efficiency,0,0,0,0
industry_chemicals_refineries_burner_network_gas_share,0,0,0,0
industry_chemicals_refineries_burner_crude_oil_share,0,0,0,0
industry_chemicals_refineries_burner_wood_pellets_share,0,0,20,20
industry_chemicals_refineries_burner_coal_share,0,0,0,0
industry_chemicals_refineries_burner_hydrogen_share,100,100,80,80
industry_final_demand_for_chemical_refineries_steam_hot_water_share,0,0,0,0
capacity_of_industry_chemicals_refineries_flexibility_p2h_electricity,0,0,750,1500
industry_useful_demand_for_chemical_fertilizers,20,40,100,145.1
industry_useful_demand_for_chemical_fertilizers_electricity_efficiency,1,1,1,1
industry_useful_demand_for_chemical_fertilizers_useable_heat_efficiency,1,1,1,1
industry_chemicals_fertilizers_steam_methane_reformer_hydrogen_share,0,0,0,0
industry_chemicals_fertilizers_hydrogen_network_share,100,100,100,100
industry_chemicals_fertilizers_burner_network_gas_share,0,0,0,0
industry_chemicals_fertilizers_burner_crude_oil_share,0,0,0,0
industry_chemicals_fertilizers_burner_wood_pellets_share,0,0,0,0
industry_chemicals_fertilizers_burner_coal_share,0,0,0,0
industry_chemicals_fertilizers_burner_hydrogen_share,100,100,100,100
industry_final_demand_for_chemical_fertilizers_steam_hot_water_share,0,0,0,0
industry_useful_demand_for_chemical_other,78,106.6,145.1,145.1
industry_useful_demand_for_chemical_other_electricity_efficiency,1,1,1,1
industry_useful_demand_for_chemical_other_useable_heat_efficiency,1,1,1,1
industry_chemicals_other_burner_network_gas_share,0,0,0,0
industry_chemicals_other_burner_crude_oil_share,0,0,0,27
industry_chemicals_other_burner_coal_share,0,0,0,0
industry_chemicals_other_burner_wood_pellets_share,0,0,0,0
industry_chemicals_other_burner_hydrogen_share,60,60,60,44
industry_chemicals_other_heater_electricity_share,27,27,27,29
industry_chemicals_other_steam_recompression_electricity_share,0,0,0,0
industry_chemicals_other_heatpump_water_water_electricity_share,0,0,0,0
industry_final_demand_for_chemical_other_steam_hot_water_share,13,13,13,0
capacity_of_industry_chemicals_other_flexibility_p2h_electricity,5945,5945,750,1500
industry_chemicals_other_wood_pellets_non_energetic_share,0,0,0,0
industry_chemicals_other_hydrogen_non_energetic_share,0,0,0,5
industry_chemicals_other_network_gas_non_energetic_share,0,0,0,0
industry_chemicals_other_crude_oil_non_energetic_share,100,100,100,95
industry_chemicals_other_coal_non_energetic_share,0,0,0,0
industry_useful_demand_for_other_ict,700,700,700,700
industry_useful_demand_for_other_ict_efficiency,3,3,3,3
industry_useful_demand_for_other_food,78,106.6,145.1,145.1
industry_useful_demand_for_other_food_efficiency,1.2,1.2,1.2,1.2
industry_other_food_burner_network_gas_share,50,0,25,25
industry_other_food_burner_crude_oil_share,0,0,0,0
industry_other_food_burner_coal_share,0,0,0,0
industry_other_food_burner_wood_pellets_share,0,0,0,0
industry_other_food_burner_hydrogen_share,0,50,25,25
industry_other_food_heater_electricity_share,30,35,40,40
industry_final_demand_for_other_food_steam_hot_water_share,20,15,10,10
capacity_of_industry_other_food_flexibility_p2h_electricity,1685,1685,250,0
industry_useful_demand_for_other_paper,78,106.6,145.1,145.1
industry_useful_demand_for_other_paper_efficiency,1.7,1.7,1.7,1.7
industry_other_paper_burner_network_gas_share,25,10,0,0
industry_other_paper_burner_crude_oil_share,0,0,0,0
industry_other_paper_burner_coal_share,0,0,0,0
industry_other_paper_burner_wood_pellets_share,0,0,0,0
industry_other_paper_burner_hydrogen_share,0,15,50,50
industry_other_paper_heater_electricity_share,55,60,40,40
industry_final_demand_for_other_paper_steam_hot_water_share,20,15,10,10
capacity_of_industry_other_paper_flexibility_p2h_electricity,410,410,250,0
industry_useful_demand_for_aggregated_other,84.3,114.9,156.9,156.9
industry_aggregated_other_industry_hydrogen_share,10,15,30,30
industry_aggregated_other_industry_wood_pellets_share,0,0,0,0
industry_aggregated_other_industry_electricity_share,80,80,70,70
industry_aggregated_other_industry_crude_oil_share,0,0,0,0
industry_aggregated_other_industry_network_gas_share,0,0,0,0
industry_aggregated_other_industry_coal_share,0,0,0,0
industry_aggregated_other_industry_useable_heat_share,10,5,0,0
capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,0,0,0,0
capacity_of_industry_chp_turbine_gas_power_fuelmix,0,0,0,0
capacity_of_industry_chp_engine_gas_power_fuelmix,0,0,0,0
capacity_of_industry_chp_ultra_supercritical_coal,0,0,0,0
capacity_of_industry_chp_wood_pellets,0,0,0,0
capacity_of_industry_heat_burner_coal,0,0,0,0
capacity_of_industry_heat_burner_crude_oil,0,0,0,0
capacity_of_industry_heat_well_geothermal,661.07,902.33,163.74,0
agriculture_useful_demand_electricity,3,3,3,3
agriculture_useful_demand_useable_heat,-1,-1,-1,-1
agriculture_burner_network_gas_share,25,0,0,0
agriculture_burner_crude_oil_share,0,0,0,0
agriculture_burner_wood_pellets_share,15,15,10,10
agriculture_burner_hydrogen_share,0,0,0,0
agriculture_heatpump_water_water_ts_electricity_share,0,20,50,25
agriculture_geothermal_share,60,60,40,40
agriculture_final_demand_steam_hot_water_share,0,5,0,25
other_useful_demand_electricity,-1,0,1,1
other_useful_demand_useable_heat,-1,0,1,1
other_useful_demand_non_energetic,-1,0,1,1
capacity_of_energy_power_ultra_supercritical_coal,0,0,0,0
capacity_of_energy_power_ultra_supercritical_cofiring_coal,0,0,0,0
capacity_of_energy_power_ultra_supercritical_ccs_coal,0,0,0,0
capacity_of_energy_power_combined_cycle_coal,0,0,0,0
capacity_of_energy_power_combined_cycle_ccs_coal,0,0,0,0
capacity_of_energy_power_supercritical_coal,0,0,0,0
capacity_of_energy_chp_ultra_supercritical_coal,0,0,0,0
capacity_of_energy_chp_ultra_supercritical_cofiring_coal,0,0,0,0
capacity_of_energy_power_combined_cycle_network_gas,0,0,46000,0
