short_name,title,area_code,end_year,description,id,keep_compatible,curve_file,heat_demand
KM_Neder-Betuwe,KM_Neder-Betuwe,GM1740_Neder-Betuwe,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Berkelland,KM_Berkelland,GM1859_Berkelland,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Bronckhorst,KM_Bronckhorst,GM1876_Bronckhorst,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Berg en Dal,KM_Berg en Dal,GM1945_Berg en Dal,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Montferland,KM_Montferland,GM1955_Montferland,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_West Betuwe,KM_West Betuwe,GM1960_West Betuwe,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Assen,KM_Assen,GM0106_Assen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Coevorden,KM_Coevorden,GM0109_Coevorden,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Emmen,KM_Emmen,GM0114_Emmen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Hoogeveen,KM_Hoogeveen,GM0118_Hoogeveen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Meppel,KM_Meppel,GM0119_Meppel,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Aa en Hunze,KM_Aa en Hunze,GM1680_Aa en Hunze,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Borger-Odoorn,KM_Borger-Odoorn,GM1681_Borger-Odoorn,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_De Wolden,KM_De Wolden,GM1690_De Wolden,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Noordenveld,KM_Noordenveld,GM1699_Noordenveld,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Westerveld,KM_Westerveld,GM1701_Westerveld,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Tynaarlo,KM_Tynaarlo,GM1730_Tynaarlo,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Midden-Drenthe,KM_Midden-Drenthe,GM1731_Midden-Drenthe,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Almere,KM_Almere,GM0034_Almere,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Zeewolde,KM_Zeewolde,GM0050_Zeewolde,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Noordoostpolder,KM_Noordoostpolder,GM0171_Noordoostpolder,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Urk,KM_Urk,GM0184_Urk,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Dronten,KM_Dronten,GM0303_Dronten,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Lelystad,KM_Lelystad,GM0995_Lelystad,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Achtkarspelen,KM_Achtkarspelen,GM0059_Achtkarspelen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Ameland,KM_Ameland,GM0060_Ameland,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Harlingen,KM_Harlingen,GM0072_Harlingen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Heerenveen,KM_Heerenveen,GM0074_Heerenveen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Leeuwarden,KM_Leeuwarden,GM0080_Leeuwarden,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Ooststellingwerf,KM_Ooststellingwerf,GM0085_Ooststellingwerf,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Opsterland,KM_Opsterland,GM0086_Opsterland,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Schiermonnikoog,KM_Schiermonnikoog,GM0088_Schiermonnikoog,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Smallingerland,KM_Smallingerland,GM0090_Smallingerland,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Terschelling,KM_Terschelling,GM0093_Terschelling,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Vlieland,KM_Vlieland,GM0096_Vlieland,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Weststellingwerf,KM_Weststellingwerf,GM0098_Weststellingwerf,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Tytsjerksteradiel,KM_Tytsjerksteradiel,GM0737_Tytsjerksteradiel,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Dantumadiel,KM_Dantumadiel,GM1891_Dantumadiel,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Súdwest-Fryslân,KM_Súdwest-Fryslân,GM1900_Súdwest-Fryslân,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_De Fryske Marren,KM_De Fryske Marren,GM1940_De Fryske Marren,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Waadhoeke,KM_Waadhoeke,GM1949_Waadhoeke,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Noardeast-Fryslân,KM_Noardeast-Fryslân,GM1970_Noardeast-Fryslân,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Groningen,KM_Groningen,GM0014_Groningen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Stadskanaal,KM_Stadskanaal,GM0037_Stadskanaal,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Veendam,KM_Veendam,GM0047_Veendam,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Pekela,KM_Pekela,GM0765_Pekela,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Oldambt,KM_Oldambt,GM1895_Oldambt,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Westerwolde,KM_Westerwolde,GM1950_Westerwolde,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Midden-Groningen,KM_Midden-Groningen,GM1952_Midden-Groningen,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Het Hogeland,KM_Het Hogeland,GM1966_Het Hogeland,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Westerkwartier,KM_Westerkwartier,GM1969_Westerkwartier,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Landgraaf,KM_Landgraaf,GM0882_Landgraaf,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Beek,KM_Beek,GM0888_Beek,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
KM_Beesel,KM_Beesel,GM0889_Beesel,2050,Dit scenario is een regionalisatie van het Koersvaste Middenweg scenario van Netbeheer Nederland voor het jaar 2050,,TRUE,KM2050_custom_curves,
