Production,Demand,Buffering and time-shifting,Deficit
16816.140578583112,16816.140578583112,0,0
17091.840347294932,17091.840347294932,0,0
17768.52003807369,17768.52003807369,0,0
19015.738123278257,19015.738123278257,0,0
20091.391118455358,20091.391118455358,0,0
22692.059869463417,22692.059869463417,0,0
24323.98915971705,24323.98915971705,0,0
24802.043137358793,24802.043137358793,0,0
23218.512358591324,23218.512358591324,0,0
21895.08699184819,21895.08699184819,0,0
21056.873435042435,21056.873435042435,0,0
20761.252135175262,20761.252135175262,0,0
20213.880009736346,20213.880009736342,0,0
20590.844757130708,20590.844757130708,0,0
21224.700900839267,21224.700900839267,0,0
21395.29592586511,21395.295925865106,0,0
21864.665083636315,21864.665083636315,0,0
21622.37429210249,21622.37429210249,0,0
22065.42613010157,22065.42613010157,0,0
21848.952464887352,21848.952464887352,0,0
20463.861685821976,20463.861685821976,0,0
17915.113305385075,17915.113305385075,0,0
16256.419537186694,16256.419537186692,0,0
13737.840008061416,13737.840008061414,0,0
12745.976259509958,12745.976259509958,0,0
11725.27049332586,11725.27049332586,0,0
11171.632518660364,11171.632518660364,0,0
11411.273054661391,11411.273054661391,0,0
11658.624537331421,11658.624537331421,0,0
14041.236059284585,14041.236059284585,0,0
15738.085730938003,15738.085730938003,0,0
16372.922747709294,16372.922747709292,0,0
14799.213941254968,14799.213941254968,0,0
13520.780939134309,13520.780939134309,0,0
12825.356373351922,12825.356373351922,0,0
12902.504984141377,12902.504984141377,0,0
12746.786769756529,12746.786769756529,0,0
13525.981346760404,13525.981346760404,0,0
14582.447561279807,14582.447561279807,0,0
15314.119881827393,15314.119881827393,0,0
16405.812379570954,16405.81237957095,0,0
16839.931194225526,16839.931194225526,0,0
17931.398823569132,17931.398823569132,0,0
18347.67920031693,18347.679200316936,0,0
17551.799048828878,17551.799048828878,0,0
15590.799248785388,15590.799248785388,0,0
14572.70337651949,14572.70337651949,0,0
12647.201829851434,12647.201829851434,0,0
12325.847164826753,12325.847164826751,0,0
12022.262102798533,12022.262102798533,0,0
12231.164485479305,12231.164485479305,0,0
