,present,future,unit
heat_demand_buildings_in_use_of_final_demand_in_buildings,131.97302999999997,43.437787527830935,PJ
households_final_demand_hot_water,52.38341094521106,40.130068339958456,PJ
households_final_demand_space_heating,261.0501206352891,119.88935332888727,PJ
households_number_of_inhabitants,16900726.0,18400000.0,#
households_number_of_residences,7587964.0,8800000.0,#
share_of_greengas_in_gas_network,0.0034393535869767177,1.0,factor
