key,number_of_units,electricity_output_capacity,heat_output_capacity,full_load_hours,initial_investment_per_plant,fixed_operation_and_maintenance_costs_per_year,variable_operation_and_maintenance_costs_per_full_load_hour,wacc,technical_lifetime,total_investment_over_lifetime_per_converter
agriculture_burner_crude_oil,0.0,0.0,5.0,2190.0,300000.0,5000.0,0.0,0.03,15.0,0.0
agriculture_burner_hydrogen,0.0,0.0,5.0,2190.0,300000.0,5000.0,0.0,0.03,15.0,0.0
agriculture_burner_network_gas,0.0,0.0,5.0,2190.0,300000.0,5000.0,0.0,0.03,15.0,0.0
agriculture_burner_wood_pellets,190.10991403456157,0.0,5.0,2190.0,1003333.33333333,5000.0,0.0,0.03,15.0,190743613.74800944
agriculture_final_demand_electricity,,,,,,,,,,
agriculture_geothermal,99.12874088944996,0.0,14.0,6000.0,26726000.0,1414000.0,26.6,0.03,30.0,2649314729.01144
agriculture_heatpump_water_water_ts_electricity,2142.187863997456,0.0,5.0,971.7651722635851,1690285.714285712,17977.6556868764,0.0,0.03,15.0,3620909543.831123
buildings_cooling_airconditioning_electricity,2670697.862128764,0.0,0.0025,2240.0,1800.0,25.0,0.0,0.03,15.0,4807256151.831775
buildings_cooling_collective_heatpump_water_water_ts_electricity,1011.7306293198767,0.0,2.25,2190.0,486285.0,67530.0,0.0,0.03,15.0,491989429.0788163
buildings_cooling_heatpump_air_water_network_gas,0.0,0.0,2.25,4000.0,2479300.0,99296.24,0.0,0.03,15.0,0.0
buildings_final_demand_electricity,,,,,,,,,,
buildings_heating_savings_from_insulation_useable_heat,,,,0.0,5706327172.872721,,,,40.0,
buildings_lighting_savings_from_daylight_control_light,0.0,,,0.0,,,,,,
buildings_lighting_savings_from_motion_detection_light,0.0,,,0.0,,,,,,
buildings_solar_pv_solar_radiation,19491473.559997786,0.00027200000000000005,0.0,1224.0,69.36594718714113,4.62,0.0,0.03,25.0,4008186610.5303826
buildings_space_heater_coal,0.0,0.0,0.133,1042.44,26600.0,798.0,0.0,0.03,15.0,0.0
buildings_space_heater_collective_heatpump_water_water_ts_electricity,653.7562345425996,0.0,2.25,4273.7179960099265,486285.0,67530.0,0.0,0.03,15.0,317911850.51454806
buildings_space_heater_crude_oil,0.0,0.0,0.142,981.12,18460.0,497.0,0.0,0.03,15.0,0.0
buildings_space_heater_district_heating_steam_hot_water,702847.3845182529,0.0,0.011000000000000001,2499.999999999557,0.0,0.0,0.0,0.03,30.0,0.0
buildings_space_heater_electricity,0.0,0.0,0.081,1716.96,2025.0,0.0,0.0,0.03,15.0,0.0
buildings_space_heater_heatpump_air_water_network_gas,0.0,0.0,2.25141,4380.0,1929780.0,297861.543,0.0,0.03,15.0,0.0
buildings_space_heater_network_gas,0.0,0.0,0.043,2000.0,2000.0,130.0,0.0,0.03,15.0,0.0
buildings_space_heater_solar_thermal,10203.450498256796,0.0,0.175,791.666666666667,144375.0,1837.5,0.0,0.03,20.0,1473123165.6858249
buildings_space_heater_wood_pellets,0.0,0.0,0.13699999999999998,1016.16,34318.5,1644.0,0.0,0.03,15.0,0.0
bunkers_p2l_burner_network_gas,0.0,0.0,100.0,2190.0,6000000.0,100000.0,0.0,0.03,15.0,0.0
energy_chp_combined_cycle_network_gas,0.0,120.0,117.2093,0.0,126168224.29906544,1356000.0,194.4,0.03,30.0,0.0
energy_chp_local_engine_biogas,0.0,2.0,2.18604651162791,8000.0,1201602.1361815757,0.0,16.0,0.03,20.0,0.0
energy_chp_local_engine_network_gas,0.0,2.0,2.18604651162791,0.0,1201602.1361815757,0.0,16.0,0.03,20.0,0.0
energy_chp_local_wood_pellets,0.0,23.12,65.68,0.0,56749090.90909092,159452.53056994814,0.0,0.03,25.0,0.0
energy_chp_supercritical_waste_mix,12.1,60.0,33.333333,2119.5795073020827,162000000.0,4800000.0,0.0,0.03,30.0,1960200000.0
