Production,Demand,Buffering and time-shifting,Deficit
18199.496328880632,18199.496328880632,0,0
18491.096382669748,18491.096382669748,0,0
19341.073584901744,19341.073584901744,0,0
20756.93733321676,20756.93733321676,0,0
22079.033563426805,22079.033563426812,0,0
24928.836689308082,24928.836689308082,0,0
26878.56226406045,26878.562264060445,0,0
27504.88184896333,27504.88184896333,0,0
25854.162463286397,25854.162463286397,0,0
24500.46983934037,24500.46983934037,0,0
23655.93479023955,23655.934790239546,0,0
23391.057933189608,23391.057933189608,0,0
22741.58059210854,22741.580592108534,0,0
23158.694312476226,23158.694312476226,0,0
23856.397164726073,23856.397164726073,0,0
24066.45973948752,24066.45973948752,0,0
24470.48424591799,24470.48424591798,0,0
24097.370695428657,24097.370695428654,0,0
24372.67911888073,24372.67911888072,0,0
23857.916325420014,23857.91632542001,0,0
22127.47180791553,22127.47180791553,0,0
19035.390878801627,19035.390878801627,0,0
16973.277099364117,16973.277099364117,0,0
14085.588375445781,14085.588375445781,0,0
12828.818779911135,12828.818779911133,0,0
11645.521704709141,11645.521704709141,0,0
11102.367637756817,11102.367637756817,0,0
11479.109723201582,11479.109723201582,0,0
12005.64989092964,12005.64989092964,0,0
14766.582778279982,14766.58277827998,0,0
16910.947166345868,16910.947166345868,0,0
17858.697027681974,17858.697027681967,0,0
16398.170696867393,16398.170696867393,0,0
15210.548351760424,15210.548351760424,0,0
14627.269494016131,14627.269494016131,0,0
14842.087555278966,14842.087555278962,0,0
14692.085000866746,14692.085000866744,0,0
15615.344261645168,15615.344261645168,0,0
16805.3173959473,16805.3173959473,0,0
17633.239148853867,17633.239148853867,0,0
18716.47222245311,18716.47222245311,0,0
19081.173790056266,19081.17379005626,0,0
20048.218729577526,20048.218729577526,0,0
20189.43461927987,20189.43461927987,0,0
19068.937216260907,19068.937216260907,0,0
16599.308798463124,16599.308798463124,0,0
15206.345487304572,15206.345487304572,0,0
12936.07781010007,12936.07781010007,0,0
12393.731366271006,12393.731366271006,0,0
11984.597380329811,11984.597380329811,0,0
12260.470707341976,12260.470707341976,0,0
13479.917699353964,13479.917699353962,0,0
14888.399745674165,14888.399745674165,0,0
18801.830871657337,18801.830871657337,0,0
22097.85958503749,22097.85958503749,0,0
24075.1978947637,24075.1978947637,0,0
23352.55195570609,23352.55195570609,0,0
22868.525680271283,22868.52568027128,0,0
23008.943808608263,23008.943808608263,0,0
23723.18743617101,23723.18743617101,0,0
23874.79747619435,23874.797476194344,0,0
24850.198614731078,24850.198614731078,0,0
25845.599642117064,25845.599642117064,0,0
26199.11605030944,26199.116050309432,0,0
26532.08152025153,26532.08152025152,0,0
25971.858267371583,25971.858267371583,0,0
26038.75298254519,26038.752982545186,0,0
25340.70594915585,25340.70594915585,0,0
23380.296318127348,23380.296318127348,0,0
20184.498828025782,20184.498828025782,0,0
18150.059936851132,18150.059936851132,0,0
15208.704754050139,15208.704754050139,0,0
14376.876320918334,14376.876320918338,0,0
13677.248023592085,13677.24802359208,0,0
13753.955128012913,13753.955128012914,0,0
14648.7022639077,14648.702263907695,0,0
15751.329154392672,15751.329154392672,0,0
19280.29996523579,19280.29996523579,0,0
22002.20366619671,22002.20366619671,0,0
23137.086968631265,23137.086968631265,0,0
21317.634190678218,21317.634190678218,0,0
19738.023140706504,19738.023140706504,0,0
18958.09525126296,18958.09525126296,0,0
18804.796875591182,18804.796875591182,0,0
18298.12585018196,18298.12585018196,0,0
18929.468925620447,18929.468925620447,0,0
20079.377618754894,20079.377618754894,0,0
20985.72207785808,20985.72207785808,0,0
22179.330133309035,22179.330133309035,0,0
22662.063521485485,22662.063521485485,0,0
23907.712296067628,23907.71229606762,0,0
24318.0986753203,24318.0986753203,0,0
23287.76078685529,23287.760786855288,0,0
20883.966537409706,20883.966537409706,0,0
19389.11744774665,19389.117447746652,0,0
16859.949695640225,16859.949695640225,0,0
16401.462760971153,16401.462760971153,0,0
15938.219828448051,15938.21982844805,0,0
16181.470892950756,16181.470892950754,0,0
17348.81788959037,17348.81788959037,0,0
18848.199810529837,18848.199810529837,0,0
22410.2446903146,22410.2446903146,0,0
25214.907843541216,25214.907843541216,0,0
26669.62819636449,26669.62819636449,0,0
25740.3899083838,25740.3899083838,0,0
25040.362385647622,25040.36238564762,0,0
24825.645684137256,24825.645684137256,0,0
25167.982622870517,25167.982622870517,0,0
24886.177529723795,24886.177529723787,0,0
25493.93128846956,25493.93128846956,0,0
26185.277940488668,26185.277940488668,0,0
26312.155513828053,26312.155513828046,0,0
26524.527471878442,26524.52747187844,0,0
25937.02715099145,25937.02715099145,0,0
25978.761872272746,25978.761872272746,0,0
25264.458954663452,25264.458954663452,0,0
23400.423533716035,23400.423533716035,0,0
20350.051575084995,20350.051575084995,0,0
18406.781155206783,18406.781155206783,0,0
15753.064894016621,15753.06489401662,0,0
14975.544226887849,14975.544226887849,0,0
14353.173901044082,14353.173901044082,0,0
14561.971747881182,14561.971747881182,0,0
15708.34719636886,15708.34719636886,0,0
17142.243450877533,17142.243450877533,0,0
20777.74871912502,20777.74871912502,0,0
23693.66407287768,23693.664072877677,0,0
25251.096084967754,25251.09608496775,0,0
24353.61842568694,24353.61842568694,0,0
23569.582318670684,23569.582318670684,0,0
23272.3036823655,23272.3036823655,0,0
23514.855387378746,23514.855387378746,0,0
23225.51630007604,23225.51630007604,0,0
23840.594760493605,23840.594760493597,0,0
24699.98077872057,24699.98077872057,0,0
25052.990946348305,25052.990946348305,0,0
25585.611248741818,25585.611248741818,0,0
25238.347436306758,25238.347436306747,0,0
25437.214569722,25437.214569722,0,0
24786.68177289797,24786.68177289796,0,0
22944.821487827598,22944.821487827598,0,0
19761.565954237925,19761.565954237925,0,0
17704.122936088403,17704.122936088403,0,0
14877.114628632971,14877.114628632971,0,0
13779.134176546057,13779.134176546057,0,0
12919.352858939204,12919.352858939204,0,0
12837.847065033979,12837.847065033979,0,0
13735.051938727649,13735.051938727649,0,0
14785.533370186067,14785.533370186067,0,0
18057.72113606762,18057.72113606762,0,0
20638.468789550647,20638.468789550647,0,0
21893.731642780233,21893.731642780233,0,0
20655.520848501204,20655.520848501204,0,0
19521.669543871492,19521.669543871492,0,0
18843.754007957592,18843.754007957592,0,0
18821.559314564794,18821.559314564794,0,0
18367.05325348004,18367.05325348004,0,0
19035.06950511857,19035.06950511857,0,0
20080.343958970607,20080.343958970603,0,0
20779.13251000678,20779.13251000678,0,0
21680.0632123871,21680.0632123871,0,0
21830.040712522474,21830.040712522466,0,0
22599.72994058071,22599.729940580703,0,0
22545.537576427672,22545.537576427672,0,0
21217.076481741235,21217.076481741235,0,0
18503.83554979819,18503.83554979819,0,0
16749.396816771074,16749.396816771074,0,0
14132.224401926476,14132.224401926476,0,0
13163.920906019099,13163.920906019097,0,0
12246.245659419983,12246.245659419983,0,0
12021.00433328538,12021.00433328538,0,0
12691.100635264249,12691.100635264249,0,0
13583.185456825102,13583.185456825102,0,0
16711.0841673724,16711.084167372395,0,0
19220.99018469396,19220.99018469396,0,0
20527.44905109851,20527.44905109851,0,0
19549.892419280524,19549.892419280524,0,0
18827.26825584188,18827.26825584188,0,0
18687.954874340634,18687.954874340627,0,0
19204.298479787118,19204.298479787118,0,0
19216.17991859415,19216.17991859415,0,0
20137.215628525988,20137.215628525984,0,0
21168.732114953524,21168.732114953524,0,0
21613.824032576882,21613.824032576882,0,0
22138.35976674152,22138.35976674152,0,0
21791.017061766364,21791.017061766364,0,0
22016.730461716452,22016.730461716452,0,0
21498.78714172501,21498.78714172501,0,0
19829.709745157023,19829.709745157023,0,0
16815.29188684902,16815.291886849016,0,0
14877.325384277405,14877.3253842774,0,0
12157.589074592759,12157.589074592759,0,0
11102.700441461282,11102.700441461282,0,0
10095.064850287135,10095.064850287135,0,0
9732.186657677626,9732.186657677626,0,0
10300.357748648748,10300.357748648748,0,0
11002.237522295314,11002.237522295314,0,0
13952.925139819963,13952.925139819963,0,0
16392.948387257482,16392.948387257482,0,0
17612.590472429394,17612.59047242939,0,0
16377.545083687331,16377.545083687331,0,0
15430.675073370401,15430.675073370401,0,0
14964.326165554454,14964.32616555445,0,0
15102.940740205766,15102.940740205766,0,0
14720.226885654352,14720.226885654352,0,0
15290.48916543501,15290.48916543501,0,0
16133.950087470701,16133.950087470696,0,0
16428.101378475167,16428.101378475167,0,0
16915.525032565227,16915.525032565223,0,0
16634.233803038554,16634.233803038554,0,0
16946.916263634554,16946.916263634554,0,0
16575.475037734243,16575.475037734243,0,0
15093.188074458234,15093.188074458232,0,0
12176.767448207376,12176.767448207376,0,0
10370.913777271657,10370.913777271657,0,0
7503.332060536983,7503.332060536981,0,0
6433.157454098913,6433.157454098913,0,0
5507.749214081829,5507.7492140818285,0,0
4825.474033282967,4825.474033282967,0,0
4840.481144816076,4840.481144816076,0,0
5220.69444041599,5220.6944404159885,0,0
8036.728895926309,8036.728895926309,0,0
10627.502448118888,10627.502448118888,0,0
12119.263554410913,12119.263554410913,0,0
11326.675784953113,11326.675784953113,0,0
11100.313243558716,11100.313243558714,0,0
12075.218074268325,12075.21807426832,0,0
13324.686388686267,13324.686388686267,0,0
14084.440773054655,14084.440773054655,0,0
15646.33653309577,15646.33653309577,0,0
17420.992958441064,17420.992958441064,0,0
18641.883225910457,18641.883225910457,0,0
19827.341727292544,19827.341727292544,0,0
19997.16343769111,19997.16343769111,0,0
20825.242159012047,20825.242159012043,0,0
20866.33619297326,20866.33619297326,0,0
19602.488695472384,19602.488695472384,0,0
16924.006498416486,16924.006498416486,0,0
15350.165887349976,15350.165887349976,0,0
12731.12032871385,12731.120328713847,0,0
12010.90692380692,12010.90692380692,0,0
11410.854206888676,11410.854206888676,0,0
11424.177698434274,11424.177698434274,0,0
12366.216239050496,12366.216239050496,0,0
13436.747451798357,13436.747451798357,0,0
17075.77046467199,17075.77046467199,0,0
20067.873592541077,20067.87359254107,0,0
21642.71902589981,21642.71902589981,0,0
20324.51308610758,20324.51308610758,0,0
19291.19837539617,19291.19837539617,0,0
18915.97360010405,18915.97360010405,0,0
19159.229584311022,19159.229584311022,0,0
18884.357222912462,18884.357222912462,0,0
19537.39145539576,19537.39145539576,0,0
20417.247772284518,20417.247772284518,0,0
20795.45454943413,20795.45454943413,0,0
21304.458316152813,21304.458316152813,0,0
21037.067308915688,21037.067308915688,0,0
21386.35283243645,21386.35283243645,0,0
20999.497337781017,20999.497337781017,0,0
19333.451975276454,19333.451975276454,0,0
16286.693190027443,16286.693190027443,0,0
14330.935037091938,14330.935037091936,0,0
