Input Name,GM0482_alblasserdam,GM0505_dordrecht,GM0523_hardinxveld_giessendam,GM0531_hendrik_ido_ambacht,GM0590_papendrecht,GM0610_sliedrecht,GM0642_zwijndrecht
buildings_space_heater_district_heating_lt_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_district_heating_mt_steam_hot_water_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_heatpump_air_water_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_heatpump_air_water_network_gas_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_hybrid_crude_oil_heatpump_air_water_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_hybrid_heatpump_air_water_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_network_gas_share,85.85193984733145,36.036832392011284,89.92849920401625,91.38437934914083,83.89171299768363,90.01410337842795,88.42319316812082
buildings_space_heater_solar_thermal_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_wood_pellets_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_for_appliances,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_allocated_percentage_aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_allocated_percentage_shipping,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_aviation_using_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_aviation_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_aviation_using_kerosene_mix_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bunkers_plane_using_bio_kerosene_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_plane_using_kerosene_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bunkers_ship_using_ammonia_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_ship_using_electricity_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_ship_using_heavy_fuel_oil_share,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bunkers_ship_using_hydrogen_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_ship_using_lng_share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_useful_demand_planes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunkers_useful_demand_ships,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_costs_energy_flexibility_flow_batteries_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_chp_engine_biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_chp_engine_network_gas_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_chp_engine_network_gas_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_chp_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_agriculture_flexibility_p2h_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_buildings_solar_pv_solar_radiation,1.2719466871716005,4.418172497757273,1.6724336793540946,0.5574778931180314,1.9351531462258103,4.011277713699859,2.848263488401897
capacity_of_energy_battery_solar_pv_solar_radiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_battery_wind_turbine_inland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_combined_cycle_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_local_engine_biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_local_engine_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.12543904831984304
capacity_of_energy_chp_local_wood_pellets_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_local_wood_pellets_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_supercritical_waste_mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_ultra_supercritical_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_ultra_supercritical_cofiring_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_chp_ultra_supercritical_lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_flexibility_flow_batteries_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_flexibility_hv_opac_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_flexibility_mv_batteries_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_flexibility_pumped_storage_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_boiler_ht_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_boiler_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_boiler_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_waste_mix,0.0,119.60933536276002,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_ht_wood_pellets,0.0,92.08523592085237,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_lt_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_waste_mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_burner_mt_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_flexibility_p2h_boiler_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_flexibility_p2h_heatpump_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_drink_water_water_ts_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_drink_water_water_ts_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_surface_water_water_ts_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_surface_water_water_ts_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_waste_water_water_ts_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_waste_water_water_ts_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_water_water_ht_electricity,0.1282051282051282,0.7692307692307693,0.0,0.29914529914529914,0.3418803418803419,0.17094017094017094,0.21367521367521367
capacity_of_energy_heat_heatpump_water_water_lt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_heatpump_water_water_mt_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_solar_ht_solar_thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_solar_lt_solar_thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_solar_mt_solar_thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_well_deep_ht_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_well_deep_mt_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_well_shallow_heatpump_mt_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_heat_well_shallow_lt_geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_ammonia_reformer_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_ammonia_reformer_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_autothermal_reformer_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_autothermal_reformer_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_biomass_gasification,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_flexibility_p2g_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_liquid_hydrogen_regasifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_lohc_reformer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_solar_pv_solar_radiation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_steam_methane_reformer_dispatchable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_steam_methane_reformer_must_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_hydrogen_storage_depleted_gas_field,720.0000720000072,720.0000720000072,720.0000720000072,720.0000720000072,720.0000720000072,720.0000720000072,720.0000720000072
capacity_of_energy_hydrogen_storage_salt_cavern,250.0,250.0,250.0,250.0,250.0,250.0,250.0
capacity_of_energy_hydrogen_wind_turbine_offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_imported_ammonia_baseload,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_imported_hydrogen_baseload,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_combined_cycle_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_combined_cycle_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_combined_cycle_network_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_of_energy_power_engine_diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
