"key","min","max","default","unit","disabled"
"climate_relevant_co2_biomass_gas_future",0.0,100.0,0.0,"%",true
"climate_relevant_co2_biomass_gas_present",0.0,100.0,0.0,"%",true
"climate_relevant_co2_biomass_liquid_future",0.0,100.0,0.0,"%",true
"climate_relevant_co2_biomass_liquid_present",0.0,100.0,0.0,"%",true
"climate_relevant_co2_biomass_solid_future",0.0,100.0,0.0,"%",true
"climate_relevant_co2_biomass_solid_present",0.0,100.0,0.0,"%",true
"capacity_costs_energy_flexibility_flow_batteries_electricity",-100.0,300.0,0.0,"%",true
"costs_bio_ethanol",0.0,10.0,0.9482455191320002,"euro",true
"costs_biodiesel",0.0,10.0,0.9588091367520001,"euro",true
"costs_biogas",0.0,200.0,62.28,"euro",true
"costs_buildings_ht_heat_delivery_system_costs_eur_per_connection",0.0,100000.0,16706.0,"euro",true
"costs_buildings_lt_heat_delivery_system_costs_eur_per_connection",0.0,100000.0,25386.0,"euro",true
"costs_buildings_mt_heat_delivery_system_costs_eur_per_connection",0.0,100000.0,16706.0,"euro",true
"costs_captured_biogenic_co2",0.0,3500.0,196.96489986466523,"euro",true
"costs_co2",0.0,3500.0,196.96489986466523,"euro",true
"costs_co2_free_allocation",0.0,100.0,40.0,"%",true
"costs_coal",0.0,500.0,71.84824342521317,"dollar",true
"costs_electricity_fallback_price",300.0,20000.0,3000.0,"euro",true
"costs_gas",0.0,500.0,19.5582040065961,"euro",true
"costs_greengas",0.0,200.0,63.56999879999999,"euro",true
"costs_heat_infra_indoors",0.0,300.0,100.0,"%",true
"costs_heat_infra_outdoors",0.0,300.0,100.0,"%",true
"costs_heat_network_storage_ht_steam_hot_water",0.0,200.0,43.2,"euro",true
"costs_heat_network_storage_lt_steam_hot_water",0.0,200.0,43.2,"euro",true
"costs_heat_network_storage_mt_steam_hot_water",0.0,200.0,43.2,"euro",true
"costs_households_ht_heat_delivery_system_costs_apartments_eur_per_connection",0.0,5000.0,1174.0,"euro",true
"costs_households_ht_heat_delivery_system_costs_ground_level_houses_eur_per_connection",0.0,10000.0,2054.0,"euro",true
"costs_households_lt_heat_delivery_system_costs_apartments_eur_per_connection",0.0,5000.0,2382.0,"euro",true
"costs_households_lt_heat_delivery_system_costs_ground_level_houses_eur_per_connection",0.0,10000.0,4144.0,"euro",true
"costs_households_mt_heat_delivery_system_costs_apartments_eur_per_connection",0.0,5000.0,1174.0,"euro",true
"costs_households_mt_heat_delivery_system_costs_ground_level_houses_eur_per_connection",0.0,10000.0,2054.0,"euro",true
"costs_hydrogen",0.0,200.0,106.0,"euro",true
"costs_hydrogen_storage_depleted_gas_field",0.0,3000.0,12.0,"euro",true
"costs_hydrogen_storage_salt_cavern",0.0,3000.0,23.0,"euro",true
"costs_hydrogen_transport_compressed_trucks",0.0,100.0,53.36,"euro",true
"costs_hydrogen_transport_pipelines",0.0,100.0,4.8,"euro",true
"costs_hydrogen_transport_pipelines_offshore",0.0,100.0,3.675,"euro",true
"costs_imported_ammonia",0.0,500.0,97.0,"euro",true
"costs_imported_heat",0.0,500.0,11.569444,"euro",true
"costs_imported_liquid_hydrogen",0.0,200.0,131.0,"euro",true
"costs_imported_lohc",0.0,200.0,106.0,"euro",true
"costs_industry_residual_heat",-100.0,300.0,0.0,"%",true
"costs_infrastructure_electricity_hv_net",0.0,1500.0,364.0,"euro",true
"costs_infrastructure_electricity_interconnector_net",0.0,1500.0,364.0,"euro",true
"costs_infrastructure_electricity_lv_mv_trafo",0.0,1500.0,200.0,"euro",true
"costs_infrastructure_electricity_lv_net",0.0,1500.0,916.0,"euro",true
"costs_infrastructure_electricity_mv_hv_trafo",0.0,1500.0,250.0,"euro",true
"costs_infrastructure_electricity_mv_net",0.0,1500.0,690.0,"euro",true
"costs_infrastructure_electricity_offshore_net",0.0,1500.0,1159.0,"euro",true
"costs_oil",0.0,500.0,84.25191481237077,"dollar",true
"costs_uranium",0.0,800.0,46.848421935312125,"euro",true
"costs_wacc_households",0.0,15.0,2.0,"%",true
"costs_wacc_proven_technologies",0.0,15.0,4.0,"%",true
"costs_wacc_public_infrastructure",0.0,15.0,3.0,"%",true
"costs_wacc_unproven_technologies",0.0,15.0,7.0,"%",true
"costs_wood",0.0,1550.0,150.0,"euro",true
"efficiency_agriculture_chp_engine_biogas_electricity",32.0,52.0,42.0,"%",true
"efficiency_agriculture_chp_engine_biogas_heat",29.0,49.0,39.0,"%",true
"efficiency_agriculture_chp_engine_dispatchable_network_gas_electricity",32.0,52.0,42.0,"%",true
"efficiency_agriculture_chp_engine_dispatchable_network_gas_heat",43.5,63.5,53.5,"%",true
"efficiency_agriculture_chp_engine_must_run_network_gas_electricity",32.0,52.0,42.0,"%",true
"efficiency_agriculture_chp_engine_must_run_network_gas_heat",43.5,63.5,53.5,"%",true
"efficiency_agriculture_chp_wood_pellets_electricity",0.0,16.5,6.5,"%",true
"efficiency_agriculture_chp_wood_pellets_heat",34.0,54.0,44.0,"%",true
"efficiency_agriculture_heatpump_water_water_electricity",1.0,8.8,4.5,"COP",true
"efficiency_agriculture_heatpump_water_water_ts_electricity",1.0,24.8,23.000000000000007,"COP",true
"efficiency_ammonia_reforming",58.5,78.5,78.5,"%",true
"efficiency_buildings_space_heater_collective_heatpump_water_water_ts_electricity",1.0,6.8,3.7600000000000002,"COP",true
"efficiency_buildings_space_heater_combined_hydrogen",90.0,118.0,108.6956522,"%",true
"efficiency_buildings_space_heater_crude_oil",70.0,100.0,85.0,"%",true
"efficiency_buildings_space_heater_electricity",90.0,100.0,100.0,"%",true
"efficiency_buildings_space_heater_heatpump_air_water_electricity",0.0,200.0,100.0,"%",true
"efficiency_buildings_space_heater_hybrid_crude_oil_heatpump_air_water_electricity",0.0,200.0,100.0,"%",true
"efficiency_buildings_space_heater_hybrid_heatpump_air_water_electricity",0.0,200.0,100.0,"%",true
"efficiency_buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity",0.0,200.0,100.0,"%",true
"efficiency_buildings_space_heater_network_gas",90.0,111.0,106.69999999999999,"%",true
"efficiency_buildings_space_heater_wood_pellets",72.0,92.0,82.0,"%",true
"efficiency_energy_chp_combined_cycle_network_gas_electricity",33.3,53.3,43.3,"%",true
"efficiency_energy_chp_combined_cycle_network_gas_heat",20.5,40.5,30.5,"%",true
"efficiency_energy_chp_local_engine_biogas_electricity",32.0,52.0,42.0,"%",true
"efficiency_energy_chp_local_engine_biogas_heat",29.0,49.0,39.0,"%",true
"efficiency_energy_chp_local_engine_network_gas_electricity",29.200000000000003,49.2,39.2,"%",true
"efficiency_energy_chp_local_engine_network_gas_heat",40.0,60.0,50.0,"%",true
"efficiency_energy_chp_local_wood_pellets_electricity",8.3,28.3,18.3,"%",true
"efficiency_energy_chp_local_wood_pellets_heat",37.0,57.0,47.0,"%",true
"efficiency_energy_chp_supercritical_waste_mix_electricity",10.45,30.45,20.45,"%",true
"efficiency_energy_chp_supercritical_waste_mix_heat",9.950000000000003,29.950000000000003,19.950000000000003,"%",true
"efficiency_energy_chp_ultra_supercritical_coal_electricity",34.0,54.0,44.0,"%",true
"efficiency_energy_chp_ultra_supercritical_coal_heat",3.0,23.0,13.0,"%",true
"efficiency_energy_chp_ultra_supercritical_cofiring_coal_electricity",30.0,50.0,40.0,"%",true
"efficiency_energy_chp_ultra_supercritical_cofiring_coal_heat",5.0,25.0,15.0,"%",true
"efficiency_energy_flexibility_flow_batteries_electricity",60.0,80.0,70.0,"%",true
"efficiency_energy_flexibility_hv_opac_electricity",70.0,90.0,80.0,"%",true
"efficiency_energy_flexibility_mv_batteries_electricity",75.0,95.0,85.0,"%",true
"efficiency_energy_flexibility_pumped_storage_electricity",70.0,90.0,80.0,"%",true
"efficiency_energy_power_combined_cycle_coal",35.300000000000004,55.300000000000004,45.300000000000004,"%",true
"efficiency_energy_power_combined_cycle_hydrogen",50.0,70.0,60.0,"%",true
"efficiency_energy_power_combined_cycle_network_gas",50.0,70.0,60.0,"%",true
"efficiency_energy_power_engine_diesel",28.0,48.0,38.0,"%",true
"efficiency_energy_power_engine_network_gas",38.0,58.0,48.0,"%",true
"efficiency_energy_power_nuclear_gen2_uranium_oxide",26.93,46.93,36.93,"%",true
"efficiency_energy_power_nuclear_gen3_uranium_oxide",26.93,46.93,36.93,"%",true
"efficiency_energy_power_nuclear_small_modular_reactor_uranium_oxide",18.000000000000004,38.0,28.000000000000004,"%",true
"efficiency_energy_power_solar_pv_solar_radiation",10.0,50.0,17.0,"%",true
"efficiency_energy_power_supercritical_coal",26.0,46.0,36.0,"%",true
"efficiency_energy_power_supercritical_waste_mix",15.0,35.0,25.0,"%",true
"efficiency_energy_power_turbine_hydrogen",24.0,44.0,34.0,"%",true
"efficiency_energy_power_turbine_network_gas",24.0,44.0,34.0,"%",true
"efficiency_energy_power_ultra_supercritical_coal",36.0,56.0,46.0,"%",true
