interconnector_1_price,interconnector_1_import_availability,interconnector_1_export_availability,interconnector_2_price,interconnector_2_import_availability,interconnector_2_export_availability,interconnector_3_price,interconnector_3_import_availability,interconnector_3_export_availability,interconnector_4_price,interconnector_4_import_availability,interconnector_4_export_availability,interconnector_5_price,interconnector_5_import_availability,interconnector_5_export_availability,interconnector_6_price,interconnector_6_import_availability,interconnector_6_export_availability,agriculture_electricity,buildings_appliances,buildings_cooling,electric_buses,electric_trucks,electric_vans,electric_ships,electric_vehicle_profile_1,electric_vehicle_profile_2,electric_vehicle_profile_3,electric_vehicle_profile_4,electric_vehicle_profile_5,households_appliances,households_cooling,households_hot_water,industry_ict,industry_other_electricity
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.043658,0.0,3.083099492094933e-08,3.075658813076265e-08,3.075658813076265e-08,5.980376746134766e-08,7.744163064931237e-09,1.059133984607765e-08,4.944836887748204e-08,3.178702187580344e-08,7.415110236813889e-08,3.685677943092715e-09,4.058029003214125e-08,3.1852841510554164e-08,3.6598893338867314e-08,3.6598893338867314e-08,0.0,2.7777638889583332e-08,3.0554425041829005e-08
0.0,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.040868,0.0,3.2365569328779384e-08,3.22874590331988e-08,3.22874590331988e-08,5.122455528779376e-08,6.580040488073832e-09,8.609872935917506e-09,5.1279783731289316e-08,2.1241469497417973e-08,5.4455199306374564e-08,5.351341438237395e-09,4.199957496152364e-08,2.2447983244952712e-08,3.212879949595222e-08,3.212879949595222e-08,0.0,2.7777638889583332e-08,3.2082146293920455e-08
0.0,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.040658,0.0,3.1947049035734825e-08,3.186994878707985e-08,3.186994878707985e-08,3.865038530101026e-08,6.575175733686693e-09,7.708724688611834e-09,5.1279783731289316e-08,1.2335071923170842e-08,3.7075551184069444e-08,8.679916781783673e-10,3.8220513109021064e-08,1.3893617153107469e-08,2.7938086518219323e-08,2.7938086518219323e-08,0.0,2.7777638889583332e-08,3.166549504335006e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.039897,0.0,3.2365569328779384e-08,3.22874590331988e-08,3.22874590331988e-08,4.102880457406435e-08,6.575175733686693e-09,7.14992883599115e-09,5.1279783731289316e-08,6.7654649880757116e-09,2.1282461808068604e-08,2.1707435417634405e-10,2.9482090031937756e-08,7.77910818473902e-09,2.4026754405668618e-08,2.4026754405668618e-08,0.0,2.7499862500687495e-08,3.2082146293920455e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.039939,0.0,3.278408962182394e-08,3.270496927931775e-08,3.270496927931775e-08,4.265517518300572e-08,6.576359052321403e-09,6.838154325945276e-09,5.1279783731289316e-08,3.6545902591880803e-09,1.2437547835103534e-08,2.1707435417634405e-10,2.0295527943857224e-08,4.389295244587733e-09,2.0394803158300103e-08,2.0394803158300103e-08,0.0,2.7777638889583332e-08,3.2498797544490854e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04009,0.0,3.292359638617213e-08,3.28441393613574e-08,3.28441393613574e-08,3.7684123053573105e-08,6.337986087351618e-09,6.6147159270790656e-09,5.1279783731289316e-08,1.5471657231398261e-09,5.872197696570278e-09,1.5497885934082929e-09,1.2272828807132413e-08,2.12035789065094e-09,1.983604142793572e-08,1.983604142793572e-08,4.412817770455138e-08,2.91665208340625e-08,3.2776565044871114e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.040388,0.0,3.3063103150520315e-08,3.2983309443397046e-08,3.2983309443397046e-08,2.1158821177101494e-08,6.354289588540946e-09,7.315109369678917e-09,2.9302749544040154e-08,2.224491969025735e-09,1.6322384352941954e-09,3.23624230838958e-09,7.909041287429164e-09,3.765902139922384e-09,2.0394803158300103e-08,2.0394803158300103e-08,8.499491567344196e-08,3.1110955556333326e-08,3.2776565044871114e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.041205,0.0,3.390014373660944e-08,3.381832993563495e-08,3.381832993563495e-08,7.606360348114081e-09,6.353763669147742e-09,8.456184090901303e-09,2.9302749544040154e-08,9.416499683197613e-09,1.4954940759953769e-09,8.456727657067151e-09,2.7023941130793784e-08,2.5423597051134648e-08,2.1232945753846685e-08,2.1232945753846685e-08,9.351251179267502e-08,3.33331666675e-08,3.374875129620204e-08
0.0,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.041119,0.0,3.390014373660944e-08,3.381832993563495e-08,3.381832993563495e-08,9.863866094643231e-09,7.669351031247945e-09,1.2204473152382317e-08,2.9302749544040154e-08,2.690306551351161e-08,2.908764711808921e-09,1.6402871974029378e-08,5.623902150809556e-08,5.397023750303283e-08,2.4026754405668618e-08,2.4026754405668618e-08,5.443264545165614e-08,3.388871944529166e-08,3.3609867546011905e-08
0.0,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0417,0.0,3.2365569328779384e-08,3.22874590331988e-08,3.22874590331988e-08,9.827884906819203e-09,8.539616147152527e-09,1.6500665944177924e-08,2.9302749544040154e-08,4.7358465658983585e-08,4.158030528765153e-09,1.1779493968600258e-08,6.116353752074473e-08,5.958118611241534e-08,2.9614371709312483e-08,2.9614371709312483e-08,2.945491483421595e-08,3.41664958341875e-08,3.222103004411059e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.056827,0.0,3.348162344356488e-08,3.3400819689516e-08,3.3400819689516e-08,1.0144603036851647e-08,1.7501677046896297e-08,2.00897701356259e-08,2.9302749544040154e-08,3.9188086103951305e-08,7.221811475468855e-09,1.929638139364194e-08,4.788438885488115e-08,4.6602125246587013e-08,3.6878274204049505e-08,3.6878274204049505e-08,2.975614122715606e-08,3.388871944529166e-08,3.3332100045631646e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.045458,0.0,3.362113020791307e-08,3.353998977155565e-08,3.353998977155565e-08,1.1611254826585776e-08,1.4319601758314531e-08,2.158448908474968e-08,3.617052727503646e-08,3.1310322445749325e-08,7.085067116170037e-09,6.678399514719677e-08,4.177447817972987e-08,4.058970819246086e-08,3.967208285587144e-08,3.967208285587144e-08,3.004748158189371e-08,3.388871944529166e-08,3.3332100045631646e-08
0.0,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.043289,0.0,3.348162344356488e-08,3.3400819689516e-08,3.3400819689516e-08,8.48737646742164e-09,1.5717232545754583e-08,2.5733688189276865e-08,3.845982381307651e-08,3.032352090674473e-08,6.063757682656986e-09,4.4299372393905656e-08,3.70509795925161e-08,3.7094764399348876e-08,4.302465323805776e-08,4.302465323805776e-08,3.030273194174767e-08,3.388871944529166e-08,3.319321629544151e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.043194,0.0,3.320260991486851e-08,3.31224795254367e-08,3.31224795254367e-08,9.691491101811835e-09,2.6689225886476347e-08,3.700163867879061e-08,3.845982381307651e-08,3.0407080289599044e-08,7.641180491163292e-09,1.0209893518641787e-07,4.020299199445773e-08,3.913906668856107e-08,4.274527237287557e-08,4.274527237287557e-08,3.0495926567824716e-08,3.361094305639583e-08,3.305433254525138e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04283,0.0,3.278408962182394e-08,3.270496927931775e-08,3.270496927931775e-08,9.275197126405913e-09,2.598120690337525e-08,4.1007541421969786e-08,3.845982381307651e-08,2.87763551836049e-08,1.1416238401590484e-08,6.548552362298983e-08,3.430708351711257e-08,3.342602616493626e-08,4.246589150769337e-08,4.246589150769337e-08,3.0605744968097865e-08,3.361094305639583e-08,3.2498797544490854e-08
0.0,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.044294,0.0,3.348162344356488e-08,3.3400819689516e-08,3.3400819689516e-08,1.4362665133885469e-08,5.346404515419667e-08,6.313983430930648e-08,5.157112738571623e-08,3.8067463106907646e-08,1.4343274988995366e-08,3.252415876468353e-08,3.320773351709241e-08,3.3097492249434103e-08,4.1068987181782404e-08,4.1068987181782404e-08,3.061979981759052e-08,3.388871944529166e-08,3.319321629544151e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.046198,0.0,3.417915726530581e-08,3.409667009971425e-08,3.409667009971425e-08,1.5804632155228697e-08,2.682359829144001e-08,6.983109487571091e-08,5.5941561909929466e-08,4.418900452799381e-08,1.500887226372895e-08,5.947715009021023e-08,3.342009207282629e-08,3.571648249033844e-08,4.442155756396872e-08,4.442155756396872e-08,3.053666180957463e-08,3.444427222308333e-08,3.40265187965823e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.01,0.055691,0.0,3.613225196618043e-08,3.604505124826935e-08,3.604505124826935e-08,1.9269704219863715e-08,6.897577469705673e-08,8.493357205560618e-08,5.5941561909929466e-08,5.7929096389348024e-08,3.6929670886972636e-08,3.0279120760856915e-08,2.01240138936186e-08,4.4381564511707916e-08,5.6714315631985224e-08,5.6714315631985224e-08,3.0366216982252637e-08,3.444427222308333e-08,3.597089129924415e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.076711,0.0,3.5713731673135874e-08,3.56275410021504e-08,3.56275410021504e-08,2.4479340911583e-08,8.32133330300314e-08,9.349178235636545e-08,5.5941561909929466e-08,8.19135896628864e-08,6.490494390123988e-08,4.448036960189495e-08,3.3284738148177025e-08,6.366601255081144e-08,5.9228743418624966e-08,5.9228743418624966e-08,3.8170708153074277e-08,3.444427222308333e-08,3.541535629848362e-08
0.0,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.01,0.134079,0.0,3.557422490878769e-08,3.548837092011075e-08,3.548837092011075e-08,2.550208525618579e-08,1.0242727214135215e-07,9.384632593381505e-08,5.5941561909929466e-08,8.019087547589376e-08,8.017831629960393e-08,1.1860208939730617e-08,3.7428935087028526e-08,6.292935737877673e-08,5.503803044089206e-08,5.503803044089206e-08,4.910585749393858e-08,3.388871944529166e-08,3.541535629848362e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.199188,0.0,3.5713731673135874e-08,3.56275410021504e-08,3.56275410021504e-08,3.6295814024537224e-08,9.719516305806057e-08,8.339198700224795e-08,5.294471649685263e-08,7.15102884406842e-08,8.623293804446295e-08,3.6783707922972015e-08,3.8435994584692205e-08,6.077680316440658e-08,5.1685460058705746e-08,5.1685460058705746e-08,4.1323163250719973e-08,3.2499837500812496e-08,3.555424004867375e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.286114,0.0,3.627175873052862e-08,3.6184221330309e-08,3.6184221330309e-08,3.707662671961391e-08,8.460544166384282e-08,6.665289350006699e-08,4.395406837449832e-08,5.889914390329104e-08,8.854904563008669e-08,6.387795044797684e-09,3.5739353218865674e-08,5.122977184687156e-08,4.721536621579065e-08,4.721536621579065e-08,2.9258385159106738e-08,3.138873194522916e-08,3.6109775049434274e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.225866,0.0,3.5713731673135874e-08,3.56275410021504e-08,3.56275410021504e-08,4.014852063009042e-08,7.487921988577341e-08,5.307561322620703e-08,4.395406837449832e-08,5.192462240123934e-08,8.693507907038846e-08,1.2578388739674606e-08,3.6394180220447543e-08,4.7157511830743416e-08,4.1627748912146785e-08,4.1627748912146785e-08,2.883340462529483e-08,2.9722073611854163e-08,3.555424004867375e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.125197,0.0,3.557422490878769e-08,3.548837092011075e-08,3.548837092011075e-08,6.492753044607995e-08,6.772566429941044e-08,4.726101861385147e-08,4.395406837449832e-08,4.688187160015627e-08,8.919651838305976e-08,6.41531151222849e-09,3.901299513415333e-08,4.3308901277593356e-08,3.492260814777415e-08,3.492260814777415e-08,0.0,2.888874444516666e-08,3.541535629848362e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.075406,0.0,3.180754227138664e-08,3.17307787050402e-08,3.17307787050402e-08,6.545427830038754e-08,6.129866635475902e-08,4.433383568988551e-08,4.944836887748204e-08,3.372300742584417e-08,7.29246763956776e-08,9.828576427756243e-09,4.3137221821827065e-08,3.3715875211888043e-08,2.9893752574494673e-08,2.9893752574494673e-08,0.0,2.8055415278479163e-08,3.152661129315993e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.075821,0.0,3.2644582857475756e-08,3.25657991972781e-08,3.25657991972781e-08,4.095569163717773e-08,5.855783743707555e-08,4.057635327746724e-08,5.1279783731289316e-08,2.14610631340742e-08,5.569076121663383e-08,0.0,4.205693806984494e-08,2.2796968396694876e-08,2.4026754405668618e-08,2.4026754405668618e-08,0.0,2.8055415278479163e-08,3.2498797544490854e-08
0.01,1.0,0.0,0.0,1.0,0.0,0.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.118501,0.0,3.22260625644312e-08,3.214828895115915e-08,3.214828895115915e-08,3.1180209564951086e-08,5.688423044805161e-08,3.792307225479478e-08,5.1279783731289316e-08,1.3401428738411256e-08,3.793270844488973e-08,0.0,3.7772045369609385e-08,1.4898191733234198e-08,2.0674184023482297e-08,2.0674184023482297e-08,0.0,2.8055415278479163e-08,3.2082146293920455e-08
