,KEV_30,DEC_40,EUR_40,INT_40,NAT_40,DEC_50,EUR_50,INT_50,NAT_50
,1213394,1213395,1213397,1213398,1213399,1213400,1213401,1213402,1213403
transport_shipping_mixer_diesel_bio_ethanol_share,,,,,,0.0,0.0,0.0,0.0
buildings_space_heater_coal_share,0.0,,,,,,,,
buildings_space_heater_crude_oil_share,0.0,,,,,,,,
transport_plane_using_electricity_share,0.0,,,,,,,,
transport_freight_train_using_coal_share,0.0,,,,,0.0,0.0,0.0,0.0
transport_ship_using_hydrogen_share,0.0,,,,,,,,
households_heater_crude_oil_share,0.0,,,,,0.0,0.0,0.0,0.0
transport_ship_using_ammonia_share,0.0,,,,,0.0,0.0,0.0,0.0
external_coupling_energy_distribution_coal_gas_chemical_feedstock_share,,,,,,50.0,50.0,50.0,50.0
buildings_space_heater_combined_hydrogen_share,0.0,,,,,,,,
bunkers_ship_using_hydrogen_share,,,,,,0.0,0.0,0.0,0.0
transport_plane_using_hydrogen_share,0.0,,,,,,,,
transport_ship_using_electricity_share,0.0,,,,,,,,
external_coupling_energy_distribution_coal_gas_energy_production_share,,,,,,50.0,50.0,50.0,50.0
households_heater_coal_share,0.0,,,,,0.0,0.0,0.0,0.0
households_heater_heatpump_pvt_electricity_share,0.0,,,,,,,,
bunkers_ship_using_ammonia_share,,,,,,0.0,0.0,0.0,0.0
