set_name,output_gquery,unit,result_start_value,result_future_value
Zonneparken bouwen,total_net_co2_emissions,mt,0.4538014357143162,0.4233766349411613
Zonnepanelen op gebouwen,total_net_co2_emissions,mt,0.4538165741648323,0.44137551587838075
Grote windmolens,total_net_co2_emissions,mt,0.4538165741648323,0.44823267550735124
Kleine windmolens,total_net_co2_emissions,mt,0.4544707158524441,0.45315690797129016
Aardgasvrij individueel,total_net_co2_emissions,mt,0.4544707158524441,0.3013473446313772
Aardgasvrij collectief,total_net_co2_emissions,mt,0.4544707158524441,0.30035649781695634
Gebouwen beter isoleren,total_net_co2_emissions,mt,0.4544707158524441,0.314689219765862
Gedragsaanpassing bewoners,total_net_co2_emissions,mt,0.4544707158524441,0.44767753876942
Industrie & bedrijven verduurzamen,total_net_co2_emissions,mt,0.4544707158524441,0.43254920641269917
Basisscenario,total_net_co2_emissions,mt,0.4544707158524441,0.4538014357143162
