Sidebar,Sectie,Slide,Naam,Key,Gebruikerswaarde,Minimumwaarde,Maximumwaarde,Standaardwaarde,Eenheid
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",CO<sub>2</sub> afvang in de energiesector,Investeringskosten,investment_costs_co2_ccs,,-100.0,300.0,0.0,%
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",CO<sub>2</sub> afvang in de energiesector,Onderhoudskosten,om_costs_co2_ccs,,-100.0,300.0,0.0,%
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",CO<sub>2</sub> afvang in de industrie,Investeringskosten,investment_costs_co2_capture_industry,,-100.0,300.0,0.0,%
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",CO<sub>2</sub> afvang in de industrie,Onderhoudskosten,om_costs_co2_capture_industry,,-100.0,300.0,0.0,%
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",Prijzen,Afgevangen biogene CO<sub>2</sub>-prijs,costs_captured_biogenic_co2,176.7633717,0.0,3500.0,176.7633717,€/tonne
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",Prijzen,CO<sub>2</sub> prijs,costs_co2,176.7633717,0.0,3500.0,176.7633717,€/tonne
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",Prijzen,Vrije rechten,costs_co2_free_allocation,,0.0,100.0,13.0,%
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",CO<sub>2</sub> opslag,Investeringskosten,investment_costs_co2_storage,,-100.0,300.0,0.0,%
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",CO<sub>2</sub> opslag,Onderhoudskosten,om_costs_co2_storage,,-100.0,300.0,0.0,%
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",CO<sub>2</sub> transport,Investeringskosten,investment_costs_co2_transport,,-100.0,300.0,0.0,%
Kosten & efficiënties,"Kosten CO<sub>2</sub> afvang, -gebruik en -opslag",CO<sub>2</sub> transport,Onderhoudskosten,om_costs_co2_transport,,-100.0,300.0,0.0,%
Kosten & efficiënties,Flexibiliteit,Conversie elektriciteit,Investeringskosten power-to-heat boilers,investment_costs_flexibility_p2h_electricity,,-100.0,300.0,0.0,%
Kosten & efficiënties,Flexibiliteit,Value of Lost Load,Value of Lost Load (VoLL),costs_electricity_fallback_price,,300.0,20000.0,3000.0,€/MWh
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,Flowbatterijen per MW,capacity_costs_energy_flexibility_flow_batteries_electricity,0.0,-100.0,300.0,0.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,Flowbatterijen,efficiency_energy_flexibility_flow_batteries_electricity,,60.0,80.0,70.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,OPAC,efficiency_energy_flexibility_hv_opac_electricity,,70.0,90.0,80.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,Grootschalige batterijopslag,efficiency_energy_flexibility_mv_batteries_electricity,,75.0,95.0,85.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,Batterijen in huishoudens,efficiency_households_flexibility_p2p_electricity,,80.0,100.0,90.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,Batterijen in elektrische voertuigen,efficiency_transport_flexibility_p2p_electricity,,77.0,97.0,87.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,OPAC per MWh,investment_costs_energy_flexibility_hv_opac_electricity,,-100.0,300.0,0.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,Grootschalige batterijopslag per MWh,investment_costs_energy_flexibility_mv_batteries_electricity,,-100.0,300.0,0.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,Batterijen in huishoudens per MWh,investment_costs_households_flexibility_p2p_electricity,,-100.0,300.0,0.0,%
Kosten & efficiënties,Flexibiliteit,Opslag elektriciteit,Flowbatterijen per MWh,volume_costs_energy_flexibility_flow_batteries_electricity,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Investeringskosten,investment_costs_bio_ethanol,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Investeringskosten,investment_costs_fischer_tropsch,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Investeringskosten,investment_costs_fractionation_pyrolysis_oil,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Investeringskosten,investment_costs_hvo,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Investeringskosten,investment_costs_methanol_synthesis,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Investeringskosten,investment_costs_pyrolysis,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Onderhoudskosten,om_costs_bio_ethanol,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Onderhoudskosten,om_costs_fischer_tropsch,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Onderhoudskosten,om_costs_fractionation_pyrolysis_oil,,-100.0,300.0,0.0,%
Kosten & efficiënties,Vloeibare brandstoffen en grondstoffen,Kosten van vloeibare brandstoffenproductie,Onderhoudskosten,om_costs_hvo,,-100.0,300.0,0.0,%
