,min,max,default
energy_treatment_natural_gas_share,0.0,100.0,100.0
energy_regasification_lng_share,0.0,100.0,0.0
share_of_molecules_transport_ships_co2,0.0,100.0,50.0
share_of_molecules_transport_pipelines_co2,0.0,100.0,50.0
demand_of_molecules_offshore_sequestration_co2,0.0,41.95,0.0
demand_of_molecules_other_utilisation_co2,0.0,7.074759,0.0
output_of_energy_production_synthetic_kerosene,0.0,158.36902,0.0
output_of_energy_production_synthetic_methanol,0.0,50.0,0.0
share_of_energy_power_combined_cycle_ccs_coal,0.0,100.0,0.0
share_of_industry_steel_captured_co2,0.0,100.0,0.0
share_of_energy_hydrogen_steam_methane_reformer_ccs,0.0,100.0,0.0
share_of_energy_power_combined_cycle_ccs_network_gas,0.0,100.0,0.0
share_of_industry_chemicals_fertilizers_captured_processes_co2,0.0,100.0,65.0
share_of_industry_other_food_captured_co2,0.0,100.0,0.0
share_of_industry_other_paper_captured_co2,0.0,100.0,0.0
share_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.0,100.0,0.0
demand_of_molecules_direct_air_capture_co2,0.0,7.074759,0.0
share_of_energy_hydrogen_biomass_gasification_ccs,0.0,100.0,0.0
share_of_industry_chemicals_fertilizers_captured_combustion_co2,0.0,100.0,0.0
share_of_energy_power_ultra_supercritical_ccs_coal,0.0,100.0,0.0
energy_mixer_for_gas_power_fuel_bio_oil_share,0.0,100.0,0.0
energy_mixer_for_gas_power_fuel_natural_gas_share,0.0,100.0,100.0
energy_mixer_for_gas_power_fuel_crude_oil_share,0.0,100.0,0.0
capacity_of_energy_power_ultra_supercritical_lignite,0.0,897.3693560506312,0.0
capacity_of_energy_power_ultra_supercritical_cofiring_coal,0.0,799.9226273865414,0.0
capacity_of_energy_power_ultra_supercritical_coal,0.0,799.9226273865414,0.0
capacity_of_energy_power_supercritical_coal,0.0,1032.6273917171718,0.0
capacity_of_energy_power_combined_cycle_coal,0.0,757.2600872592593,0.0
capacity_of_energy_chp_ultra_supercritical_cofiring_coal,0.0,709.9313318055555,0.0
capacity_of_energy_chp_ultra_supercritical_coal,0.0,709.9313318055555,0.0
capacity_of_energy_chp_ultra_supercritical_lignite,0.0,1262.1001454320988,0.0
capacity_of_energy_power_turbine_network_gas,0.0,757.2600872592593,0.0
capacity_of_energy_power_ultra_supercritical_network_gas,0.0,1234.663185748792,0.0
capacity_of_energy_power_engine_network_gas,0.0,5679450.654444444,0.0
capacity_of_energy_chp_combined_cycle_network_gas,0.0,1534.9866633633633,0.0
capacity_of_energy_chp_local_engine_network_gas,0.0,1689.8097751991802,50.410134219313036
capacity_of_energy_power_combined_cycle_network_gas,0.0,2912.538797150997,0.0
capacity_of_energy_power_ultra_supercritical_crude_oil,0.0,1419.862663611111,0.0
capacity_of_energy_power_engine_diesel,0.0,1419.862663611111,0.0
capacity_of_energy_power_nuclear_gen3_uranium_oxide,0.0,728.1346992877493,0.0
merit_order_subtype_of_energy_power_nuclear_uranium_oxide,0.0,1.0,0.0
capacity_of_energy_power_nuclear_gen2_uranium_oxide,0.0,709.9313318055555,0.0
capacity_of_energy_chp_supercritical_waste_mix,0.0,1135.890130888889,0.0
capacity_of_energy_power_supercritical_waste_mix,0.0,1385.2318669376693,0.0
capacity_of_energy_power_wind_turbine_coastal,0.0,9.36,0.0
capacity_of_energy_power_wind_turbine_offshore,0.0,75000.0,0.0
capacity_of_energy_power_wind_turbine_inland,0.0,22312.8,38.62847222222223
capacity_of_energy_power_geothermal,0.0,709.9313318055555,0.0
capacity_of_energy_power_turbine_hydrogen,0.0,11358.901308888888,0.0
capacity_of_energy_power_combined_cycle_hydrogen,0.0,2912.538797150997,0.0
capacity_of_energy_chp_local_engine_biogas,0.0,709.9313318055555,2.319001180555555
capacity_of_energy_chp_local_wood_pellets,0.0,946.5751090740741,0.0
capacity_of_energy_power_hydro_river,0.0,2258.230876518666,0.0
capacity_of_energy_power_hydro_mountain,0.0,1411.3942978241662,0.0
capacity_of_energy_power_solar_csp_solar_radiation,0.0,6550.692796360374,0.0
capacity_of_energy_power_solar_pv_solar_radiation,0.0,148752.0,3.2167115212097914
fuel_production_coal,0.0,100.39500478755868,0.0
fuel_production_crude_oil,0.0,100.39500478755868,0.0
fuel_production_natural_gas,0.0,100.39500478755868,0.0
fuel_production_uranium_oxide,0.0,100.39500478755868,0.0
fuel_production_lignite,0.0,100.39500478755868,0.0
capacity_of_energy_hydrogen_steam_methane_reformer,0.0,1283.286545488345,0.0
capacity_of_energy_hydrogen_solar_pv_solar_radiation,0.0,148752.0,0.0
capacity_of_energy_hydrogen_wind_turbine_offshore,0.0,75000.0,0.0
capacity_of_energy_hydrogen_biomass_gasification,0.0,1220.782482389978,0.0
capacity_of_energy_imported_hydrogen_baseload,0.0,1098.7042341509803,0.0
co2_emissions_of_imported_hydrogen_present,0.0,1500.0,280.8
co2_emissions_of_imported_hydrogen_future,0.0,1500.0,280.8
energy_transport_hydrogen_pipelines_share,0.0,100.0,99.0
energy_transport_hydrogen_compressed_trucks_share,0.0,100.0,1.0
energy_greengas_gasification_wet_biomass_share,0.0,100.0,0.0
energy_greengas_gasification_dry_biomass_share,0.0,100.0,0.0
energy_biogas_fermentation_share,0.0,100.0,100.0
max_demand_of_wet_biomass,0.0,22.191883599149502,4.634434723
max_demand_of_oily_biomass,0.0,22.191883599149502,0.815445324
max_demand_of_biogenic_waste,0.0,22.191883599149502,1.611879922574751
max_demand_of_dry_biomass,0.0,22.191883599149502,4.03418183
co_firing_biocoal_share,0.0,100.0,0.0
co_firing_coal_share,0.0,100.0,100.0
green_gas_total_share,0.0,100.0,0.39431649588816936
natural_gas_total_share,0.0,100.0,99.60568350411182
capacity_of_industry_chp_turbine_gas_power_fuelmix,0.0,594.8700500260417,0.0
capacity_of_industry_chp_combined_cycle_gas_power_fuelmix,0.0,643.1106876267679,0.0
