Section,Subsection,DEC,NAT,EUR,INT,Total,unit
CO2 emissions,Total CO2 emissions (energetic use),1133231.7959516214,1752361.287124301,2811210.6938660922,1371059.7592934412,7067863.536235455,T
CO2 emissions,Total CO2 emissions (non-energetic use),161746.46578832637,158925.14423013222,-68940.72616068437,136912.78641585165,388643.6702736259,T
CO2 emissions,Other GHG emissions (energetic use),0.0,0.0,0.0,0.0,0.0,T
CO2 emissions,Other GHG emission (non-energetic use),0.0,0.0,0.0,0.0,0.0,T
CO2 emissions,Indirect and delayed CO2 emissions,0.0,0.0,0.0,0.0,0.0,T
CO2 emissions,Industry - primary CO2 (energetic use),0.6522901903569346,1.3290975782384937,-0.4429726008582492,-0.47787135331911074,1.0605438144180686,mt
CO2 emissions,Transport - primary CO2 (energetic use),0.07901818927502999,0.05613875354498485,0.24587681840611475,0.2462380486380706,0.6272718098642002,mt
CO2 emissions,Households - primary CO2 (energetic use),-0.015504406991440893,-0.003698980092472339,0.14136051211037332,0.255529354935912,0.3776864799623721,mt
CO2 emissions,Buildings - primary CO2 (energetic use),0.2762335091499977,0.2821264530155275,0.3245881672291779,0.32774467967115467,1.210692809065858,mt
CO2 emissions,Agriculture - primary CO2 (energetic use),-0.023576125918846638,-0.007438851000428343,-0.004201589944086099,0.0012859837810475696,-0.03393058308231351,mt
CO2 emissions,Other sector - primary CO2 (energetic use),0.016628709318930436,0.016628709318930436,0.016628709318930436,0.016628709318930436,0.06651483727572174,mt
CO2 emissions,Energy sector - primary CO2 (energetic use),-0.008214423239931417,-0.0018882779324958976,-0.0019346088044950478,-0.013964943171275444,-0.026002253148197804,mt
CO2 emissions,Non energetic and delayed emissions - primary CO2,0.16174646578832638,0.1589251442301322,-0.06894072616068435,0.13691278641585164,0.38864367027362584,mt
CO2 emissions,International transport - primary CO2 (energetic use),0.0,0.0,0.0,0.0,0.0,mt
Final demand - total,Industry,525.0816541902385,930.4635803799771,815.5696207950915,547.306269893622,2818.421125258929,PJ
Final demand - total,Transport,264.13029930791396,238.2578781202418,290.60748060038236,309.11521489122146,1102.1108729197597,PJ
Final demand - total,Households,228.34994869299993,228.09156507514786,247.23418232531222,255.63909170977118,959.3147878032312,PJ
Final demand - total,Buildings,171.8436666754017,161.3178304941432,180.49989868849661,191.82959945193008,705.4909953099716,PJ
Final demand - total,Agriculture,100.23649353842163,97.91306156146919,97.465424232419,97.48560079874801,393.1005801310578,PJ
Final demand - total,Other sector,0.25434793501681535,0.25434793501681535,0.25434793501681535,0.25434793501681535,1.0173917400672614,PJ
Final demand - total,Energy sector,32.079093691266685,21.70889784531755,36.1097234773896,22.938835809025573,112.83655082299941,PJ
Final demand - biomass,Agriculture,11.078115095130455,11.078115095130455,14.770820126840606,7.384648580819876,44.311698897921396,PJ
Final demand - biomass,Buildings,1.4563976172329987,1.2968187872615926,1.4974673981961846,1.7029489160687585,5.953632718759534,PJ
Final demand - biomass,International,0.0,0.0,0.0,0.0,0.0,PJ
Final demand - biomass,Energy sector,0.0,0.0,0.0,0.0,0.0,PJ
Final demand - biomass,Households,2.980285865106039,2.894568617763888,3.1423200785979177,3.387297595381978,12.404472156849824,PJ
Final demand - biomass,Industry,0.0,0.7216936810035532,2.1819062429150087,2.1819062429150087,5.085506166833571,PJ
Final demand - biomass,Other sector,0.0,0.0,0.0,0.0,0.0,PJ
Final demand - biomass,Transport,24.49884710876272,5.159237205303533,80.63520913025158,58.40454116902778,168.6978346133456,PJ
