key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),wacc (factor),technical_lifetime (years)
agriculture_burner_crude_oil,128.0113684455685,0.0,5.0,2190.0,300000.0,0.04,15.0
agriculture_burner_hydrogen,0.0,0.0,5.0,2190.0,300000.0,0.04,15.0
agriculture_burner_network_gas,0.0,0.0,5.0,2190.0,300000.0,0.04,15.0
agriculture_burner_wood_pellets,17.219899634208844,0.0,5.0,2190.0,1003333.33333333,0.04,15.0
agriculture_geothermal,0.0,0.0,14.0,6000.0,26726000.0,0.04,30.0
agriculture_heatpump_water_water_ts_electricity,3.932016933554655,0.0,5.0,971.765172263585,3314285.71428571,0.04,15.0
buildings_cooling_airconditioning_electricity,338433.4834310574,0.0,0.0025,2240.0,1800.0,0.04,15.0
buildings_cooling_collective_heatpump_water_water_ts_electricity,71.25830161174656,0.0,2.25,2190.0,953500.0,0.04,15.0
buildings_cooling_heatpump_air_water_electricity,2.0080995547741556e-05,0.0,0.01,560.0,9098.0,0.04,15.0
buildings_cooling_heatpump_air_water_network_gas,0.3020792031997016,0.0,2.25,4000.0,2479300.0,0.04,15.0
buildings_solar_pv_solar_radiation,802570.815905529,0.000272,0.0,746.2965638591616,353.60200000000003,0.04,25.0
buildings_space_heater_coal,0.0,0.0,0.133,1042.44,26600.0,0.04,15.0
buildings_space_heater_collective_heatpump_water_water_ts_electricity,91.62028772238816,0.0,2.25,4356.894135290219,953500.0,0.04,15.0
buildings_space_heater_combined_hydrogen,0.0,0.0,0.1,1500.0,8940.000000000002,0.04,12.5
buildings_space_heater_crude_oil,13065.815574794357,0.0,0.142,981.1200000000066,18460.0,0.04,15.0
buildings_space_heater_electricity,9209.85845813139,0.0,0.081,1716.9600000000112,2025.0,0.04,15.0
buildings_space_heater_heatpump_air_water_electricity,252102.3539508091,0.0,0.01,436.12710910724905,9098.0,0.04,15.0
buildings_space_heater_heatpump_air_water_network_gas,10.118477668152584,0.0,2.25141,4356.89413529022,1929780.0,0.04,15.0
buildings_space_heater_hybrid_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,3819.0,0.04,15.0
buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,0.0,0.0,0.0049,0.0,6500.0,0.04,15.0
buildings_space_heater_network_gas,28177.80933922125,0.0,0.043,2000.0000000000132,2000.0,0.04,15.0
buildings_space_heater_solar_thermal,270.88635099661127,0.0,0.175,791.666666666667,144375.0,0.04,20.0
buildings_space_heater_wood_pellets,922.4577501578248,0.0,0.137,1016.1600000000064,34318.5,0.04,15.0
energy_battery_solar_electricity,0.0,0.0,0.0,,,,
energy_battery_wind_electricity,0.0,0.0,0.0,,,,
energy_chp_coal_gas,0.0,140.0,140.0,5320.0,169050000.0,0.04,30.0
energy_chp_combined_cycle_network_gas,0.0,120.014,109.578,0.0,115043478.26,0.04,30.0
energy_chp_local_engine_biogas,2.810006318654132,2.021,2.209,8500.0,1200000.0,0.04,20.0
energy_chp_local_engine_network_gas,7.465635060689436,4.461486136039992,0.0,8283.733371494482,1200000.0,0.04,20.0
energy_chp_local_wood_pellets,0.8361690974035723,39.208981163981406,0.0,0.0,83232000.0,0.04,25.0
energy_chp_supercritical_ccs_waste_mix,0.0,76.49100000000001,42.495,0.0,231000000.0,0.04,30.0
energy_chp_supercritical_waste_mix,0.0688240867086708,59.994,33.326188679245284,7870.5,162000000.0,0.04,30.0
energy_chp_ultra_supercritical_coal,0.0,600.0,600.0,0.0,1182605000.0,0.04,40.0
energy_chp_ultra_supercritical_cofiring_coal,0.0,643.467,243.474,0.0,1319134000.0,0.04,40.0
energy_chp_ultra_supercritical_lignite,0.0084495124554635,389.25330465348816,0.0,0.0,1085000000.0,0.04,30.0
energy_distribution_imported_heat,0.0,0.0,0.0,,,,
energy_flexibility_flow_batteries_electricity,0.0,190.0,0.0,0.0,1046000000.0,0.07,25.0
